origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,0
Algeria,10
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",15
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,0
Australia,0
Austria,0
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,0
Belarus,0
Belgium,30
Belize,0
Benin,0
Berber,20
Bermuda,0
Bhutan,0
"Black, n.o.c.",10
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",130
Bulgaria,15
Burkina Faso,15
Burundi,0
Cambodia,0
Cameroon,0
Canada,25175
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",10
"Central and West African origins, n.o.c",10
Chad,0
Chile,20
China,95
Colombia,10
Coptic,0
Costa Rica,0
Croatia,0
Cuba,0
Cyprus,0
Czech Republic,0
"Czechoslovakian, n.o.c",0
DR Congo,0
Denmark,35
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,10
El Salvador,0
Eritrea,0
Estonia,10
Ethiopia,30
Fiji,0
Finland,10
France,8735
Gabon,0
Georgia,0
Germany,540
Ghana,0
Greece,15
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,10
Guyana,0
Haiti,15
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,25
Iceland,0
India,30
Indonesia,0
Iran,0
Iraq,0
Ireland,3280
Israel,10
Italy,300
Ivory Coast,0
Jamaica,0
Japan,10
Jordan,25
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,10
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,90
Liberia,0
Libya,25
Lithuania,0
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,0
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,0
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,185
New Zealand,0
Nicaragua,0
Nigeria,10
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",20
Norway,30
Oromo,0
"Other African origins, n.o.c",55
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",50
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,60
Poland,55
"Polynesian, n.o.c",0
Portugal,80
Puerto Rico,10
Roma,0
Romania,0
Russia,30
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",10
Slovakia,0
Slovenia,0
Somalia,0
South Africa,0
"South Asian origins, n.o.c",0
South Korea,45
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,100
Sri Lanka,0
Sudan,0
Sweden,15
Switzerland,15
Syria,70
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
Turkmenistan,0
Uganda,0
Ukraine,90
United Kingdom,5415
United States,90
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,20
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",0
Zambia,0
Zimbabwe,0
Zulu,0
