origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,10
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,0
Australia,70
Austria,125
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,15
Belarus,0
Belgium,180
Belize,0
Benin,0
Berber,0
Bermuda,15
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",1340
Bulgaria,15
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,10
Canada,18130
Caribbean,0
"Caribbean origins, n.o.c",25
"Central and South American origins, n.o.c",10
"Central and West African origins, n.o.c",0
Chad,0
Chile,0
China,340
Colombia,0
Coptic,15
Costa Rica,10
Croatia,30
Cuba,15
Cyprus,0
Czech Republic,90
"Czechoslovakian, n.o.c",45
DR Congo,10
Denmark,180
Dinka,0
Djibouti,0
Dominican Republic,25
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,30
El Salvador,0
Eritrea,10
Estonia,20
Ethiopia,0
Fiji,0
Finland,95
France,5585
Gabon,0
Georgia,0
Germany,3475
Ghana,0
Greece,175
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,25
Haiti,15
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,95
Iceland,20
India,280
Indonesia,10
Iran,45
Iraq,0
Ireland,10590
Israel,110
Italy,990
Ivory Coast,0
Jamaica,60
Japan,10
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,50
Lebanon,55
Liberia,0
Libya,0
Lithuania,30
Luxembourg,10
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,25
Martinique,0
Mauritania,0
Mauritius,20
Maya,0
Mexico,35
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,10
Myanmar (Burma),0
Nepal,0
Netherlands,2870
New Zealand,0
Nicaragua,0
Nigeria,15
"North African origins, n.o.c",0
North Macedonia,25
"Northern European origins, n.o.c ",55
Norway,150
Oromo,0
"Other African origins, n.o.c",0
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",100
"Other North American origins, n.o.c",10
"Pacific Islands origins, n.o.c",0
Pakistan,60
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,170
Poland,840
"Polynesian, n.o.c",0
Portugal,55
Puerto Rico,10
Roma,10
Romania,70
Russia,105
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,50
Slovenia,15
Somalia,0
South Africa,35
"South Asian origins, n.o.c",0
South Korea,15
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,305
Sri Lanka,45
Sudan,0
Sweden,195
Switzerland,115
Syria,40
Taiwan,10
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,10
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,35
Tunisia,0
Turkey,40
Turkmenistan,0
Uganda,0
Ukraine,605
United Kingdom,22630
United States,600
Uruguay,0
Uzbekistan,0
Venezuela,10
Vietnam,60
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",0
Zambia,0
Zimbabwe,0
Zulu,0
