origin,population
Aboriginal from Central/South America (except Arawak and Maya),820
Afghanistan,5320
Akan,100
Albania,1875
Algeria,820
Angola,160
Antigua and Barbuda,285
"Arab, n.o.c",5055
Arawak,85
Argentina,795
Armenia,1010
Ashanti,80
Assyrian,355
Australia,3420
Austria,14490
Azerbaijan,295
Bangladesh,3350
"Bantu, n.o.c",235
Barbados,860
Belarus,815
Belgium,7190
Belize,210
Benin,120
Berber,350
Bermuda,125
Bhutan,160
"Black, n.o.c.",900
Bolivia,280
Bosnia,1770
Brazil,1635
"British Isles origins, n.o.c",36340
Bulgaria,1600
Burkina Faso,20
Burundi,195
Cambodia,2100
Cameroon,965
Canada,336385
Caribbean,55
"Caribbean origins, n.o.c",1140
"Central and South American origins, n.o.c",1670
"Central and West African origins, n.o.c",645
Chad,60
Chile,3240
China,105660
Colombia,7450
Coptic,115
Costa Rica,295
Croatia,6265
Cuba,825
Cyprus,65
Czech Republic,7605
"Czechoslovakian, n.o.c",2535
DR Congo,1385
Denmark,18720
Dinka,270
Djibouti,10
Dominican Republic,335
"East and Southeast Asian origins, n.o.c",325
"Eastern European origins, n.o.c",905
Ecuador,440
Egypt,4525
El Salvador,2935
Eritrea,3770
Estonia,1195
Ethiopia,6595
Fiji,1175
Finland,5720
France,118115
Gabon,25
Georgia,230
Germany,201675
Ghana,1865
Greece,6765
Grenada,200
Guadeloupe,0
Guatemala,1235
Guinea,155
Guyana,1155
Haiti,995
Harari,45
Hazara,265
Hispanic,740
Hmong,0
Honduras,365
Hungary,22045
Iceland,7645
India,100880
Indonesia,1575
Iran,8570
Iraq,3815
Ireland,197190
Israel,5265
Italy,43085
Ivory Coast,185
Jamaica,7255
Japan,7705
Jordan,595
Karen,300
Kazakhstan,290
Kenya,970
Kosovo,150
Kurdistan,945
Kuwait,50
Kyrgyzstan,150
Laos,935
Latvia,1210
Lebanon,13755
Liberia,305
Libya,575
Lithuania,2430
Luxembourg,255
Madagascar,45
Malaysia,1355
Mali,25
Malinké,20
Malta,585
Martinique,0
Mauritania,10
Mauritius,270
Maya,215
Mexico,8460
Moldova,965
Mongolia,1095
Montenegro,130
Montserrat,0
Morocco,1085
Myanmar (Burma),760
Nepal,1900
Netherlands,54155
New Zealand,1420
Nicaragua,900
Nigeria,11015
"North African origins, n.o.c",290
North Macedonia,535
"Northern European origins, n.o.c ",4070
Norway,42000
Oromo,680
"Other African origins, n.o.c",9800
"Other Asian origins, n.o.c",1635
"Other European origins, n.o.c",4275
"Other North American origins, n.o.c",150
"Pacific Islands origins, n.o.c",135
Pakistan,18495
Palestine,1650
Panama,165
Paraguay,165
Pashtun,380
Peru,1480
Peulh,45
Philippines,75020
Poland,55705
"Polynesian, n.o.c",80
Portugal,8600
Puerto Rico,240
Roma,165
Romania,13590
Russia,37955
Rwanda,175
Saint Kitts and Nevis,65
Saint Lucia,335
Saint Vincent and the Grenadines,350
Samoa,65
Saudi Arabia,185
Senegal,280
Serbia,3405
Seychelles,25
Sierra Leone,225
Singapore,205
"Slavic, n.o.c",450
Slovakia,4765
Slovenia,1800
Somalia,2755
South Africa,2920
"South Asian origins, n.o.c",2570
South Korea,11615
"Southern European origins, n.o.c",125
"Southern and East African origins, n.o.c",1530
Spain,22495
Sri Lanka,2795
Sudan,3315
Sweden,26815
Switzerland,8055
Syria,3325
Taiwan,1190
Tajikistan,175
Tanzania,480
Tatar,360
Thailand,1100
The Bahamas,125
The Gambia,75
Tigria,435
Togo,140
Trinidad and Tobago,2140
Tunisia,470
Turkey,2585
Turkmenistan,60
Uganda,340
Ukraine,90740
United Kingdom,567480
United States,23840
Uruguay,140
Uzbekistan,275
Venezuela,3440
Vietnam,21010
"West Central Asian and Middle Eastern origins, n.o.c",1355
"West India, n.o.c",1195
Wolof,40
Yemen,545
"Yugoslavian, n.o.c",1720
Zambia,125
Zimbabwe,815
Zulu,60
