origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,10
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",15
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,0
Australia,20
Austria,180
Azerbaijan,10
Bangladesh,0
"Bantu, n.o.c",0
Barbados,15
Belarus,0
Belgium,85
Belize,0
Benin,0
Berber,0
Bermuda,10
Bhutan,0
"Black, n.o.c.",25
Bolivia,0
Bosnia,30
Brazil,15
"British Isles origins, n.o.c",790
Bulgaria,10
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,7685
Caribbean,0
"Caribbean origins, n.o.c",10
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,15
China,305
Colombia,0
Coptic,0
Costa Rica,0
Croatia,90
Cuba,10
Cyprus,0
Czech Republic,70
"Czechoslovakian, n.o.c",60
DR Congo,0
Denmark,205
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,20
Egypt,0
El Salvador,10
Eritrea,0
Estonia,35
Ethiopia,0
Fiji,0
Finland,125
France,2180
Gabon,0
Georgia,0
Germany,2760
Ghana,0
Greece,90
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,15
Haiti,10
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,260
Iceland,15
India,160
Indonesia,10
Iran,10
Iraq,0
Ireland,5565
Israel,35
Italy,1000
Ivory Coast,0
Jamaica,80
Japan,10
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,30
Lebanon,25
Liberia,0
Libya,0
Lithuania,70
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,60
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,50
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,20
Myanmar (Burma),20
Nepal,0
Netherlands,1170
New Zealand,40
Nicaragua,15
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,25
"Northern European origins, n.o.c ",25
Norway,195
Oromo,0
"Other African origins, n.o.c",25
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",40
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,50
Peulh,0
Philippines,145
Poland,710
"Polynesian, n.o.c",0
Portugal,120
Puerto Rico,15
Roma,0
Romania,40
Russia,205
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,45
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",10
Slovakia,15
Slovenia,50
Somalia,0
South Africa,25
"South Asian origins, n.o.c",10
South Korea,25
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,200
Sri Lanka,0
Sudan,0
Sweden,155
Switzerland,130
Syria,0
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,25
Tunisia,0
Turkey,10
Turkmenistan,0
Uganda,0
Ukraine,650
United Kingdom,15480
United States,340
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,45
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",70
Zambia,0
Zimbabwe,10
Zulu,0
