origin,population
Aboriginal from Central/South America (except Arawak and Maya),55
Afghanistan,0
Akan,0
Albania,0
Algeria,10
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",15
Arawak,0
Argentina,10
Armenia,10
Ashanti,0
Assyrian,0
Australia,160
Austria,435
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,10
Belarus,35
Belgium,330
Belize,10
Benin,0
Berber,0
Bermuda,10
Bhutan,0
"Black, n.o.c.",20
Bolivia,0
Bosnia,15
Brazil,25
"British Isles origins, n.o.c",1390
Bulgaria,20
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,17670
Caribbean,0
"Caribbean origins, n.o.c",15
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",10
Chad,0
Chile,60
China,530
Colombia,10
Coptic,0
Costa Rica,15
Croatia,175
Cuba,15
Cyprus,0
Czech Republic,185
"Czechoslovakian, n.o.c",125
DR Congo,0
Denmark,885
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",45
Ecuador,0
Egypt,10
El Salvador,0
Eritrea,0
Estonia,20
Ethiopia,10
Fiji,25
Finland,480
France,4185
Gabon,0
Georgia,0
Germany,5845
Ghana,0
Greece,105
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,0
Haiti,0
Harari,0
Hazara,0
Hispanic,10
Hmong,0
Honduras,10
Hungary,395
Iceland,365
India,1030
Indonesia,35
Iran,20
Iraq,0
Ireland,7960
Israel,130
Italy,1395
Ivory Coast,0
Jamaica,60
Japan,190
Jordan,0
Karen,0
Kazakhstan,0
Kenya,20
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,65
Lebanon,55
Liberia,10
Libya,0
Lithuania,50
Luxembourg,0
Madagascar,0
Malaysia,30
Mali,0
Malinké,0
Malta,15
Martinique,0
Mauritania,10
Mauritius,0
Maya,0
Mexico,130
Moldova,25
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,25
Myanmar (Burma),10
Nepal,15
Netherlands,2925
New Zealand,105
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",10
North Macedonia,0
"Northern European origins, n.o.c ",155
Norway,1620
Oromo,0
"Other African origins, n.o.c",75
"Other Asian origins, n.o.c",35
"Other European origins, n.o.c",115
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,20
Palestine,10
Panama,15
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,300
Poland,1260
"Polynesian, n.o.c",0
Portugal,275
Puerto Rico,0
Roma,20
Romania,235
Russia,810
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,10
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,30
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,65
Slovenia,35
Somalia,0
South Africa,85
"South Asian origins, n.o.c",10
South Korea,80
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,345
Sri Lanka,0
Sudan,0
Sweden,1520
Switzerland,270
Syria,60
Taiwan,10
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,50
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,10
Tunisia,10
Turkey,10
Turkmenistan,0
Uganda,0
Ukraine,2005
United Kingdom,30035
United States,895
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,105
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",15
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",50
Zambia,0
Zimbabwe,20
Zulu,0
