origin,population
Aboriginal from Central/South America (except Arawak and Maya),10
Afghanistan,0
Akan,0
Albania,10
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,0
Armenia,10
Ashanti,0
Assyrian,0
Australia,0
Austria,140
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,0
Belarus,0
Belgium,205
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,10
Brazil,0
"British Isles origins, n.o.c",165
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,10
Canada,4470
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,0
China,90
Colombia,20
Coptic,0
Costa Rica,0
Croatia,25
Cuba,0
Cyprus,0
Czech Republic,70
"Czechoslovakian, n.o.c",85
DR Congo,0
Denmark,250
Dinka,0
Djibouti,0
Dominican Republic,10
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,0
El Salvador,10
Eritrea,15
Estonia,0
Ethiopia,0
Fiji,0
Finland,30
France,1825
Gabon,0
Georgia,0
Germany,4505
Ghana,0
Greece,45
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,10
Haiti,0
Harari,0
Hazara,0
Hispanic,10
Hmong,0
Honduras,0
Hungary,245
Iceland,35
India,250
Indonesia,0
Iran,10
Iraq,0
Ireland,1905
Israel,25
Italy,90
Ivory Coast,0
Jamaica,50
Japan,15
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,40
Liberia,0
Libya,0
Lithuania,45
Luxembourg,0
Madagascar,0
Malaysia,15
Mali,0
Malinké,0
Malta,10
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,20
Moldova,0
Mongolia,10
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),10
Nepal,0
Netherlands,295
New Zealand,0
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",50
Norway,1150
Oromo,0
"Other African origins, n.o.c",40
"Other Asian origins, n.o.c",10
"Other European origins, n.o.c",15
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,970
Poland,485
"Polynesian, n.o.c",0
Portugal,20
Puerto Rico,0
Roma,10
Romania,200
Russia,445
Rwanda,10
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,10
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,0
Slovenia,0
Somalia,0
South Africa,0
"South Asian origins, n.o.c",0
South Korea,30
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",10
Spain,70
Sri Lanka,0
Sudan,0
Sweden,520
Switzerland,55
Syria,0
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Turkey,10
Turkmenistan,0
Uganda,0
Ukraine,1535
United Kingdom,5655
United States,120
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",0
Zambia,0
Zimbabwe,0
Zulu,10
