origin,population
Aboriginal from Central/South America (except Arawak and Maya),15
Afghanistan,0
Akan,0
Albania,70
Algeria,20
Angola,10
Antigua and Barbuda,0
"Arab, n.o.c",125
Arawak,0
Argentina,10
Armenia,55
Ashanti,0
Assyrian,0
Australia,75
Austria,190
Azerbaijan,10
Bangladesh,110
"Bantu, n.o.c",0
Barbados,0
Belarus,25
Belgium,325
Belize,10
Benin,0
Berber,0
Bermuda,30
Bhutan,30
"Black, n.o.c.",90
Bolivia,0
Bosnia,80
Brazil,10
"British Isles origins, n.o.c",2500
Bulgaria,45
Burkina Faso,0
Burundi,40
Cambodia,0
Cameroon,0
Canada,52785
Caribbean,0
"Caribbean origins, n.o.c",50
"Central and South American origins, n.o.c",30
"Central and West African origins, n.o.c",10
Chad,0
Chile,25
China,1560
Colombia,50
Coptic,0
Costa Rica,10
Croatia,50
Cuba,35
Cyprus,10
Czech Republic,100
"Czechoslovakian, n.o.c",40
DR Congo,40
Denmark,775
Dinka,0
Djibouti,0
Dominican Republic,10
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",25
Ecuador,15
Egypt,70
El Salvador,60
Eritrea,0
Estonia,60
Ethiopia,65
Fiji,0
Finland,125
France,17480
Gabon,0
Georgia,0
Germany,6650
Ghana,40
Greece,240
Grenada,15
Guadeloupe,0
Guatemala,45
Guinea,20
Guyana,30
Haiti,10
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,40
Hungary,295
Iceland,65
India,710
Indonesia,10
Iran,335
Iraq,55
Ireland,26480
Israel,265
Italy,1370
Ivory Coast,0
Jamaica,125
Japan,50
Jordan,45
Karen,0
Kazakhstan,10
Kenya,0
Kosovo,0
Kurdistan,30
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,40
Lebanon,765
Liberia,45
Libya,135
Lithuania,75
Luxembourg,0
Madagascar,0
Malaysia,25
Mali,0
Malinké,0
Malta,15
Martinique,0
Mauritania,0
Mauritius,0
Maya,70
Mexico,135
Moldova,0
Mongolia,45
Montenegro,10
Montserrat,0
Morocco,15
Myanmar (Burma),0
Nepal,150
Netherlands,3915
New Zealand,60
Nicaragua,15
Nigeria,95
"North African origins, n.o.c",0
North Macedonia,30
"Northern European origins, n.o.c ",170
Norway,650
Oromo,30
"Other African origins, n.o.c",490
"Other Asian origins, n.o.c",10
"Other European origins, n.o.c",240
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,75
Palestine,10
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,265
Poland,885
"Polynesian, n.o.c",0
Portugal,340
Puerto Rico,35
Roma,10
Romania,125
Russia,610
Rwanda,20
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,30
Senegal,10
Serbia,60
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,75
Slovenia,55
Somalia,10
South Africa,45
"South Asian origins, n.o.c",20
South Korea,445
"Southern European origins, n.o.c",10
"Southern and East African origins, n.o.c",35
Spain,485
Sri Lanka,45
Sudan,0
Sweden,355
Switzerland,215
Syria,510
Taiwan,25
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,35
The Bahamas,0
The Gambia,0
Tigria,0
Togo,10
Trinidad and Tobago,20
Tunisia,0
Turkey,75
Turkmenistan,0
Uganda,15
Ukraine,860
United Kingdom,61820
United States,1295
Uruguay,0
Uzbekistan,25
Venezuela,15
Vietnam,300
"West Central Asian and Middle Eastern origins, n.o.c",10
"West India, n.o.c",25
Wolof,0
Yemen,10
"Yugoslavian, n.o.c",30
Zambia,20
Zimbabwe,0
Zulu,0
