origin,population
Aboriginal from Central/South America (except Arawak and Maya),15
Afghanistan,0
Akan,0
Albania,0
Algeria,15
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,10
Armenia,0
Ashanti,0
Assyrian,0
Australia,10
Austria,100
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,15
Belarus,10
Belgium,85
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",370
Bulgaria,10
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,4305
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,10
China,75
Colombia,10
Coptic,0
Costa Rica,0
Croatia,0
Cuba,0
Cyprus,0
Czech Republic,50
"Czechoslovakian, n.o.c",55
DR Congo,0
Denmark,285
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,0
El Salvador,0
Eritrea,0
Estonia,10
Ethiopia,10
Fiji,0
Finland,120
France,1550
Gabon,0
Georgia,0
Germany,3065
Ghana,0
Greece,100
Grenada,0
Guadeloupe,0
Guatemala,10
Guinea,0
Guyana,0
Haiti,40
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,160
Iceland,90
India,90
Indonesia,0
Iran,10
Iraq,0
Ireland,2315
Israel,0
Italy,255
Ivory Coast,0
Jamaica,90
Japan,35
Jordan,0
Karen,20
Kazakhstan,0
Kenya,10
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,10
Lebanon,20
Liberia,0
Libya,0
Lithuania,10
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,0
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,105
Moldova,0
Mongolia,10
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,10
Netherlands,1310
New Zealand,40
Nicaragua,15
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",75
Norway,870
Oromo,0
"Other African origins, n.o.c",15
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",50
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,10
Peulh,0
Philippines,445
Poland,425
"Polynesian, n.o.c",0
Portugal,25
Puerto Rico,0
Roma,0
Romania,95
Russia,400
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,15
Singapore,0
"Slavic, n.o.c",0
Slovakia,25
Slovenia,10
Somalia,0
South Africa,10
"South Asian origins, n.o.c",10
South Korea,55
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",10
Spain,95
Sri Lanka,35
Sudan,0
Sweden,525
Switzerland,150
Syria,0
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,15
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,15
Tunisia,0
Turkey,0
Turkmenistan,0
Uganda,0
Ukraine,1110
United Kingdom,7040
United States,275
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",20
Zambia,0
Zimbabwe,0
Zulu,10
