origin,population
Aboriginal from Central/South America (except Arawak and Maya),15
Afghanistan,0
Akan,0
Albania,0
Algeria,180
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",65
Arawak,0
Argentina,0
Armenia,10
Ashanti,0
Assyrian,0
Australia,10
Austria,25
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,0
Belarus,10
Belgium,445
Belize,0
Benin,35
Berber,50
Bermuda,0
Bhutan,0
"Black, n.o.c.",55
Bolivia,20
Bosnia,15
Brazil,25
"British Isles origins, n.o.c",90
Bulgaria,20
Burkina Faso,10
Burundi,0
Cambodia,40
Cameroon,40
Canada,139935
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",10
Chad,0
Chile,45
China,310
Colombia,85
Coptic,10
Costa Rica,10
Croatia,25
Cuba,20
Cyprus,0
Czech Republic,10
"Czechoslovakian, n.o.c",10
DR Congo,70
Denmark,60
Dinka,0
Djibouti,0
Dominican Republic,15
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,35
El Salvador,10
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,0
Finland,45
France,36265
Gabon,0
Georgia,0
Germany,1015
Ghana,0
Greece,60
Grenada,0
Guadeloupe,0
Guatemala,25
Guinea,15
Guyana,20
Haiti,120
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,45
Iceland,10
India,120
Indonesia,10
Iran,60
Iraq,0
Ireland,5235
Israel,35
Italy,880
Ivory Coast,25
Jamaica,0
Japan,20
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,15
Latvia,10
Lebanon,90
Liberia,0
Libya,0
Lithuania,30
Luxembourg,0
Madagascar,35
Malaysia,0
Mali,35
Malinké,0
Malta,10
Martinique,20
Mauritania,0
Mauritius,20
Maya,10
Mexico,50
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,130
Myanmar (Burma),0
Nepal,0
Netherlands,220
New Zealand,0
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",20
North Macedonia,0
"Northern European origins, n.o.c ",65
Norway,445
Oromo,0
"Other African origins, n.o.c",110
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",90
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",10
Pakistan,0
Palestine,0
Panama,10
Paraguay,0
Pashtun,0
Peru,40
Peulh,0
Philippines,95
Poland,290
"Polynesian, n.o.c",0
Portugal,285
Puerto Rico,0
Roma,0
Romania,40
Russia,90
Rwanda,10
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,90
Serbia,15
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,0
Slovenia,0
Somalia,0
South Africa,0
"South Asian origins, n.o.c",0
South Korea,35
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",20
Spain,275
Sri Lanka,0
Sudan,0
Sweden,30
Switzerland,175
Syria,65
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,15
The Bahamas,0
The Gambia,0
Tigria,0
Togo,30
Trinidad and Tobago,0
Tunisia,50
Turkey,40
Turkmenistan,0
Uganda,0
Ukraine,125
United Kingdom,4585
United States,395
Uruguay,0
Uzbekistan,0
Venezuela,20
Vietnam,100
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",10
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",10
Zambia,0
Zimbabwe,0
Zulu,0
