origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,0
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",10
Arawak,0
Argentina,10
Armenia,0
Ashanti,0
Assyrian,0
Australia,35
Austria,175
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,0
Belarus,0
Belgium,70
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,0
Brazil,10
"British Isles origins, n.o.c",450
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,5295
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,0
China,100
Colombia,0
Coptic,0
Costa Rica,0
Croatia,25
Cuba,0
Cyprus,0
Czech Republic,55
"Czechoslovakian, n.o.c",40
DR Congo,0
Denmark,455
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,0
El Salvador,0
Eritrea,0
Estonia,0
Ethiopia,30
Fiji,0
Finland,80
France,1715
Gabon,0
Georgia,0
Germany,3555
Ghana,0
Greece,95
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,15
Haiti,10
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,220
Iceland,90
India,135
Indonesia,15
Iran,0
Iraq,0
Ireland,2390
Israel,10
Italy,360
Ivory Coast,0
Jamaica,70
Japan,35
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,25
Lebanon,15
Liberia,0
Libya,0
Lithuania,40
Luxembourg,10
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,0
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,20
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,1035
New Zealand,0
Nicaragua,0
Nigeria,25
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",65
Norway,710
Oromo,0
"Other African origins, n.o.c",35
"Other Asian origins, n.o.c",15
"Other European origins, n.o.c",35
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,0
Panama,15
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,370
Poland,515
"Polynesian, n.o.c",0
Portugal,25
Puerto Rico,10
Roma,0
Romania,75
Russia,440
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,20
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,15
Slovenia,0
Somalia,0
South Africa,30
"South Asian origins, n.o.c",0
South Korea,45
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,55
Sri Lanka,0
Sudan,10
Sweden,365
Switzerland,100
Syria,35
Taiwan,10
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Turkey,10
Turkmenistan,0
Uganda,0
Ukraine,1065
United Kingdom,7090
United States,310
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",30
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",20
Zambia,0
Zimbabwe,0
Zulu,0
