origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,35
Akan,10
Albania,10
Algeria,15
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",205
Arawak,0
Argentina,15
Armenia,35
Ashanti,10
Assyrian,25
Australia,55
Austria,920
Azerbaijan,0
Bangladesh,115
"Bantu, n.o.c",0
Barbados,60
Belarus,30
Belgium,480
Belize,35
Benin,0
Berber,0
Bermuda,10
Bhutan,0
"Black, n.o.c.",25
Bolivia,0
Bosnia,35
Brazil,80
"British Isles origins, n.o.c",2205
Bulgaria,55
Burkina Faso,0
Burundi,0
Cambodia,20
Cameroon,10
Canada,44150
Caribbean,0
"Caribbean origins, n.o.c",10
"Central and South American origins, n.o.c",60
"Central and West African origins, n.o.c",30
Chad,10
Chile,60
China,925
Colombia,65
Coptic,0
Costa Rica,20
Croatia,1235
Cuba,45
Cyprus,0
Czech Republic,315
"Czechoslovakian, n.o.c",285
DR Congo,0
Denmark,1325
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",30
Ecuador,0
Egypt,20
El Salvador,50
Eritrea,0
Estonia,270
Ethiopia,10
Fiji,0
Finland,13560
France,19415
Gabon,0
Georgia,10
Germany,13020
Ghana,85
Greece,770
Grenada,0
Guadeloupe,0
Guatemala,20
Guinea,0
Guyana,20
Haiti,20
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,15
Hungary,1070
Iceland,760
India,615
Indonesia,55
Iran,200
Iraq,15
Ireland,22115
Israel,150
Italy,16635
Ivory Coast,0
Jamaica,175
Japan,380
Jordan,0
Karen,280
Kazakhstan,0
Kenya,10
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,15
Latvia,235
Lebanon,195
Liberia,10
Libya,25
Lithuania,240
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,45
Martinique,0
Mauritania,0
Mauritius,20
Maya,10
Mexico,160
Moldova,0
Mongolia,60
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),50
Nepal,35
Netherlands,4845
New Zealand,80
Nicaragua,0
Nigeria,90
"North African origins, n.o.c",0
North Macedonia,10
"Northern European origins, n.o.c ",315
Norway,3320
Oromo,0
"Other African origins, n.o.c",265
"Other Asian origins, n.o.c",35
"Other European origins, n.o.c",175
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",10
Pakistan,80
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,20
Peulh,0
Philippines,385
Poland,8395
"Polynesian, n.o.c",0
Portugal,1070
Puerto Rico,0
Roma,15
Romania,520
Russia,1390
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,80
Senegal,0
Serbia,180
Seychelles,0
Sierra Leone,45
Singapore,0
"Slavic, n.o.c",15
Slovakia,2370
Slovenia,330
Somalia,10
South Africa,80
"South Asian origins, n.o.c",60
South Korea,185
"Southern European origins, n.o.c",10
"Southern and East African origins, n.o.c",10
Spain,460
Sri Lanka,30
Sudan,45
Sweden,5360
Switzerland,455
Syria,45
Taiwan,10
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,10
The Bahamas,20
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,30
Tunisia,0
Turkey,25
Turkmenistan,0
Uganda,0
Ukraine,16085
United Kingdom,60520
United States,1290
Uruguay,10
Uzbekistan,0
Venezuela,15
Vietnam,145
"West Central Asian and Middle Eastern origins, n.o.c",30
"West India, n.o.c",25
Wolof,0
Yemen,10
"Yugoslavian, n.o.c",300
Zambia,0
Zimbabwe,0
Zulu,0
