origin,population
Aboriginal from Central/South America (except Arawak and Maya),15
Afghanistan,0
Akan,0
Albania,15
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,0
Armenia,20
Ashanti,0
Assyrian,0
Australia,0
Austria,70
Azerbaijan,0
Bangladesh,15
"Bantu, n.o.c",0
Barbados,0
Belarus,80
Belgium,190
Belize,50
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,85
Bosnia,0
Brazil,20
"British Isles origins, n.o.c",195
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,9605
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,10
China,60
Colombia,0
Coptic,0
Costa Rica,0
Croatia,10
Cuba,45
Cyprus,0
Czech Republic,115
"Czechoslovakian, n.o.c",35
DR Congo,15
Denmark,70
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",40
Ecuador,15
Egypt,20
El Salvador,0
Eritrea,15
Estonia,0
Ethiopia,0
Fiji,0
Finland,30
France,1045
Gabon,0
Georgia,0
Germany,13630
Ghana,0
Greece,50
Grenada,0
Guadeloupe,0
Guatemala,15
Guinea,0
Guyana,0
Haiti,45
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,60
Iceland,275
India,200
Indonesia,0
Iran,20
Iraq,0
Ireland,1355
Israel,55
Italy,100
Ivory Coast,0
Jamaica,20
Japan,10
Jordan,10
Karen,0
Kazakhstan,180
Kenya,0
Kosovo,10
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,10
Latvia,0
Lebanon,20
Liberia,0
Libya,20
Lithuania,30
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,10
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,3095
Moldova,40
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,3075
New Zealand,0
Nicaragua,0
Nigeria,20
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",15
Norway,140
Oromo,0
"Other African origins, n.o.c",70
"Other Asian origins, n.o.c",20
"Other European origins, n.o.c",75
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,30
Palestine,0
Panama,0
Paraguay,180
Pashtun,0
Peru,15
Peulh,0
Philippines,195
Poland,820
"Polynesian, n.o.c",0
Portugal,70
Puerto Rico,0
Roma,10
Romania,55
Russia,7545
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,10
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,10
Slovenia,0
Somalia,10
South Africa,45
"South Asian origins, n.o.c",0
South Korea,95
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,130
Sri Lanka,0
Sudan,0
Sweden,145
Switzerland,90
Syria,10
Taiwan,15
Tajikistan,0
Tanzania,0
Tatar,110
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,25
Tunisia,0
Turkey,0
Turkmenistan,0
Uganda,0
Ukraine,2365
United Kingdom,4595
United States,215
Uruguay,0
Uzbekistan,0
Venezuela,10
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",10
"West India, n.o.c",30
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",10
Zambia,0
Zimbabwe,15
Zulu,0
