"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Barrie"
"Global non-response rate (GNR) =   4.1 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",194445,86945,107505 
"  North American Aboriginal origins",10130,960,9175 
"    First Nations (North American Indian)",6590,630,5960 
"    Inuit",140,35,100 
"    Métis",3640,290,3345 
"  Other North American origins",67945,28765,39185 
"    Acadian",310,15,295 
"    American",2335,130,2205 
"    Canadian",66185,28535,37650 
"    New Brunswicker",10,0,10 
"    Newfoundlander",410,70,335 
"    Nova Scotian",25,10,20 
"    Ontarian",15,0,15 
"    Québécois",25,0,25 
"    Other North American origins, n.i.e. [6]",10,0,10 
"  European origins",149680,45445,104240 
"    British Isles origins",108290,23220,85065 
"      Channel Islander",10,0,0 
"      Cornish",20,0,20 
"      English",64780,12500,52275 
"      Irish",46215,4265,41950 
"      Manx",60,0,60 
"      Scottish",47430,4675,42755 
"      Welsh",4505,225,4275 
"      British Isles origins, n.i.e. [7]",7145,1550,5590 
"    French origins",23525,1825,21700 
"      Alsatian",40,0,40 
"      Breton",0,0,0 
"      Corsican",10,0,10 
"      French",23485,1820,21660 
"    Western European origins (except French origins)",32080,5505,26575 
"      Austrian",1290,110,1180 
"      Bavarian",15,0,10 
"      Belgian",715,105,615 
"      Dutch",10880,2735,8145 
"      Flemish",30,0,30 
"      Frisian",20,10,10 
"      German",20720,2430,18295 
"      Luxembourger",25,10,15 
"      Swiss",890,85,810 
"      Western European origins, n.i.e. [8]",20,25,0 
"    Northern European origins (except British Isles origins)",5525,600,4935 
"      Danish",1280,205,1070 
"      Finnish",1565,230,1330 
"      Icelandic",265,0,265 
"      Norwegian",1310,55,1260 
"      Swedish",1325,70,1255 
"      Northern European origins, n.i.e. [9]",285,30,250 
"    Eastern European origins",20375,5345,15030 
"      Bulgarian",170,30,145 
"      Byelorussian",130,30,100 
"      Czech",645,170,480 
"      Czechoslovakian, n.o.s. [10]",185,55,130 
"      Estonian",295,70,225 
"      Hungarian",2400,620,1785 
"      Latvian",500,125,370 
"      Lithuanian",560,115,445 
"      Moldovan",75,40,30 
"      Polish",8020,2055,5970 
"      Romanian",885,205,685 
"      Russian",2430,610,1815 
"      Slovak",515,125,390 
"      Ukrainian",6660,1080,5585 
"      Eastern European origins, n.i.e. [11]",70,25,40 
"    Southern European origins",24205,8755,15455 
"      Albanian",90,60,30 
"      Bosnian",80,10,75 
"      Catalan",0,0,0 
"      Croatian",925,300,630 
"      Cypriot",15,0,15 
"      Greek",1640,495,1145 
"      Italian",14460,4860,9600 
"      Kosovar",0,0,0 
"      Macedonian",470,130,340 
"      Maltese",695,185,515 
"      Montenegrin",10,0,10 
"      Portuguese",4210,2110,2105 
"      Serbian",295,60,235 
"      Sicilian",70,15,55 
"      Slovenian",385,95,290 
"      Spanish",2335,385,1945 
"      Yugoslavian, n.o.s. [12]",400,40,355 
"      Southern European origins, n.i.e. [13]",15,0,15 
"    Other European origins",940,205,740 
"      Basque",30,0,30 
"      Jewish",570,85,485 
"      Roma (Gypsy)",25,0,25 
"      Slavic, n.o.s. [14]",15,15,0 
"      Other European origins, n.i.e. [15]",300,100,200 
"  Caribbean origins",4330,1515,2815 
"    Antiguan",20,0,25 
"    Bahamian",65,0,65 
"    Barbadian",275,50,220 
"    Bermudan",55,0,50 
"    Carib",30,0,30 
"    Cuban",135,40,90 
"    Dominican",85,25,60 
"    Grenadian",70,30,40 
"    Guadeloupean",0,0,0 
"    Haitian",85,30,55 
"    Jamaican",2630,990,1645 
"    Kittitian/Nevisian",15,0,15 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",15,0,15 
"    St. Lucian",45,20,25 
"    Trinidadian/Tobagonian",530,120,415 
"    Vincentian/Grenadinian",100,35,65 
"    West Indian, n.o.s. [16]",380,170,210 
"    Caribbean origins, n.i.e. [17]",55,0,45 
"  Latin, Central and South American origins",3380,1310,2065 
"    Aboriginal from Central/South America (except Arawak and Maya)",115,15,100 
"    Arawak",25,0,20 
"    Argentinian",265,40,230 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",260,105,160 
"    Chilean",215,50,170 
"    Colombian",380,225,150 
"    Costa Rican",25,10,10 
"    Ecuadorian",370,210,155 
"    Guatemalan",165,55,110 
"    Guyanese",695,155,540 
"    Hispanic",40,40,0 
"    Honduran",30,0,25 
"    Maya",25,0,20 
"    Mexican",305,120,185 
"    Nicaraguan",10,10,0 
"    Panamanian",55,0,50 
"    Paraguayan",0,0,0 
"    Peruvian",185,45,145 
"    Salvadorean",265,155,110 
"    Uruguayan",120,25,95 
"    Venezuelan",30,15,20 
"    Latin, Central and South American origins, n.i.e. [18]",60,35,25 
"  African origins",2200,840,1355 
"    Central and West African origins",325,230,95 
"      Akan",0,0,0 
"      Angolan",30,20,10 
"      Ashanti",0,0,0 
"      Beninese",0,0,10 
"      Burkinabe",0,0,0 
"      Cameroonian",25,20,0 
"      Chadian",0,0,0 
"      Congolese",0,0,0 
"      Edo",10,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",100,90,10 
"      Guinean",10,0,10 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",125,75,45 
"      Peulh",0,0,0 
"      Senegalese",0,0,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",20,15,15 
"      Central and West African origins, n.i.e. [19]",10,0,10 
"    North African origins",345,155,185 
"      Algerian",40,15,30 
"      Berber",0,0,0 
"      Coptic",15,0,15 
"      Dinka",0,0,0 
"      Egyptian",220,135,90 
"      Libyan",10,0,10 
"      Maure",0,0,0 
"      Moroccan",60,10,45 
"      Sudanese",0,0,0 
"      Tunisian",15,10,10 
"      North African origins, n.i.e. [20]",0,0,0 
"    Southern and East African origins",620,275,345 
"      Afrikaner",0,0,0 
"      Amhara",0,0,0 
"      Bantu, n.o.s. [21]",0,0,10 
"      Burundian",0,0,0 
"      Djiboutian",0,0,0 
"      Eritrean",0,0,0 
"      Ethiopian",15,10,10 
"      Harari",0,0,0 
"      Kenyan",110,50,60 
"      Malagasy",0,0,0 
"      Mauritian",15,0,15 
"      Oromo",0,0,0 
"      Rwandan",35,35,0 
"      Seychellois",0,0,0 
"      Somali",45,30,15 
"      South African",260,60,195 
"      Tanzanian",10,0,10 
"      Tigrian",0,0,0 
"      Ugandan",10,10,10 
"      Zambian",0,0,0 
"      Zimbabwean",135,75,60 
"      Zulu",0,0,0 
"      Southern and East African origins, n.i.e. [22]",50,0,50 
"    Other African origins",920,185,740 
"      Black, n.o.s. [23]",125,10,120 
"      Other African origins, n.i.e. [24]",790,170,620 
"  Asian origins",12100,8095,4000 
"    West Central Asian and Middle Eastern origins",2375,1160,1215 
"      Afghan",175,120,60 
"      Arab, n.o.s. [25]",140,55,85 
"      Armenian",185,45,140 
"      Assyrian",80,40,40 
"      Azerbaijani",0,10,0 
"      Georgian",10,0,10 
"      Hazara",0,0,0 
"      Iranian",435,260,180 
"      Iraqi",160,110,55 
"      Israeli",160,20,140 
"      Jordanian",10,0,10 
"      Kazakh",65,40,25 
"      Kurd",15,10,15 
"      Kuwaiti",0,0,0 
"      Kyrgyz",0,0,0 
"      Lebanese",475,140,330 
"      Palestinian",115,75,45 
"      Pashtun",0,0,0 
"      Saudi Arabian",15,0,10 
"      Syrian",135,65,70 
"      Tajik",0,0,0 
"      Tatar",50,0,45 
"      Turk",220,110,105 
"      Turkmen",20,15,0 
"      Uighur",0,0,0 
"      Uzbek",0,0,10 
"      Yemeni",0,0,0 
"      West Central Asian and Middle Eastern origins, n.i.e. [26]",115,65,55 
"    South Asian origins",3795,2815,975 
"      Bangladeshi",40,45,0 
"      Bengali",80,75,10 
"      Bhutanese",0,0,0 
"      East Indian",2525,1735,785 
"      Goan",15,10,15 
"      Gujarati",20,15,0 
"      Kashmiri",0,0,0 
"      Nepali",40,35,0 
"      Pakistani",575,490,85 
"      Punjabi",140,90,45 
"      Sinhalese",15,10,0 
"      Sri Lankan",275,205,75 
"      Tamil",55,35,25 
"      South Asian origins, n.i.e. [27]",140,80,55 
"    East and Southeast Asian origins",6005,4105,1900 
"      Burmese",40,25,15 
"      Cambodian (Khmer)",200,100,105 
"      Chinese",2705,1795,910 
"      Filipino",1565,975,595 
"      Hmong",0,0,0 
"      Indonesian",85,10,85 
"      Japanese",435,160,275 
"      Karen",0,0,0 
"      Korean",610,530,80 
"      Laotian",110,90,20 
"      Malaysian",40,15,30 
"      Mongolian",35,0,35 
"      Singaporean",0,0,10 
"      Taiwanese",35,15,20 
"      Thai",20,10,15 
"      Tibetan",0,0,0 
"      Vietnamese",625,380,250 
"      East and Southeast Asian origins, n.i.e. [28]",0,10,0 
"    Other Asian origins",35,20,15 
"      Other Asian origins, n.i.e. [29]",35,15,20 
"  Oceania origins",365,30,335 
"    Australian",240,25,215 
"    New Zealander",110,0,100 
"    Pacific Islands origins",20,0,15 
"      Fijian",0,0,0 
"      Hawaiian",15,0,15 
"      Maori",0,0,0 
"      Samoan",0,0,0 
"      Polynesian, n.o.s. [30]",0,0,0 
"      Pacific Islands origins, n.i.e. [31]",0,0,0 
"Note"
"[1] For more information on generation status variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016."
"[2] Total ethnic origin responses are the sum of single and multiple responses for each ethnic origin. Total response counts indicate the number of persons who reported a specified ethnic origin, either as their only origin or in addition to one or more other ethnic origins. The sum of all ethnic origin responses is greater than the total population estimate due to the reporting of multiple origins."
