"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Brandon"
"Global non-response rate (GNR) =   4.7 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",56420,25220,31205 
"  North American Aboriginal origins",7075,2270,4810 
"    First Nations (North American Indian)",4285,1735,2545 
"    Inuit",35,10,30 
"    Métis",3180,525,2655 
"  Other North American origins",13890,6190,7700 
"    Acadian",10,0,10 
"    American",370,45,330 
"    Canadian",13620,6135,7485 
"    New Brunswicker",0,0,0 
"    Newfoundlander",15,10,10 
"    Nova Scotian",0,0,0 
"    Ontarian",10,0,0 
"    Québécois",0,0,0 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",39630,10120,29510 
"    British Isles origins",27350,4525,22825 
"      Channel Islander",0,0,0 
"      Cornish",10,0,0 
"      English",16665,2440,14220 
"      Irish",10325,630,9695 
"      Manx",25,0,25 
"      Scottish",14470,1320,13150 
"      Welsh",1095,25,1065 
"      British Isles origins, n.i.e. [7]",915,115,795 
"    French origins",5685,470,5215 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",5685,470,5215 
"    Western European origins (except French origins)",11310,1965,9355 
"      Austrian",565,25,535 
"      Bavarian",0,0,0 
"      Belgian",1325,150,1180 
"      Dutch",2245,465,1775 
"      Flemish",80,10,75 
"      Frisian",0,0,0 
"      German",8010,1280,6730 
"      Luxembourger",15,0,15 
"      Swiss",190,35,165 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",3675,275,3400 
"      Danish",535,45,490 
"      Finnish",190,15,175 
"      Icelandic",875,55,825 
"      Norwegian",1240,65,1170 
"      Swedish",1150,80,1065 
"      Northern European origins, n.i.e. [9]",120,20,100 
"    Eastern European origins",11655,2355,9295 
"      Bulgarian",0,0,0 
"      Byelorussian",35,0,35 
"      Czech",155,25,125 
"      Czechoslovakian, n.o.s. [10]",95,0,90 
"      Estonian",0,0,10 
"      Hungarian",410,20,395 
"      Latvian",65,15,50 
"      Lithuanian",85,0,85 
"      Moldovan",10,0,0 
"      Polish",3650,380,3270 
"      Romanian",255,30,225 
"      Russian",1410,150,1260 
"      Slovak",35,10,35 
"      Ukrainian",7930,1720,6215 
"      Eastern European origins, n.i.e. [11]",25,10,10 
"    Southern European origins",1575,445,1135 
"      Albanian",0,0,0 
"      Bosnian",35,15,25 
"      Catalan",0,0,0 
"      Croatian",45,10,35 
"      Cypriot",0,0,0 
"      Greek",115,30,85 
"      Italian",600,90,515 
"      Kosovar",0,0,0 
"      Macedonian",10,0,0 
"      Maltese",20,0,25 
"      Montenegrin",0,0,0 
"      Portuguese",225,45,180 
"      Serbian",10,0,15 
"      Sicilian",15,0,10 
"      Slovenian",20,0,20 
"      Spanish",535,240,295 
"      Yugoslavian, n.o.s. [12]",45,10,35 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",230,85,145 
"      Basque",0,0,0 
"      Jewish",75,0,70 
"      Roma (Gypsy)",15,0,10 
"      Slavic, n.o.s. [14]",10,0,10 
"      Other European origins, n.i.e. [15]",125,80,50 
"  Caribbean origins",225,115,110 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",10,0,0 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",55,45,10 
"    Dominican",0,0,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",0,0,0 
"    Jamaican",100,50,45 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",30,10,20 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",25,0,30 
"    Caribbean origins, n.i.e. [17]",30,10,15 
"  Latin, Central and South American origins",2375,1840,535 
"    Aboriginal from Central/South America (except Arawak and Maya)",90,75,10 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
"    Belizean",0,0,0 
