"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Owen Sound"
"Global non-response rate (GNR) =   5.0 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",30770,13150,17625 
"  North American Aboriginal origins",1615,180,1430 
"    First Nations (North American Indian)",1020,145,875 
"    Inuit",55,10,45 
"    Métis",570,25,540 
"  Other North American origins",11265,5715,5545 
"    Acadian",20,0,15 
"    American",320,20,300 
"    Canadian",11030,5685,5345 
"    New Brunswicker",0,0,10 
"    Newfoundlander",35,0,30 
"    Nova Scotian",10,0,10 
"    Ontarian",10,10,0 
"    Québécois",10,0,10 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",23920,6625,17290 
"    British Isles origins",20000,4405,15590 
"      Channel Islander",0,0,0 
"      Cornish",10,0,0 
"      English",12350,2405,9950 
"      Irish",8660,750,7910 
"      Manx",10,0,10 
"      Scottish",10185,1105,9080 
"      Welsh",645,25,625 
"      British Isles origins, n.i.e. [7]",710,115,600 
"    French origins",2655,165,2485 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",2650,165,2485 
"    Western European origins (except French origins)",7375,1445,5925 
"      Austrian",140,15,120 
"      Bavarian",0,0,0 
"      Belgian",95,15,80 
"      Dutch",2045,665,1375 
"      Flemish",10,0,15 
"      Frisian",15,0,20 
"      German",5480,735,4750 
"      Luxembourger",0,0,0 
"      Swiss",150,20,130 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",605,50,555 
"      Danish",155,20,135 
"      Finnish",130,25,100 
"      Icelandic",25,10,25 
"      Norwegian",165,0,155 
"      Swedish",190,0,190 
"      Northern European origins, n.i.e. [9]",10,0,0 
"    Eastern European origins",1905,270,1635 
"      Bulgarian",0,0,0 
"      Byelorussian",0,0,0 
"      Czech",90,10,80 
"      Czechoslovakian, n.o.s. [10]",25,0,20 
"      Estonian",25,15,15 
"      Hungarian",285,45,240 
"      Latvian",55,25,35 
"      Lithuanian",20,0,10 
"      Moldovan",0,0,0 
"      Polish",735,85,645 
"      Romanian",85,0,85 
"      Russian",295,10,285 
"      Slovak",40,0,35 
"      Ukrainian",535,60,475 
"      Eastern European origins, n.i.e. [11]",10,0,10 
"    Southern European origins",1145,270,880 
"      Albanian",45,45,0 
"      Bosnian",15,0,0 
"      Catalan",0,0,0 
"      Croatian",55,0,50 
"      Cypriot",0,0,0 
"      Greek",90,50,40 
"      Italian",645,130,510 
"      Kosovar",0,0,0 
"      Macedonian",25,10,15 
"      Maltese",20,0,25 
"      Montenegrin",0,0,0 
"      Portuguese",110,20,85 
"      Serbian",10,10,0 
"      Sicilian",0,0,10 
"      Slovenian",0,0,0 
"      Spanish",165,0,155 
"      Yugoslavian, n.o.s. [12]",15,0,15 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",160,30,130 
"      Basque",0,0,0 
"      Jewish",105,10,90 
"      Roma (Gypsy)",25,0,30 
"      Slavic, n.o.s. [14]",10,10,0 
"      Other European origins, n.i.e. [15]",40,15,25 
"  Caribbean origins",205,30,175 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",10,0,0 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",10,0,0 
"    Grenadian",10,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",0,0,0 
"    Jamaican",120,20,105 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",20,0,20 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",20,0,20 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",25,0,20 
"    Caribbean origins, n.i.e. [17]",0,0,10 
"  Latin, Central and South American origins",125,20,100 
"    Aboriginal from Central/South America (except Arawak and Maya)",0,0,0 
"    Arawak",0,0,0 
"    Argentinian",10,0,0 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",15,0,10 
"    Chilean",0,0,0 
"    Colombian",10,0,0 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",15,0,0 
"    Hispanic",0,0,0 
"    Honduran",0,0,0 
"    Maya",0,0,0 
"    Mexican",40,0,40 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",15,0,10 
"    Peruvian",0,0,10 
"    Salvadorean",0,0,0 
"    Uruguayan",0,0,0 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [18]",20,10,15 
"  African origins",300,55,240 
"    Central and West African origins",15,10,10 
"      Akan",0,0,0 
