"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Saguenay"
"Global non-response rate (GNR) =   4.6 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",157165,126580,30585 
"  North American Aboriginal origins",9860,3500,6360 
"    First Nations (North American Indian)",6105,1760,4340 
"    Inuit",100,20,80 
"    Métis",3925,1720,2205 
"  Other North American origins",128990,104285,24700 
"    Acadian",810,290,520 
"    American",395,60,335 
"    Canadian",125025,101210,23810 
"    New Brunswicker",10,0,0 
"    Newfoundlander",10,0,0 
"    Nova Scotian",0,10,0 
"    Ontarian",10,0,10 
"    Québécois",3940,2720,1225 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",43905,17200,26710 
"    British Isles origins",8830,2265,6565 
"      Channel Islander",30,0,25 
"      Cornish",0,0,0 
"      English",1450,205,1245 
"      Irish",5235,1375,3860 
"      Manx",0,0,0 
"      Scottish",3090,675,2415 
"      Welsh",15,0,20 
"      British Isles origins, n.i.e. [7]",90,10,80 
"    French origins",36195,13600,22590 
"      Alsatian",15,10,15 
"      Breton",190,50,140 
"      Corsican",0,0,10 
"      French",36060,13545,22510 
"    Western European origins (except French origins)",1770,400,1375 
"      Austrian",25,0,30 
"      Bavarian",0,0,0 
"      Belgian",415,105,310 
"      Dutch",220,75,145 
"      Flemish",30,10,25 
"      Frisian",0,0,0 
"      German",1015,170,840 
"      Luxembourger",0,0,0 
"      Swiss",175,45,135 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",650,190,465 
"      Danish",60,30,25 
"      Finnish",45,10,40 
"      Icelandic",10,0,10 
"      Norwegian",445,135,315 
"      Swedish",30,0,30 
"      Northern European origins, n.i.e. [9]",65,15,45 
"    Eastern European origins",590,205,385 
"      Bulgarian",20,0,15 
"      Byelorussian",10,10,0 
"      Czech",10,0,0 
"      Czechoslovakian, n.o.s. [10]",10,0,0 
"      Estonian",0,0,0 
"      Hungarian",45,25,20 
"      Latvian",10,0,10 
"      Lithuanian",30,20,0 
"      Moldovan",0,0,0 
"      Polish",290,75,215 
"      Romanian",40,20,20 
"      Russian",90,25,60 
"      Slovak",0,0,0 
"      Ukrainian",125,25,105 
"      Eastern European origins, n.i.e. [11]",0,0,0 
"    Southern European origins",1500,505,995 
"      Albanian",0,0,0 
"      Bosnian",15,20,0 
"      Catalan",0,0,0 
"      Croatian",25,10,10 
"      Cypriot",0,0,0 
"      Greek",60,30,25 
"      Italian",880,255,630 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",10,0,10 
"      Montenegrin",0,0,0 
"      Portuguese",285,120,165 
"      Serbian",15,15,0 
"      Sicilian",0,0,10 
"      Slovenian",0,0,0 
"      Spanish",235,55,180 
"      Yugoslavian, n.o.s. [12]",10,0,10 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",150,40,110 
"      Basque",40,0,30 
"      Jewish",25,0,20 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",90,35,55 
"  Caribbean origins",210,110,95 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,0 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",20,10,15 
"    Dominican",15,10,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",120,85,40 
"    Jamaican",0,0,10 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",20,10,15 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",0,0,0 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",10,0,0 
"    Caribbean origins, n.i.e. [17]",0,0,10 
"  Latin, Central and South American origins",335,180,155 
"    Aboriginal from Central/South America (except Arawak and Maya)",15,0,15 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
"    Belizean",0,0,0 
"    Bolivian",20,0,15 
"    Brazilian",25,10,15 
"    Chilean",45,15,35 
"    Colombian",85,80,10 
"    Costa Rican",10,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",25,10,20 
"    Guyanese",20,20,0 
"    Hispanic",0,0,0 
"    Honduran",0,0,0 
"    Maya",10,0,10 
"    Mexican",50,0,45 
"    Nicaraguan",0,0,10 
"    Panamanian",10,0,10 
"    Paraguayan",0,0,0 
"    Peruvian",40,35,10 
"    Salvadorean",10,0,10 
"    Uruguayan",0,0,0 
"    Venezuelan",20,15,10 
"    Latin, Central and South American origins, n.i.e. [18]",0,0,10 
"  African origins",975,635,340 
"    Central and West African origins",315,240,80 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",35,25,10 
"      Burkinabe",10,10,0 
"      Cameroonian",40,45,0 
"      Chadian",0,0,0 
"      Congolese",70,70,0 
"      Edo",0,0,0 
"      Ewe",10,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",0,0,0 
"      Guinean",15,0,15 
"      Ibo",0,0,0 
"      Ivorian",25,25,0 
