"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Saint John"
"Global non-response rate (GNR) =   4.9 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",123520,59070,64455 
"  North American Aboriginal origins",5720,465,5255 
"    First Nations (North American Indian)",4740,375,4365 
"    Inuit",145,35,115 
"    Métis",1045,55,985 
"  Other North American origins",58920,30935,27985 
"    Acadian",1765,170,1590 
"    American",1285,95,1185 
"    Canadian",56905,30630,26275 
"    New Brunswicker",45,15,30 
"    Newfoundlander",150,10,135 
"    Nova Scotian",30,0,25 
"    Ontarian",0,0,0 
"    Québécois",25,10,15 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",86530,23455,63075 
"    British Isles origins",74455,17770,56685 
"      Channel Islander",10,0,10 
"      Cornish",15,0,10 
"      English",40295,7735,32560 
"      Irish",37655,5385,32270 
"      Manx",15,0,10 
"      Scottish",30785,3990,26795 
"      Welsh",2535,140,2390 
"      British Isles origins, n.i.e. [7]",2575,505,2075 
"    French origins",25010,3195,21815 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",25010,3195,21810 
"    Western European origins (except French origins)",10055,1100,8960 
"      Austrian",240,10,230 
"      Bavarian",0,0,0 
"      Belgian",165,10,160 
"      Dutch",3245,430,2815 
"      Flemish",10,0,10 
"      Frisian",0,0,0 
"      German",6885,615,6270 
"      Luxembourger",0,0,0 
"      Swiss",175,25,155 
"      Western European origins, n.i.e. [8]",15,10,10 
"    Northern European origins (except British Isles origins)",2400,260,2140 
"      Danish",765,75,685 
"      Finnish",60,15,45 
"      Icelandic",65,0,65 
"      Norwegian",965,75,890 
"      Swedish",510,65,445 
"      Northern European origins, n.i.e. [9]",180,20,160 
"    Eastern European origins",2810,485,2325 
"      Bulgarian",40,10,35 
"      Byelorussian",25,10,15 
"      Czech",105,20,85 
"      Czechoslovakian, n.o.s. [10]",85,10,75 
"      Estonian",20,0,15 
"      Hungarian",300,85,215 
"      Latvian",80,0,75 
"      Lithuanian",75,0,70 
"      Moldovan",20,10,10 
"      Polish",815,90,725 
"      Romanian",155,85,75 
"      Russian",605,55,545 
"      Slovak",45,0,40 
"      Ukrainian",895,100,795 
"      Eastern European origins, n.i.e. [11]",25,10,20 
"    Southern European origins",3135,540,2595 
"      Albanian",0,0,0 
"      Bosnian",20,15,10 
"      Catalan",0,0,0 
"      Croatian",145,10,135 
"      Cypriot",0,0,0 
"      Greek",360,130,225 
"      Italian",1545,180,1365 
"      Kosovar",0,0,0 
"      Macedonian",15,0,10 
"      Maltese",35,10,30 
"      Montenegrin",0,0,0 
"      Portuguese",400,95,305 
"      Serbian",15,10,10 
"      Sicilian",0,0,0 
"      Slovenian",20,15,10 
"      Spanish",670,50,615 
"      Yugoslavian, n.o.s. [12]",40,15,25 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",300,110,190 
"      Basque",15,0,15 
"      Jewish",150,40,110 
"      Roma (Gypsy)",10,0,10 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",125,75,55 
"  Caribbean origins",550,85,460 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",40,10,30 
"    Bermudan",60,0,60 
"    Carib",0,0,0 
"    Cuban",65,25,35 
"    Dominican",0,0,0 
"    Grenadian",0,0,10 
"    Guadeloupean",10,0,10 
"    Haitian",15,0,10 
"    Jamaican",160,15,140 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,10 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",75,15,55 
"    Vincentian/Grenadinian",30,0,30 
"    West Indian, n.o.s. [16]",45,10,45 
"    Caribbean origins, n.i.e. [17]",45,0,35 
"  Latin, Central and South American origins",330,110,215 
"    Aboriginal from Central/South America (except Arawak and Maya)",20,0,15 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",0,0,0 
"    Chilean",10,0,10 
"    Colombian",40,20,20 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",50,10,40 
"    Guyanese",10,0,10 
"    Hispanic",10,0,15 
"    Honduran",0,0,0 
"    Maya",0,0,10 
"    Mexican",120,50,75 
"    Nicaraguan",10,0,10 
"    Panamanian",10,0,0 
"    Paraguayan",0,0,0 
"    Peruvian",25,15,15 
"    Salvadorean",10,0,0 
"    Uruguayan",0,0,0 
"    Venezuelan",10,10,0 
"    Latin, Central and South American origins, n.i.e. [18]",10,0,10 
"  African origins",1375,400,970 
"    Central and West African origins",295,205,90 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",10,10,0 
"      Chadian",0,0,0 
"      Congolese",75,70,0 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",25,20,0 
"      Guinean",0,0,10 
"      Ibo",55,35,20 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",35,0,40 
"      Malinké",0,0,0 
"      Nigerian",80,30,45 
"      Peulh",0,0,0 
"      Senegalese",10,0,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",0,0,10 
"      Central and West African origins, n.i.e. [19]",35,35,0 
"    North African origins",140,60,80 
"      Algerian",25,10,10 
"      Berber",15,10,10 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",45,25,25 
"      Libyan",0,0,0 
"      Maure",0,0,0 
"      Moroccan",60,20,40 
"      Sudanese",10,0,10 
"      Tunisian",0,0,0 
"      North African origins, n.i.e. [20]",0,0,0 
"    Southern and East African origins",175,70,105 
"      Afrikaner",0,0,0 
"      Amhara",0,0,0 
"      Bantu, n.o.s. [21]",0,0,0 
"      Burundian",0,0,0 
"      Djiboutian",0,0,0 
"      Eritrean",10,0,10 
"      Ethiopian",35,10,25 
"      Harari",0,0,0 
"      Kenyan",0,0,0 
"      Malagasy",0,0,0 
"      Mauritian",0,0,0 
"      Oromo",0,0,0 
"      Rwandan",25,25,0 
"      Seychellois",0,0,0 
"      Somali",10,10,0 
"      South African",85,15,70 
"      Tanzanian",0,0,0 
"      Tigrian",0,0,0 
"      Ugandan",0,0,0 
"      Zambian",0,0,0 
"      Zimbabwean",30,10,20 
"      Zulu",0,0,0 
"      Southern and East African origins, n.i.e. [22]",0,0,10 
"    Other African origins",825,70,755 
"      Black, n.o.s. [23]",120,15,100 
"      Other African origins, n.i.e. [24]",710,60,650 
"  Asian origins",5245,3610,1635 
"    West Central Asian and Middle Eastern origins",2170,1180,990 
"      Afghan",20,20,0 
"      Arab, n.o.s. [25]",215,155,65 
"      Armenian",0,0,10 
"      Assyrian",0,0,0 
"      Azerbaijani",0,0,0 
"      Georgian",10,0,10 
"      Hazara",0,0,0 
"      Iranian",185,180,0 
"      Iraqi",20,10,15 
"      Israeli",70,55,15 
"      Jordanian",0,10,0 
"      Kazakh",0,0,0 
"      Kurd",10,0,10 
"      Kuwaiti",0,0,0 
"      Kyrgyz",0,0,0 
"      Lebanese",980,215,770 
"      Palestinian",25,20,0 
"      Pashtun",20,10,10 
"      Saudi Arabian",50,45,10 
"      Syrian",510,455,55 
"      Tajik",0,0,0 
"      Tatar",0,0,0 
"      Turk",55,20,35 
"      Turkmen",10,0,15 
"      Uighur",0,0,0 
"      Uzbek",0,0,0 
"      Yemeni",25,0,20 
"      West Central Asian and Middle Eastern origins, n.i.e. [26]",25,0,20 
"    South Asian origins",765,525,240 
"      Bangladeshi",30,30,0 
"      Bengali",25,10,15 
"      Bhutanese",0,0,0 
"      East Indian",560,375,190 
"      Goan",0,0,0 
"      Gujarati",0,0,0 
"      Kashmiri",0,0,0 
"      Nepali",10,10,0 
"      Pakistani",85,60,25 
"      Punjabi",15,15,0 
"      Sinhalese",0,0,0 
