"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Sept-Îles"
"Global non-response rate (GNR) =   6.1 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",28065,22335,5735 
"  North American Aboriginal origins",5470,3645,1835 
"    First Nations (North American Indian)",4600,3290,1310 
"    Inuit",135,25,110 
"    Métis",935,330,605 
"  Other North American origins",19850,15375,4480 
"    Acadian",235,60,180 
"    American",100,10,85 
"    Canadian",18855,14645,4205 
"    New Brunswicker",10,10,0 
"    Newfoundlander",15,0,15 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",960,650,305 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",7535,3015,4520 
"    British Isles origins",2300,610,1695 
"      Channel Islander",45,10,40 
"      Cornish",0,0,0 
"      English",640,120,520 
"      Irish",1370,390,985 
"      Manx",0,0,0 
"      Scottish",595,85,515 
"      Welsh",0,0,0 
"      British Isles origins, n.i.e. [7]",35,0,30 
"    French origins",5630,2055,3575 
"      Alsatian",0,0,0 
"      Breton",10,10,0 
"      Corsican",0,0,0 
"      French",5620,2050,3575 
"    Western European origins (except French origins)",285,65,220 
"      Austrian",20,0,15 
"      Bavarian",0,0,0 
"      Belgian",25,10,25 
"      Dutch",35,10,25 
"      Flemish",0,0,0 
"      Frisian",0,0,0 
"      German",195,50,150 
"      Luxembourger",0,0,0 
"      Swiss",15,10,10 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",20,10,15 
"      Danish",0,0,0 
"      Finnish",0,10,10 
"      Icelandic",0,0,0 
"      Norwegian",10,10,0 
"      Swedish",0,0,10 
"      Northern European origins, n.i.e. [9]",0,0,0 
"    Eastern European origins",80,45,35 
"      Bulgarian",10,10,0 
"      Byelorussian",0,0,0 
"      Czech",0,10,0 
"      Czechoslovakian, n.o.s. [10]",0,0,0 
"      Estonian",0,0,0 
"      Hungarian",0,0,0 
"      Latvian",0,0,0 
"      Lithuanian",10,10,10 
"      Moldovan",0,0,0 
"      Polish",25,10,15 
"      Romanian",25,20,10 
"      Russian",10,0,10 
"      Slovak",0,0,0 
"      Ukrainian",15,10,10 
"      Eastern European origins, n.i.e. [11]",0,0,0 
"    Southern European origins",440,225,215 
"      Albanian",0,0,0 
"      Bosnian",0,0,0 
"      Catalan",0,0,0 
"      Croatian",0,0,0 
"      Cypriot",0,0,0 
"      Greek",15,0,15 
"      Italian",300,170,130 
"      Kosovar",0,0,0 
"      Macedonian",10,0,0 
"      Maltese",0,0,0 
"      Montenegrin",0,0,0 
"      Portuguese",60,45,20 
"      Serbian",0,0,0 
"      Sicilian",0,0,0 
"      Slovenian",0,0,0 
"      Spanish",55,10,45 
"      Yugoslavian, n.o.s. [12]",0,0,0 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",35,10,25 
"      Basque",0,0,10 
"      Jewish",0,0,0 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",30,10,15 
"  Caribbean origins",95,70,20 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,0 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",10,10,10 
"    Dominican",15,10,10 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",40,30,10 
"    Jamaican",0,0,0 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",0,0,0 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",0,0,0 
"    Caribbean origins, n.i.e. [17]",25,25,0 
"  Latin, Central and South American origins",30,25,10 
"    Aboriginal from Central/South America (except Arawak and Maya)",0,0,0 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",0,0,0 
"    Chilean",0,0,0 
"    Colombian",20,20,0 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",0,0,0 
"    Hispanic",0,0,0 
"    Honduran",0,0,0 
"    Maya",0,0,0 
"    Mexican",0,0,0 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",0,0,0 
"    Peruvian",0,0,0 
"    Salvadorean",0,0,0 
"    Uruguayan",0,0,0 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [18]",0,10,0 
"  African origins",200,145,55 
"    Central and West African origins",30,20,15 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",10,0,10 
"      Burkinabe",0,0,0 
"      Cameroonian",0,0,0 
"      Chadian",0,0,0 
"      Congolese",0,0,0 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",0,0,0 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",10,10,0 
"      Malinké",0,0,0 
"      Nigerian",0,0,0 
"      Peulh",0,0,0 
"      Senegalese",20,10,10 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",0,0,0 
"      Central and West African origins, n.i.e. [19]",0,0,0 
"    North African origins",125,105,15 
"      Algerian",15,10,10 
"      Berber",40,35,0 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",25,25,0 
"      Libyan",0,0,0 
"      Maure",0,0,0 
"      Moroccan",15,0,15 
"      Sudanese",0,0,0 
"      Tunisian",35,30,0 
