"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Thunder Bay"
"Global non-response rate (GNR) =   5.0 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",118880,47640,71235 
"  North American Aboriginal origins",15665,5560,10105 
"    First Nations (North American Indian)",12425,5215,7215 
"    Inuit",100,15,85 
"    Métis",3480,330,3145 
"  Other North American origins",28820,9955,18870 
"    Acadian",130,10,125 
"    American",1290,70,1220 
"    Canadian",27850,9845,18005 
"    New Brunswicker",0,0,0 
"    Newfoundlander",95,15,80 
"    Nova Scotian",0,0,0 
"    Ontarian",30,0,30 
"    Québécois",40,10,35 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",97730,28590,69140 
"    British Isles origins",56135,7275,48860 
"      Channel Islander",0,0,0 
"      Cornish",10,0,10 
"      English",32825,3760,29065 
"      Irish",22115,1125,20985 
"      Manx",30,10,30 
"      Scottish",25420,1875,23545 
"      Welsh",2235,120,2120 
"      British Isles origins, n.i.e. [7]",2205,385,1820 
"    French origins",19420,1680,17740 
"      Alsatian",0,0,0 
"      Breton",10,0,15 
"      Corsican",0,0,0 
"      French",19405,1685,17720 
"    Western European origins (except French origins)",18445,2565,15885 
"      Austrian",920,85,840 
"      Bavarian",0,0,0 
"      Belgian",430,45,390 
"      Dutch",4815,1145,3670 
"      Flemish",50,0,55 
"      Frisian",30,0,30 
"      German",13020,1230,11785 
"      Luxembourger",0,0,0 
"      Swiss",455,60,400 
"      Western European origins, n.i.e. [8]",15,10,10 
"    Northern European origins (except British Isles origins)",21570,4115,17455 
"      Danish",1325,145,1180 
"      Finnish",13560,3385,10175 
"      Icelandic",760,35,720 
"      Norwegian",3320,195,3130 
"      Swedish",5360,325,5040 
"      Northern European origins, n.i.e. [9]",315,30,280 
"    Eastern European origins",26215,5450,20765 
"      Bulgarian",55,0,50 
"      Byelorussian",30,0,25 
"      Czech",315,75,240 
"      Czechoslovakian, n.o.s. [10]",285,35,250 
"      Estonian",270,45,225 
"      Hungarian",1070,215,860 
"      Latvian",235,30,210 
"      Lithuanian",240,20,215 
"      Moldovan",0,0,0 
"      Polish",8395,1620,6775 
"      Romanian",520,60,460 
"      Russian",1390,95,1300 
"      Slovak",2370,405,1965 
"      Ukrainian",16085,2835,13245 
"      Eastern European origins, n.i.e. [11]",30,10,20 
"    Southern European origins",20245,7405,12835 
"      Albanian",10,0,10 
"      Bosnian",35,0,35 
"      Catalan",0,0,0 
"      Croatian",1235,375,855 
"      Cypriot",0,0,0 
"      Greek",770,190,575 
"      Italian",16610,6040,10575 
"      Kosovar",0,0,0 
"      Macedonian",10,10,0 
"      Maltese",45,10,35 
"      Montenegrin",0,0,0 
"      Portuguese",1070,495,570 
"      Serbian",180,70,115 
"      Sicilian",25,0,20 
"      Slovenian",330,100,235 
"      Spanish",450,55,395 
"      Yugoslavian, n.o.s. [12]",300,65,235 
"      Southern European origins, n.i.e. [13]",10,0,10 
"    Other European origins",360,100,265 
"      Basque",10,0,15 
"      Jewish",150,0,145 
"      Roma (Gypsy)",15,0,10 
"      Slavic, n.o.s. [14]",15,0,15 
"      Other European origins, n.i.e. [15]",175,90,85 
"  Caribbean origins",395,55,335 
"    Antiguan",0,0,0 
"    Bahamian",20,0,15 
"    Barbadian",60,15,45 
"    Bermudan",10,0,10 
"    Carib",0,0,0 
"    Cuban",45,0,40 
"    Dominican",0,0,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",20,10,15 
"    Jamaican",175,30,145 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",30,0,30 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",25,0,25 
"    Caribbean origins, n.i.e. [17]",10,0,10 
"  Latin, Central and South American origins",640,275,365 
"    Aboriginal from Central/South America (except Arawak and Maya)",0,0,0 
"    Arawak",0,0,0 
"    Argentinian",15,0,15 
"    Belizean",35,0,40 
"    Bolivian",0,0,0 
"    Brazilian",80,30,45 
"    Chilean",60,50,15 
"    Colombian",65,55,10 
"    Costa Rican",20,0,20 
"    Ecuadorian",0,0,0 
"    Guatemalan",20,0,20 
"    Guyanese",20,0,20 
"    Hispanic",0,0,0 
"    Honduran",15,10,0 
"    Maya",10,15,0 
"    Mexican",160,55,100 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",0,0,0 
"    Peruvian",20,10,10 
"    Salvadorean",50,25,25 
"    Uruguayan",10,0,10 
"    Venezuelan",15,0,10 
"    Latin, Central and South American origins, n.i.e. [18]",60,20,40 
"  African origins",790,325,465 
"    Central and West African origins",260,175,85 
"      Akan",10,0,10 
"      Angolan",0,0,0 
"      Ashanti",10,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",10,10,0 
"      Chadian",10,10,0 
"      Congolese",0,0,0 
"      Edo",0,0,0 
"      Ewe",0,0,0 
