"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Timmins"
"Global non-response rate (GNR) =   5.8 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",41225,18415,22810 
"  North American Aboriginal origins",5800,1410,4390 
"    First Nations (North American Indian)",3320,1105,2215 
"    Inuit",105,10,95 
"    Métis",2585,300,2285 
"  Other North American origins",21550,9720,11830 
"    Acadian",65,10,55 
"    American",255,20,235 
"    Canadian",21270,9650,11615 
"    New Brunswicker",0,0,0 
"    Newfoundlander",60,0,55 
"    Nova Scotian",10,0,10 
"    Ontarian",40,15,20 
"    Québécois",65,20,45 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",28910,6765,22145 
"    British Isles origins",15550,1860,13690 
"      Channel Islander",0,0,0 
"      Cornish",15,0,15 
"      English",8435,1000,7435 
"      Irish",6395,390,6005 
"      Manx",10,10,0 
"      Scottish",5610,340,5270 
"      Welsh",400,20,380 
"      British Isles origins, n.i.e. [7]",660,105,555 
"    French origins",16790,2855,13935 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",16790,2850,13940 
"    Western European origins (except French origins)",3320,350,2975 
"      Austrian",130,0,130 
"      Bavarian",0,0,0 
"      Belgian",130,10,120 
"      Dutch",690,100,580 
"      Flemish",10,0,10 
"      Frisian",0,0,0 
"      German",2470,230,2235 
"      Luxembourger",10,0,0 
"      Swiss",85,0,80 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",1490,230,1260 
"      Danish",115,0,110 
"      Finnish",875,180,695 
"      Icelandic",10,0,15 
"      Norwegian",260,0,250 
"      Swedish",220,10,210 
"      Northern European origins, n.i.e. [9]",85,25,60 
"    Eastern European origins",2895,450,2445 
"      Bulgarian",10,0,10 
"      Byelorussian",15,0,15 
"      Czech",55,0,55 
"      Czechoslovakian, n.o.s. [10]",15,10,10 
"      Estonian",25,0,25 
"      Hungarian",180,35,150 
"      Latvian",10,10,0 
"      Lithuanian",70,10,65 
"      Moldovan",0,0,0 
"      Polish",1415,185,1235 
"      Romanian",165,45,120 
"      Russian",250,20,230 
"      Slovak",100,15,85 
"      Ukrainian",980,130,850 
"      Eastern European origins, n.i.e. [11]",10,0,10 
"    Southern European origins",3925,1000,2920 
"      Albanian",20,25,0 
"      Bosnian",0,0,0 
"      Catalan",0,0,0 
"      Croatian",425,135,290 
"      Cypriot",0,0,0 
"      Greek",85,15,70 
"      Italian",2920,735,2175 
"      Kosovar",0,0,0 
"      Macedonian",15,0,15 
"      Maltese",15,10,0 
"      Montenegrin",0,0,0 
"      Portuguese",135,25,110 
"      Serbian",25,10,20 
"      Sicilian",10,0,0 
"      Slovenian",120,25,95 
"      Spanish",230,10,220 
"      Yugoslavian, n.o.s. [12]",80,15,65 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",95,25,75 
"      Basque",0,0,0 
"      Jewish",55,15,40 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [14]",10,0,10 
"      Other European origins, n.i.e. [15]",35,10,30 
"  Caribbean origins",140,60,80 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,10 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",20,0,10 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",0,0,0 
"    Jamaican",100,40,60 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",0,0,0 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",0,10,0 
"    Caribbean origins, n.i.e. [17]",0,0,0 
"  Latin, Central and South American origins",120,45,80 
"    Aboriginal from Central/South America (except Arawak and Maya)",10,0,10 
"    Arawak",0,0,0 
"    Argentinian",10,0,0 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",0,0,0 
"    Chilean",15,15,0 
