"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Wood Buffalo [1]"
"Global non-response rate (GNR) =  20.7 %"
"Generation status (4) = Total - Generation status [2]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [3]","  Single ethnic origin responses [4]","  Multiple ethnic origin responses [5]", 
"Total - Ethnic origin [6]",73215,51000,22210 
"  North American Aboriginal origins",8065,3470,4590 
"    First Nations (North American Indian)",6160,2775,3385 
"    Inuit",275,90,180 
"    Métis",1935,605,1330 
"  Other North American origins",23725,17760,5960 
"    Acadian",330,125,210 
"    American",600,150,445 
"    Canadian",22795,17365,5430 
"    New Brunswicker",0,0,0 
"    Newfoundlander",220,105,120 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",40,10,30 
"    Other North American origins, n.i.e. [7]",10,10,0 
"  European origins",32510,12590,19920 
"    British Isles origins",22975,8060,14915 
"      Channel Islander",10,0,10 
"      Cornish",0,0,10 
"      English",11810,3640,8170 
"      Irish",9285,2145,7140 
"      Manx",0,0,0 
"      Scottish",8915,1780,7135 
"      Welsh",695,110,580 
"      British Isles origins, n.i.e. [8]",910,390,520 
"    French origins",5840,980,4860 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",5840,980,4860 
"    Western European origins (except French origins)",5985,1190,4795 
"      Austrian",280,45,240 
"      Bavarian",0,0,0 
"      Belgian",115,15,100 
"      Dutch",1425,320,1110 
"      Flemish",0,0,0 
"      Frisian",0,0,0 
"      German",4590,800,3790 
"      Luxembourger",0,0,0 
"      Swiss",90,10,85 
"      Western European origins, n.i.e. [9]",15,0,10 
"    Northern European origins (except British Isles origins)",2005,300,1715 
"      Danish",285,45,240 
"      Finnish",130,15,110 
"      Icelandic",230,20,210 
"      Norwegian",780,120,665 
"      Swedish",545,85,460 
"      Northern European origins, n.i.e. [10]",120,10,105 
"    Eastern European origins",4625,1170,3455 
"      Bulgarian",25,15,10 
"      Byelorussian",0,0,0 
"      Czech",60,0,55 
"      Czechoslovakian, n.o.s. [11]",105,15,90 
"      Estonian",10,10,0 
"      Hungarian",390,105,280 
"      Latvian",20,0,20 
"      Lithuanian",60,15,45 
"      Moldovan",0,10,0 
"      Polish",1200,205,995 
"      Romanian",270,125,145 
"      Russian",725,160,560 
"      Slovak",75,15,60 
"      Ukrainian",2320,465,1855 
"      Eastern European origins, n.i.e. [12]",35,20,20 
"    Southern European origins",2340,795,1545 
"      Albanian",0,10,0 
"      Bosnian",55,40,20 
"      Catalan",0,0,0 
"      Croatian",75,20,55 
"      Cypriot",10,0,10 
"      Greek",150,55,105 
"      Italian",955,245,710 
"      Kosovar",0,0,0 
"      Macedonian",15,15,0 
"      Maltese",10,0,10 
"      Montenegrin",0,0,0 
"      Portuguese",280,105,180 
"      Serbian",105,70,35 
"      Sicilian",10,0,10 
"      Slovenian",40,0,40 
"      Spanish",690,210,480 
"      Yugoslavian, n.o.s. [13]",55,15,35 
"      Southern European origins, n.i.e. [14]",15,10,0 
"    Other European origins",225,100,125 
"      Basque",0,0,10 
"      Jewish",30,0,30 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [15]",10,15,0 
"      Other European origins, n.i.e. [16]",175,90,90 
"  Caribbean origins",655,450,205 
"    Antiguan",0,0,0 
"    Bahamian",20,10,15 
"    Barbadian",30,10,20 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",25,10,15 
"    Dominican",30,10,25 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",60,60,0 
"    Jamaican",335,260,75 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",100,55,45 
"    Vincentian/Grenadinian",10,0,0 
"    West Indian, n.o.s. [17]",40,35,0 
"    Caribbean origins, n.i.e. [18]",25,15,15 
"  Latin, Central and South American origins",1065,715,345 
"    Aboriginal from Central/South America (except Arawak and Maya)",40,0,35 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
