nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,167,,
Albania,2491,1225.2244653960563,0.06103812346608329
Austria,1683,1007.1305366686609,0.041239326292018534
Belgium,386,482.3488966311409,0.009458336273748754
Bulgaria,1230,861.0029124142152,0.030139258074380747
Czechoslovakia,609,605.8598444599994,0.014922608266095835
Denmark,581,591.7688565684031,0.014236511334321314
Finland,398,489.7889148390042,0.009752377815937836
France,3026,1350.3718798374298,0.07414747555534647
Germany,14274,2931.4608549598656,0.3497624144339112
Greece,2639,1261.0890667232168,0.06466463581974861
Hungary,2216,1155.6298444686772,0.05429967145758353
Iceland,86,227.67869716976367,0.0021072977190217433
Ireland,1426,927.060785853524,0.0349419365968024
Italy,7295,2096.296827777224,0.17875275418911185
Netherlands,1799,1041.2551140455823,0.04408172786651298
Norway,245,384.2848654501153,0.00600334815302706
Poland,4378,1624.171371230414,0.1072761559753162
Portugal,438,513.8113966267098,0.010732516289901437
Romania,6592,1992.790783268324,0.16152682050920153
Spain,1380,911.987404413167,0.033814777351744256
Sweden,352,460.6166114759523,0.008625218570879693
Switzerland,355,462.57524290881184,0.008698728956426965
"United Kingdom, n.o.s",5409,1805.233706932748,0.13253922514172803
England,5986,1899.033600951685,0.14667772262865297
Scotland,1312,889.2368862608602,0.03214854194600613
Northern Ireland,264,398.9071782310623,0.006468913928159771
Yugoslavia,2323,1183.1954788871935,0.05692154187543616
Czech Republic,1094,812.0134729549314,0.026806787262904502
Slovakia,266,400.4153052725741,0.00651792085185795
Bosnia and Herzegovina,3196,1387.7753586382662,0.07831306406969177
Croatia,2449,1214.8536534435175,0.0600089780684215
Macedonia,1734,1022.2739915256028,0.04248900284632213
Serbia,1570,972.7374076645204,0.03847043510307136
Latvia,408,495.9036590044447,0.009997412434428737
Lithuania,729,662.864976221881,0.01786302368798664
Armenia,583,592.7864662077716,0.014285518258019493
Azerbaijan,490,543.4552121091056,0.01200669630605412
Belarus,895,734.4627315569663,0.021930598354935587
Georgia (country),269,402.66690416115847,0.0065914312374052205
Moldova,919,744.2443712310748,0.022518681439313744
Russia,9001,2328.380821991883,0.22055566010365946
Ukraine,10585,2524.787409138749,0.2593691436726181
USSR,680,640.2014730492543,0.016662354057381226
Europe,162,312.4850734305588,0.003969560819552586
Kosovo,95,239.29565256921,0.002327828875663554
Montenegro,173,322.91975807485767,0.004239098899892577
"Other Europe, n.o.s",1344,900.0146851218178,0.032932652725177015
Afghanistan,940,752.6990057575969,0.023033254138144638
Bangladesh,2429,1209.88390112466,0.059518908831439704
Bhutan,13524,2853.498755248688,0.3313848180470937
Myanmar,1450,934.8286342567902,0.03553001968118056
Cambodia,2151,1138.5583054369304,0.05270694643739267
China,34822,4574.653653805461,0.8532595485090133
Hong Kong,2095,1123.6423969086134,0.05133475257384364
India,66680,6321.772379818381,1.6338908360973237
Indonesia,1339,898.3391815493376,0.032810135415931564
Iran,3036,1352.6007467253612,0.07439251017383736
Iraq,3193,1387.124048680262,0.0782395536841445
Israel,2176,1145.1544226378442,0.053319532983619924
Japan,8398,2249.0944868044303,0.20578007260865813
Jordan,4668,1677.081019297337,0.1143821599115523
Korea,10360,2497.8331041403508,0.25385586475657285
Kazakhstan,626,614.2573695867301,0.015339167117530366
Kyrgyzstan,236,377.1606764949578,0.005782816996385249
Kuwait,1393,916.2724221228908,0.034133322355782425
Laos,2677,1270.1340234355473,0.06559576737001403
Lebanon,3997,1551.9155268847808,0.09794033701081288
Malaysia,1499,950.490800344269,0.03673068931178597
Mongolia,46,166.51479452850518,0.0011271592450581417
Nepal,9159,2348.711882310731,0.22442720707581565
Pakistan,5287,1784.7683272772226,0.12954980279613904
Philippines,17222,3219.5752782704694,0.4219986199650287
Saudi Arabia,4231,1596.6811499490852,0.10367414708349995
Singapore,464,528.841085824149,0.011369606297977779
Sri Lanka,1299,884.8208893887631,0.03182999694196796
Syria,3685,1490.134632311349,0.0902952569138968
Taiwan,3737,1500.6083249253552,0.09156943693004949
Thailand,3442,1440.179682408511,0.08434091568456792
Turkey,1901,1070.3621471000824,0.04658108097512016
United Arab Emirates,1103,815.3464118118791,0.027027318419546316
Uzbekistan,3775,1508.2161232844312,0.0925005684803149
Vietnam,10372,2499.2780317756174,0.2541499062987619
Yemen,197,344.5912434148751,0.004827181984270738
Asia,2973,1338.4968591930322,0.07284879207734468
"South Central Asia, n.o.s",14,91.86255453040634,0.00034304846588726056
"Other Asia, n.o.s",910,740.5914011782695,0.022298150282671937
Bermuda,195,342.8376161556696,0.004778175060572558
Canada,14815,2986.4282663013278,0.36301878729426895
Mexico,44514,5170.115660544236,1.090747100750394
Belize,132,282.07155253333707,0.0032344569640798855
Costa Rica,1210,853.9749252643736,0.029649188837398945
El Salvador,8893,2314.380560667446,0.21790928622395772
Guatemala,8878,2312.429355682378,0.21754173429622137
Honduras,5498,1820.0179374452805,0.13472003324629703
Nicaragua,701,650.0111916919205,0.017176926756212116
Panama,1339,898.3391815493376,0.032810135415931564
Antigua & Barbuda,127,276.67777598678254,0.003111939654834435
Bahamas,571,586.654326571163,0.013991476715830413
