nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,169,,
American Samoa,61,191.75087821602688,0.0014345144168698895
Albania,64,196.4094218914287,0.0015050643062241463
Austria,810,698.6932266642168,0.019048470125649353
Belgium,1138,828.1379895354645,0.026761924695048102
Bulgaria,1038,790.9227146513362,0.024410261716572873
Czechoslovakia,457,524.8262134867067,0.010747099811631794
Denmark,717,657.3658374490795,0.01686142355566739
Finland,612,607.3335154252143,0.0143921774282684
France,2514,1230.727738127215,0.05912080727886725
Germany,13676,2867.7071064175693,0.32161342893627226
Greece,583,592.7709539465926,0.013710195164510584
Hungary,1099,813.8266415499479,0.025844776133442767
Iceland,33,141.03616052224564,0.0007760487828968254
Ireland,1521,957.3740434566226,0.03576879390260823
Italy,1933,1079.2382570377852,0.04545764537392617
Netherlands,1393,916.2151264542108,0.03275866529015994
Norway,521,560.3686773451878,0.012252164117855941
Poland,4847,1708.5484036098107,0.11398510456669435
Portugal,297,423.0987227744693,0.006984439046071429
Azores Islands,16,98.20512276853395,0.00037626607655603657
Romania,1432,928.9491212934832,0.033675813851765275
Spain,1889,1066.8885489808906,0.044422913663397075
Sweden,1106,816.4138327819161,0.02600939254193603
Switzerland,1481,944.7047280529848,0.03482812871121814
"United Kingdom, n.o.s",6157,1925.4205486052983,0.14479188958471984
England,6334,1952.8699922411147,0.14895433305662098
Scotland,1147,831.4055974174007,0.026973574363110875
Northern Ireland,207,353.2255233675862,0.004867942365443723
Yugoslavia,445,517.8904223149747,0.010464900254214768
Czech Republic,1069,802.6441555704841,0.02513927723990019
Slovakia,486,541.2207674878373,0.011429082075389611
Bosnia and Herzegovina,1528,959.5739579171956,0.0359334103111015
Croatia,369,471.6001567435548,0.008677636390573595
Macedonia,191,339.30026221399004,0.004491676288887687
Serbia,321,439.8606333277817,0.007548838160905484
Latvia,440,514.9729315454478,0.010347317105291007
Lithuania,472,533.3690961750171,0.01109984925840308
Armenia,537,568.9073253054574,0.012628430194411977
Azerbaijan,214,359.14806063850125,0.0050325587739369895
Belarus,1167,838.6213296624513,0.027443906958805917
Georgia (country),251,388.9574513581348,0.0059026740759728245
Moldova,883,729.4938002236977,0.02076518409993627
Russia,7612,2140.598139912492,0.1790085859215344
Ukraine,4361,1620.6986672518635,0.10255602249130472
USSR,914,742.1867127709015,0.02149419962326359
Europe,86,227.67781833760748,0.002022430161488697
Kosovo,71,206.8717742013553,0.0016696807147174124
Montenegro,66,199.45467595904225,0.0015520975657936508
"Other Europe, n.o.s",381,479.2065992681332,0.008959835947990621
Afghanistan,1084,808.2547526498356,0.02549202668667148
Bangladesh,1310,888.5066796367346,0.030806785018025494
Bhutan,2019,1102.9766035226703,0.04748007553541487
Myanmar,2081,1119.7777340795876,0.04893810658206951
Cambodia,2361,1192.705311346899,0.05552276292180015
China,18229,3309.5080161472624,0.4286846443462495
Hong Kong,1109,817.5201206759294,0.02607994243129029
India,21272,3574.1297999672333,0.5002457487812506
Indonesia,1622,988.6410368839528,0.038143973510868213
Iran,3446,1440.7930622583674,0.08103830623825639
Iraq,3310,1412.0924534008857,0.07784004458753008
Israel,1160,836.102912713041,0.027279290550312654
Japan,4309,1611.014514241538,0.1013331577424976
Jordan,720,658.7394715782737,0.016931973445021647
Korea,15017,3004.663415789033,0.3531492294776251
Kazakhstan,372,473.51322570715126,0.008748186279927852
Kyrgyzstan,138,288.40917073871145,0.003245294910295816
Kuwait,543,572.0764500682142,0.012769529973120494
Laos,2511,1229.9935170130789,0.059050257389512986
Lebanon,1023,785.188187952241,0.02405751226980159
Malaysia,1164,837.5429361316245,0.02737335706945166
Mongolia,796,692.6296658730186,0.01871923730866282
Nepal,5294,1785.5243227367623,0.12449703808047861
Pakistan,1885,1065.7587426749078,0.04432884714425806
Philippines,11817,2666.1191565253603,0.2778960141664178
Saudi Arabia,1002,777.0887084529768,0.02356366304432179
Singapore,645,623.490932919504,0.015168226211165224
Sri Lanka,537,568.9073253054574,0.012628430194411977
Syria,371,472.8763962219765,0.0087246696501431
Taiwan,2981,1340.1166803790272,0.07010307338834657
Thailand,3696,1492.1086977501325,0.08691746368444446
Turkey,1333,896.2708073008906,0.0313476675030748
United Arab Emirates,417,501.333774658425,0.009806434620241705
Uzbekistan,1017,782.882607552799,0.023916412491093077
Vietnam,18156,3302.895858926081,0.4269679303719625
Yemen,132,282.06988136400906,0.0031041951315873015
Asia,344,455.3453727200503,0.008089720645954788
"South Central Asia, n.o.s",469,531.6715046602894,0.011029299369048824
"Other Asia, n.o.s",361,466.4602730796721,0.008489503352295575
Bermuda,40,155.27560734832974,0.0009406651913900915
Canada,14703,2973.1660298075235,0.3457650077252129
Mexico,210883,11064.789098144036,4.959257438897917
Belize,257,393.5786838270066,0.0060437738546813375
Costa Rica,642,622.0394271013445,0.015097676321810968
El Salvador,12749,2769.035734845593,0.2998135131258069
Guatemala,8055,2201.9208055603744,0.18942645291617968
Honduras,4683,1679.4190827575746,0.11012837728199495
Nicaragua,972,765.369248020519,0.022858164150779223
Panama,1065,801.1413553245243,0.025045210720761185
Antigua & Barbuda,16,98.20512276853395,0.00037626607655603657
Bahamas,242,381.92075441744464,0.005691024407910053
Barbados,167,317.2682826901923,0.0039272771740536325
Cuba,2733,1283.1896705246045,0.064270949201728
Dominica,61,191.75087821602688,0.0014345144168698895
Dominican Republic,2153,1138.9773026638152,0.050631303926571676
Grenada,35,145.24709425246692,0.0008230820424663301
Haiti,1012,780.9560873315291,0.023798829342169314
Jamaica,2493,1225.5789371043925,0.05862695805338745
St. Kitts-Nevis,25,122.75630693985856,0.0005879157446188072
St Lucia,93,236.76238400089443,0.002187046569981963
St Vincent & the Grenadines,96,240.55075964831573,0.0022575964593362194
Trinidad & Tobago,230,372.3316456660916,0.005408824850493026
West Indies,51,175.33067777186827,0.0011993481190223667
"Caribbean, n.o.s",75,212.61923179504444,0.0017637472338564214
Argentina,2836,1307.1343948176564,0.06669316206955749
Bolivia,280,410.8120277356063,0.006584656339730641
Brazil,4580,1660.8624062410108,0.10770616441416547
Chile,1939,1080.9113613351456,0.045598745152634686
Colombia,5511,1821.716393374424,0.12960014674376985
Ecuador,1805,1042.9052798140654,0.04244751676147788
Guyana,293,420.24006174385977,0.00689037252693242
Paraguay,215,359.98618216079313,0.005056075403721742
Peru,4877,1713.823192595724,0.11469060346023689
Uruguay,308,430.86223559568447,0.007243121973703705
Venezuela,4165,1583.886935681335,0.09794676305349329
South America,221,364.9744898497575,0.005197175182430256
"Americas, n.o.s",206,352.37131947261537,0.0048444257356589715
Algeria,607,604.8477540197306,0.01427459427934464
Cameroon,485,540.6637165165259,0.01140556544560486
Cabo Verde,51,175.33067777186827,0.0011993481190223667
Congo,595,598.8398115179615,0.01399239472192761
Egypt,838,710.6650709074274,0.019706935759622415
Ethiopia,9467,2386.8298214960446,0.22263193417224988
Eritrea,2235,1160.45607399123,0.05255966756892136
Gambia,72,208.32350556082775,0.0016931973445021647
Ghana,2915,1325.2060498065323,0.06855097582255291
Guinea,68,202.4541273315138,0.0015991308253631557
Ivory Coast,399,490.3950380269969,0.009383135284116164
Kenya,2307,1178.9924029955944,0.05425286491342353
Liberia,432,510.2702405485553,0.010159184067012989
Libya,488,542.3331523459766,0.011476115334959116
Morocco,1208,853.2226724669274,0.028408088779980765
Nigeria,2450,1214.9679554864988,0.05761574297264311
Rwanda,360,465.81379888192,0.008465986722510824
Senegal,617,609.8091399026144,0.014509760577192162
Sierra Leone,303,427.35085406784987,0.007125538824779944
Somalia,1306,887.1494539008334,0.030712718498886488
South Africa,2826,1304.8289614611226,0.06645799577170997
Sudan,2589,1248.9427476108358,0.060884554512723676
Tanzania,262,397.3886540911351,0.006161357003605099
Togo,127,276.6761988658361,0.0029866119826635405
Tunisia,40,155.27560734832974,0.0009406651913900915
Uganda,1033,789.0158400185762,0.024292678567649113
Democratic Republic of Congo (Zaire),1264,872.7710495604326,0.029725020047926893
Zambia,134,284.1986911999494,0.0031512283911568064
Zimbabwe,363,467.7505403472588,0.00853653661186508
Africa,1021,784.420414645065,0.024010479010232084
"Eastern Africa, n.o.s",92,235.48604819247197,0.0021635299401972104
"Western Africa, n.o.s",1331,895.5983402336523,0.0313006342435053
"Other Africa, n.o.s",598,600.3474361763186,0.014062944611281866
"Eastern Africa, n.o.s",405,494.0682014342642,0.009524235062824677
Australia,2890,1319.5139947515415,0.06796306007793411
Fiji,60,190.17267146368192,0.0014109977870851373
Marshall Islands,239,379.5461940605488,0.005620474518555797
Micronesia,378,477.3163556703075,0.008889286058636365
New Zealand,1056,797.7496963667185,0.024833561052698412
Samoa,51,175.33067777186827,0.0011993481190223667
"Other U.S. Island Areas, Oceania, n.o.s",376,476.05202244714377,0.00884225279906686
American Samoa,26,125.18734805039232,0.0006114323744035594
Albania,97,241.80034748073965,0.002281113089120972
Austria,847,714.4701820692676,0.019918585427685185
Belgium,1134,826.6810190892794,0.026667858175909095
Bulgaria,1335,896.9420657049611,0.031394700762644306
Czechoslovakia,410,497.1083128565893,0.009641818211748438
Denmark,674,637.3514241793996,0.015850208474923043
Finland,297,423.09864890580167,0.006984439046071429
France,2187,1147.9305056902049,0.051430869339253255
Germany,13403,2838.9857216889463,0.3151933890050349
Greece,638,620.0985658672753,0.01500360980267196
Hungary,933,749.8595722253126,0.021941015589173885
Iceland,35,145.24709126421172,0.0008230820424663301
Ireland,1033,789.0153608326034,0.024292678567649113
Italy,1963,1087.5767499632975,0.04616314426746874
Netherlands,1383,912.9206184343092,0.03252349899231241
Norway,459,525.9731421457296,0.0107941330712013
Poland,4511,1648.309634141031,0.10608351695901756
Portugal,215,359.98613666406555,0.005056075403721742
Azores Islands,20,109.79662546452188,0.00047033259569504576
Romania,1415,923.4192484181558,0.03327603114542449
Spain,1797,1040.5911938481638,0.04225938372319986
Sweden,1310,888.5059952980273,0.030806785018025494
Switzerland,1458,937.341449839751,0.03428724622616884
"United Kingdom, n.o.s",5994,1899.7832497532763,0.1409586789298052
England,6477,1974.7592828639156,0.15231721111584057
Scotland,1206,852.5156142294935,0.028361055520411262
Northern Ireland,200,347.2019190466103,0.004703325956950458
Yugoslavia,509,553.8781164589617,0.011969964560438914
Czech Republic,1054,796.9935389576164,0.02478652779312891
Slovakia,193,341.0719789050429,0.004538709548457191
Bosnia and Herzegovina,1610,984.9772296321624,0.03786177395345119
Croatia,290,418.0831650495651,0.0068198226375781636
Macedonia,109,256.3207965872,0.0025633126465379992
Serbia,287,415.91515388096417,0.006749272748223906
Latvia,489,542.8883336894819,0.011499631964743868
Lithuania,410,497.1083128565893,0.009641818211748438
Armenia,390,484.8329916582256,0.009171485616053392
Azerbaijan,199,346.3328569836732,0.004679809327165705
Belarus,1065,801.1408536994417,0.025045210720761185
Georgia (country),226,369.079858567015,0.005314758331354016
Moldova,723,660.1099652849676,0.017002523334375904
Russia,6858,2031.9423672333692,0.1612770470638312
Ukraine,4240,1598.0695305248184,0.09971051028734969
USSR,869,723.6881329491683,0.020435951282949737
Europe,13,88.52092393805839,0.0003057161872017797
Kosovo,44,162.85436976894115,0.0010347317105291007
Montenegro,73,209.76518059526043,0.001716713974286917
"Other Europe, n.o.s",532,566.2526572306924,0.012510847045488216
Afghanistan,1381,912.2604384458105,0.03247646573274291
Bangladesh,1238,863.7494581117677,0.029113587673523334
Bhutan,2201,1151.5974432424737,0.05176010215623978
Myanmar,1801,1041.748326142093,0.04235345024233887
Cambodia,2016,1102.1558336119735,0.047409525646060616
China,19477,3420.5075236560824,0.45803339831762035
Cyprus,62,193.3161935456786,0.0014580310466546418
Hong Kong,1215,855.6900524475953,0.028572705188474032
India,20857,3539.1790859022176,0.49048634742057845
Indonesia,1610,984.9772296321624,0.03786177395345119
Iran,3668,1486.44645720605,0.08625899805047138
