nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,169,,
American Samoa,110,257.4952722982384,0.0016176059050262398
Albania,7068,2063.5009272756565,0.10393853215204965
Austria,1434,929.6625271574004,0.02108769879825116
Belgium,591,596.8409385914055,0.00869095536245916
Bulgaria,1669,1002.9400720990452,0.02454349323171631
Czechoslovakia,490,543.4562593736949,0.007205699031480522
Denmark,629,615.7289177609271,0.00924976467510459
Finland,282,412.2822064783936,0.004146953320158179
France,4611,1666.844595652724,0.06780709843705447
Germany,17308,3227.8121180751805,0.25452293640176504
Greece,5934,1890.815541206688,0.08726248582205187
Hungary,2370,1195.113771369249,0.034852054499201715
Iceland,90,232.91341689007257,0.0013234957404760143
Ireland,4745,1690.882441690749,0.06977763653954097
Italy,16931,3192.511197330841,0.2489789597999933
Netherlands,2127,1132.1993250504495,0.03127861599991648
Norway,629,615.7289177609271,0.00924976467510459
Poland,11877,2674.4175148902914,0.17465732121815136
Portugal,2606,1253.194071742099,0.03832255444089437
Azores Islands,454,523.1124837631521,0.006676300735290117
Romania,5202,1770.4058100728687,0.07649805379951363
Spain,2314,1180.9124270483596,0.03402854603846108
Sweden,856,718.2858479907753,0.01258791504274965
Switzerland,779,685.2206547340788,0.01145559090923128
"United Kingdom, n.o.s",10550,2520.718185011896,0.1551431118002439
England,8551,2269.551325448799,0.1257468008534489
Scotland,1436,930.3105297647164,0.021117109814706183
Northern Ireland,705,651.8647757884337,0.010367383300395445
Yugoslavia,1433,929.3383563407128,0.021072993290023653
Czech Republic,541,571.0371116089103,0.007955679951083598
Slovakia,694,646.7595869480072,0.010205622709892823
Bosnia and Herzegovina,3522,1456.8353234727017,0.0517927999772947
Croatia,750,672.3460130605253,0.011029131170633453
Macedonia,60,190.173228471259,0.0008823304936506762
Serbia,935,750.697397512854,0.013749650192723038
Latvia,596,599.3602134888314,0.008764482903596717
Lithuania,943,753.9018642986699,0.013867294258543128
Armenia,528,564.1347859837642,0.007764508344125951
Azerbaijan,896,734.8754897552126,0.013176135371850098
Belarus,3820,1517.198757649329,0.056175041429093055
Georgia (country),1535,961.8409187320708,0.0225729551292298
Moldova,1094,812.0169667619303,0.01608782600089733
Russia,15682,3072.647821368309,0.23061178002383173
Ukraine,18311,3319.8924984454056,0.26927256115395887
USSR,5479,1816.9110373764488,0.08057147957853425
Europe,204,350.66016035788834,0.0029999236784122993
Kosovo,62,193.3167856798972,0.0009117415101056988
Montenegro,78,216.8306911606081,0.001147029641745879
"Other Europe, n.o.s",354,461.9239317251744,0.00520574991253899
Afghanistan,1092,811.2744439125713,0.01605841498444231
Bangladesh,9594,2403.8863919276864,0.14108464593474312
Bhutan,7215,2084.8369874217715,0.10610024186149382
Myanmar,2081,1119.8915223806273,0.030602162621450952
Cambodia,8165,2217.768018222373,0.12007047467762952
China,66978,6337.480463198166,0.9849455300622499
Hong Kong,3589,1470.6231374919446,0.05277806902853795
India,98153,7662.616264585472,1.4433897490549137
Indonesia,3722,1497.616521473455,0.05473390162279695
Iran,4372,1623.0863650027152,0.06429248197067929
Iraq,2282,1172.720106773473,0.03355796977518072
Israel,3797,1512.625720077618,0.055836814739860297
Japan,5150,1761.538492517737,0.07573336737168306
Jordan,1639,993.886506600593,0.024102327984890974
Korea,26932,4024.92426217567,0.3960487475833336
Kazakhstan,1016,782.5364983471003,0.01494079635915145
Kyrgyzstan,526,563.0653786032441,0.007735097327670929
Kuwait,716,656.9302834183565,0.01052914389089807
Laos,2840,1308.2368492678704,0.04176364336613201
Lebanon,2353,1190.8205648208368,0.034602060859334025
Malaysia,1765,1031.3772863521638,0.025955222021557395
Mongolia,433,510.8712439077962,0.006367485062512381
Nepal,7270,2092.7638256927835,0.10690904481400693
Pakistan,11301,2608.818819497693,0.16618694847910487
Philippines,22004,3638.789103367082,0.32358000303815804
Saudi Arabia,2478,1222.0357761320777,0.03644024938777293
Singapore,649,625.4408475048078,0.009543874839654815
Sri Lanka,1234,862.4058197305326,0.018146597152748908
Syria,4935,1724.3908211551236,0.07257168310276813
Taiwan,6630,1998.575221908365,0.09749751954839972
Thailand,4710,1684.6370418673014,0.06926294375157808
Turkey,4891,1716.6892685583723,0.07192464074075762
United Arab Emirates,753,673.6892851635066,0.011073247695315987
Uzbekistan,4596,1664.1321515997458,0.0675865158136418
Vietnam,30929,4312.601045771025,0.4548266639686961
Asia,1843,1053.9173876246343,0.027102251663303274
"South Central Asia, n.o.s",617,609.827508551105,0.009073298576374454
"Other Asia, n.o.s",662,631.6735182082016,0.009735046446612461
Bermuda,530,565.2021696353505,0.007793919360580973
Canada,16536,3155.0989022264407,0.24317028405012636
Mexico,52087,5591.98070748027,0.7659658070463795
Belize,694,646.7595869480072,0.010205622709892823
Costa Rica,2606,1253.194071742099,0.03832255444089437
El Salvador,8597,2275.643611558335,0.1264232542319144
Guatemala,14716,2976.618259037245,0.21640625907605585
Honduras,9011,2329.7554911600578,0.13251133463810405
Nicaragua,2260,1167.0545047032138,0.03323444859417547
Panama,2125,1131.6669884298194,0.03124920498346145
Antigua & Barbuda,708,653.2501742263632,0.01041149982507798
Bahamas,496,546.7732924520612,0.00729393208084559
Barbados,1538,962.7802582789978,0.022617071653912336
Cuba,6583,1991.4822933633309,0.0968063606617067
Dominica,2870,1315.1268780072014,0.04220480861295735
Dominican Republic,81192,6973.773469631661,1.193969624008095
Grenada,777,684.3405264605987,0.011426179892776257
Haiti,17514,3246.93820843943,0.25755227109663237
Jamaica,22350,3667.237430090387,0.3286681088848769
St. Kitts-Nevis,429,508.5061649685594,0.006308663029602335
St Lucia,514,556.6057812513133,0.007558631228940793
St Vincent & the Grenadines,693,646.2934787668358,0.01019091720166531
Trinidad & Tobago,6588,1992.2380630173532,0.09687988820284425
West Indies,1031,788.2914755124626,0.015161378982564122
"Caribbean, n.o.s",525,562.5299124086941,0.007720391819443417
Argentina,3321,1414.664941941473,0.04883699282356493
Bolivia,794,691.7859171793433,0.011676173532643948
Brazil,12945,2791.958508943923,0.19036280400513342
Chile,2394,1201.1486264354294,0.03520498669666198
Colombia,13880,2890.9261410338195,0.20411245419785645
Ecuador,7798,2167.3836113413404,0.1146735531581329
Guyana,3981,1548.8315601587717,0.05854262825372236
Paraguay,445,517.9016731503681,0.006543951161242515
Peru,5925,1889.38176851902,0.08713013624800428
Uruguay,890,732.4110055292061,0.01308790232248503
Venezuela,3956,1543.9621906496127,0.058174990548034586
South America,245,384.2852357103864,0.003602849515740261
"Americas, n.o.s",109,256.3221768877556,0.0016029003967987284
Algeria,2022,1103.9044408612483,0.029734537636027788
Cameroon,1939,1081.0137029635168,0.028513980453144353
Cabo Verde,20,109.79673395121333,0.00029411016455022543
Congo,992,773.239420332066,0.01458786416169118
Egypt,6628,1998.2739090850243,0.09746810853194471
Ethiopia,3565,1465.6991443905763,0.05242513683107768
Eritrea,378,477.3251637375616,0.00555868210999926
Gambia,255,392.04920700647546,0.0037499045980153743
Ghana,4766,1694.6186173412125,0.07008645221231871
Guinea,1668,1002.6396043589498,0.0245287877234888
Ivory Coast,1743,1024.9301526368054,0.025631700840552146
Kenya,4499,1646.4836501697007,0.06616008151557322
Liberia,11959,2683.6253673713595,0.17586317289280728
Libya,896,734.8754897552126,0.013176135371850098
Morocco,5925,1889.38176851902,0.08713013624800428
Nigeria,12062,2695.146590099868,0.17737784024024095
Rwanda,563,582.5316554870925,0.008279201132088845
Senegal,425,506.1300329787521,0.00624984099669229
Sierra Leone,3689,1490.9645526837237,0.05424861985128908
Somalia,629,615.7289177609271,0.00924976467510459
South Africa,2970,1337.8371622541003,0.04367535943570847
Sudan,758,675.922138411523,0.011146775236453542
Tanzania,1225,859.2554467384423,0.018014247578701306
Togo,1347,901.0232644541206,0.01980831958245768
Tunisia,435,512.049686372986,0.006396896078967403
Uganda,842,712.3881843381372,0.012382037927564489
Democratic Republic of Congo (Zaire),1048,794.7633912605902,0.015411372622431812
Zambia,864,721.6342955572361,0.01270555910856974
Zimbabwe,809,698.2894412984515,0.011896756156056619
Africa,6052,1909.5141261440829,0.0889977357928982
"Eastern Africa, n.o.s",362,467.114107109843,0.00532339397835908
"Western Africa, n.o.s",3639,1480.828812227144,0.05351334443991351
"Other Africa, n.o.s",1082,807.5515853189121,0.015911359902167195
"Eastern Africa, n.o.s",472,533.3813863620056,0.0069409998833853195
Australia,2373,1195.8697949517968,0.034896171023884245
Fiji,317,437.1183946112416,0.004661646108121073
Marshall Islands,42,159.11044878187295,0.0006176313455554733
Micronesia,120,268.9449368527443,0.0017646609873013524
New Zealand,694,646.7595869480072,0.010205622709892823
Tonga,61,191.75144920669072,0.0008970360018781875
"Other U.S. Island Areas, Oceania, n.o.s",129,278.8479487724174,0.0018970105613489538
Albania,6828,2028.1758312508623,0.10040921017744696
Austria,1475,942.856793318217,0.021690624635579123
Belgium,631,616.7067885270984,0.009279175691559612
Bulgaria,1779,1035.45812065855,0.02616109913674255
Czechoslovakia,538,569.4515319848008,0.007911563426401064
Denmark,706,652.3266583668969,0.010382088808622958
Finland,333,448.0136269274012,0.004896934239761253
France,4168,1584.7759264413182,0.06129255829226697
Germany,18279,3316.9622802801364,0.2688019848906785
Greece,6058,1910.453871556457,0.08908596884226327
Hungary,2305,1178.6126576810066,0.033896196464413476
Iceland,87,228.9986428030491,0.0012793792157934805
Ireland,4469,1640.982983185451,0.06571891626874787
Italy,16847,3184.5637032167883,0.2477436971088824
Netherlands,1894,1068.3968520705848,0.027852232582906346
Norway,646,623.9934828622434,0.00949975831497228
Poland,11024,2576.660426664505,0.16211352270008425
Portugal,2750,1287.3434544308625,0.040440147625655995
Azores Islands,442,516.1529238403133,0.006499834636559982
Romania,4420,1631.9650988962424,0.06499834636559981
Spain,2318,1181.9310206080447,0.034087368071371124
Sweden,892,733.2330745347598,0.013117313338940055
Switzerland,832,708.1451761647402,0.012234982845289377
"United Kingdom, n.o.s",10150,2472.495168356131,0.1492609085092394
England,7702,2154.0003157537603,0.1132618243682918
Scotland,1382,912.6522407179126,0.020323012370420574
Northern Ireland,622,612.2931411147437,0.00914682611751201
Yugoslavia,1356,904.0273902746582,0.019940669156505282
Czech Republic,513,556.0639427048038,0.007543925720713282
Slovakia,660,630.7184350070646,0.009705635430157438
Bosnia and Herzegovina,3412,1433.908224393054,0.05017519407226846
Croatia,1028,787.143418684139,0.015117262457881586
Macedonia,90,232.9134057895272,0.0013234957404760143
Serbia,910,740.5936947943483,0.013382012487035258
Latvia,719,658.3047686270163,0.010573260415580604
Lithuania,927,747.4788222683071,0.013632006126902949
Armenia,446,518.4831161466824,0.0065586566694700275
Azerbaijan,753,673.6890165151477,0.011073247695315987
Belarus,3218,1392.55756738183,0.047322325476131265
Georgia (country),1500,950.8126027870052,0.022058262341266906
Moldova,677,638.7892560643581,0.00995562907002513
Russia,14891,2994.220793480586,0.21897972301587032
Ukraine,18947,3376.938804271256,0.278625264386656
USSR,5285,1784.4629775522212,0.07771861098239707
Europe,135,285.2589975819311,0.0019852436107140217
Kosovo,43,160.9934683453175,0.0006323368537829847
Montenegro,57,185.35795062082116,0.0008382139689681425
"Other Europe, n.o.s",731,663.7752281518344,0.01074972651431074
Afghanistan,1095,812.3875024950156,0.016102531509124843
Bangladesh,9285,2364.874377697204,0.13654064389244217
Bhutan,6923,2042.228814820884,0.10180623345906054
Myanmar,2009,1100.349445099764,0.02954336602907014
Cambodia,7642,2145.5989158030725,0.11237949387464113
China,65642,6274.0612801424895,0.9652989710702948
Cyprus,50,173.603674104245,0.0007352754113755636
Hong Kong,3456,1443.121724159491,0.05082223643427896
India,92750,7449.924756849172,1.3639358881016703
Indonesia,3515,1455.384551234261,0.05168986141970212
Iran,4548,1655.4184338271446,0.06688065141872127
Iraq,2233,1160.0620502498025,0.032837399872032665
Israel,3498,1451.8618282413277,0.051439867779834426
Japan,4678,1678.9024412386218,0.06879236748829771
Jordan,1635,992.6722630198224,0.024043505951980928
Korea,26623,4001.759219268152,0.39150474554103254
Kazakhstan,805,696.5608098968506,0.011837934123146572
Kyrgyzstan,355,462.57580175376825,0.005220455420766501
Kuwait,904,738.1483124019963,0.013293779437670189
Laos,2755,1288.5129833676135,0.04051367516679355
Lebanon,2362,1193.0938720858423,0.034734410433381616
Malaysia,1722,1018.737060212214,0.02532288516777441
Mongolia,375,475.4272036149172,0.005514565585316726
Nepal,6963,2048.116951752202,0.10239445378816099
Pakistan,11181,2594.927580867603,0.16442228749180351
Philippines,20561,3517.609660616105,0.30235995466585924
Saudi Arabia,2940,1331.0627265851938,0.043234194188883135
Singapore,771,681.6930437440659,0.01133794684341119
Sri Lanka,1185,845.1111308135784,0.017426027249600858
Syria,4919,1721.5897627262148,0.07233639497112794
Taiwan,6784,2021.6339102183936,0.09976216781543647
Thailand,4580,1661.2299589795884,0.06735122768200162
Turkey,4728,1687.8476248761813,0.06952764289967328
United Arab Emirates,858,719.1240952014929,0.01261732605920467
Uzbekistan,4378,1624.1955778254455,0.06438071502004435
Vietnam,31963,4383.847016894662,0.4700321594759428
Yemen,16,98.20519863957954,0.0002352881316401803
Asia,1825,1048.757834161693,0.026837552515208068
"South Central Asia, n.o.s",592,597.345456448748,0.008705660870686673
