"","Asian","Black","Mixed","White British","White other","Other"
"Geography","%","%","%","%","%","%"
"East Midlands","8.0","2.7","2.4","79.6","6.1","1.3"
"East of England","6.4","2.9","2.8","78.5","8.0","1.4"
"London","20.7","13.5","5.7","36.8","17.0","6.3"
"North East","3.7","1.0","1.3","90.6","2.5","1.0"
"North West","8.4","2.3","2.2","81.2","4.4","1.5"
"South East","7.0","2.4","2.8","78.8","7.5","1.5"
"South West","2.8","1.2","2.0","87.8","5.3","0.9"
"Wales","2.9","0.9","1.6","90.6","3.3","0.9"
"West Midlands","13.3","4.5","3.0","71.8","5.2","2.1"
"Yorkshire and The Humber","8.9","2.1","2.1","80.9","4.5","1.4"
