"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Kamloops"
"Global non-response rate (GNR) =   6.3 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",100755,38605,62150 
"  North American Aboriginal origins",11705,2745,8960 
"    First Nations (North American Indian)",8100,2350,5750 
"    Inuit",55,0,60 
"    Métis",4005,400,3605 
"  Other North American origins",29195,11190,18005 
"    Acadian",55,0,50 
"    American",2195,95,2100 
"    Canadian",27820,11075,16745 
"    New Brunswicker",0,0,0 
"    Newfoundlander",40,0,45 
"    Nova Scotian",10,0,0 
"    Ontarian",0,0,0 
"    Québécois",35,10,30 
"    Other North American origins, n.i.e. [6]",10,0,10 
"  European origins",79565,19280,60290 
"    British Isles origins",55870,8480,47385 
"      Channel Islander",0,0,0 
"      Cornish",10,0,0 
"      English",34545,4765,29780 
"      Irish",20130,1205,18925 
"      Manx",30,0,30 
"      Scottish",25440,1930,23510 
"      Welsh",3495,120,3375 
"      British Isles origins, n.i.e. [7]",2755,460,2295 
"    French origins",12100,875,11220 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",12100,875,11220 
"    Western European origins (except French origins)",25095,3855,21240 
"      Austrian",1510,155,1360 
"      Bavarian",15,0,15 
"      Belgian",640,75,570 
"      Dutch",5390,885,4510 
"      Flemish",75,10,70 
"      Frisian",20,0,20 
"      German",18740,2605,16135 
"      Luxembourger",30,0,30 
"      Swiss",840,130,720 
"      Western European origins, n.i.e. [8]",15,0,10 
"    Northern European origins (except British Isles origins)",10980,1095,9885 
"      Danish",1565,200,1360 
"      Finnish",1065,160,900 
"      Icelandic",660,40,615 
"      Norwegian",4430,375,4055 
"      Swedish",3795,255,3545 
"      Northern European origins, n.i.e. [9]",515,60,460 
"    Eastern European origins",15915,2310,13600 
"      Bulgarian",10,10,0 
"      Byelorussian",40,0,35 
"      Czech",450,75,375 
"      Czechoslovakian, n.o.s. [10]",300,25,275 
"      Estonian",110,15,95 
"      Hungarian",1510,225,1285 
"      Latvian",120,20,100 
"      Lithuanian",40,10,30 
"      Moldovan",10,0,10 
"      Polish",4025,440,3585 
"      Romanian",775,55,720 
"      Russian",3180,335,2845 
"      Slovak",205,35,170 
"      Ukrainian",7760,1055,6700 
"      Eastern European origins, n.i.e. [11]",55,0,55 
"    Southern European origins",8610,2415,6200 
"      Albanian",15,0,10 
"      Bosnian",25,0,30 
"      Catalan",0,0,0 
"      Croatian",445,160,285 
"      Cypriot",0,0,0 
"      Greek",400,115,280 
"      Italian",6080,1755,4325 
"      Kosovar",0,0,0 
"      Macedonian",10,0,15 
"      Maltese",10,10,10 
"      Montenegrin",15,0,10 
"      Portuguese",780,220,560 
"      Serbian",120,35,90 
"      Sicilian",0,0,10 
"      Slovenian",130,35,100 
"      Spanish",775,55,720 
"      Yugoslavian, n.o.s. [12]",195,10,185 
"      Southern European origins, n.i.e. [13]",10,15,0 
"    Other European origins",920,250,670 
"      Basque",10,0,0 
"      Jewish",245,10,230 
"      Roma (Gypsy)",30,0,30 
"      Slavic, n.o.s. [14]",20,0,20 
"      Other European origins, n.i.e. [15]",635,245,390 
"  Caribbean origins",260,40,220 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",25,0,25 
"    Bermudan",0,0,10 
"    Carib",0,0,0 
"    Cuban",20,0,15 
"    Dominican",0,0,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",20,10,10 
"    Jamaican",105,25,80 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",20,0,20 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",30,0,30 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",30,10,25 
"    Caribbean origins, n.i.e. [17]",0,0,0 
"  Latin, Central and South American origins",910,220,695 
"    Aboriginal from Central/South America (except Arawak and Maya)",35,0,35 
"    Arawak",0,0,0 
"    Argentinian",15,0,15 
"    Belizean",25,0,25 
"    Bolivian",0,0,0 
"    Brazilian",65,15,50 
"    Chilean",55,10,40 
"    Colombian",25,20,10 
"    Costa Rican",20,0,20 
"    Ecuadorian",0,0,10 
"    Guatemalan",30,0,25 
"    Guyanese",15,0,15 
"    Hispanic",0,0,0 
"    Honduran",10,10,10 
"    Maya",10,0,10 
"    Mexican",475,105,365 
"    Nicaraguan",25,0,25 
"    Panamanian",0,0,0 
"    Paraguayan",30,0,30 
"    Peruvian",25,10,20 
"    Salvadorean",30,35,0 
"    Uruguayan",0,0,0 
"    Venezuelan",10,0,0 
"    Latin, Central and South American origins, n.i.e. [18]",15,0,10 
"  African origins",780,305,475 
"    Central and West African origins",180,135,50 
"      Akan",0,0,10 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",15,10,0 
"      Chadian",0,0,0 
"      Congolese",0,0,0 
"      Edo",10,0,10 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",25,25,0 
"      Guinean",0,0,0 
"      Ibo",20,15,10 
"      Ivorian",10,0,10 
"      Liberian",0,0,0 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",85,60,20 
"      Peulh",0,0,0 
"      Senegalese",0,0,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",15,15,0 
"      Central and West African origins, n.i.e. [19]",0,0,10 
"    North African origins",35,20,20 
"      Algerian",0,0,0 
"      Berber",0,0,0 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",0,0,0 
"      Libyan",0,0,0 
"      Maure",0,0,0 
"      Moroccan",10,0,10 
"      Sudanese",0,0,0 
"      Tunisian",15,0,15 
"      North African origins, n.i.e. [20]",0,0,0 
"    Southern and East African origins",270,115,155 
"      Afrikaner",0,0,0 
"      Amhara",0,0,0 
"      Bantu, n.o.s. [21]",0,0,0 
"      Burundian",0,0,0 
"      Djiboutian",0,0,0 
"      Eritrean",0,0,0 
"      Ethiopian",20,20,0 
"      Harari",0,0,0 
"      Kenyan",0,10,0 
"      Malagasy",10,10,0 
"      Mauritian",35,10,25 
"      Oromo",0,0,0 
"      Rwandan",0,0,0 
"      Seychellois",0,0,0 
"      Somali",0,0,0 
"      South African",145,45,105 
"      Tanzanian",0,0,0 
"      Tigrian",0,0,0 
"      Ugandan",10,10,10 
"      Zambian",10,0,10 
"      Zimbabwean",40,30,10 
"      Zulu",0,0,0 
"      Southern and East African origins, n.i.e. [22]",10,0,0 
"    Other African origins",320,40,285 
"      Black, n.o.s. [23]",75,0,70 
"      Other African origins, n.i.e. [24]",250,30,215 
"  Asian origins",7045,4770,2265 
"    West Central Asian and Middle Eastern origins",525,240,290 
"      Afghan",0,0,0 
"      Arab, n.o.s. [25]",55,45,15 
"      Armenian",0,0,0 
"      Assyrian",10,0,10 
"      Azerbaijani",0,0,0 
"      Georgian",0,0,0 
"      Hazara",0,0,0 
"      Iranian",100,45,50 
"      Iraqi",0,0,0 
"      Israeli",0,0,0 
"      Jordanian",0,0,0 
