"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = St. Catharines - Niagara"
"Global non-response rate (GNR) =   5.1 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",396865,191870,204990 
"  North American Aboriginal origins",17520,1880,15645 
"    First Nations (North American Indian)",13115,1375,11740 
"    Inuit",145,30,115 
"    Métis",4750,475,4280 
"  Other North American origins",117610,50070,67540 
"    Acadian",435,55,380 
"    American",6400,545,5850 
"    Canadian",112800,49315,63485 
"    New Brunswicker",10,0,10 
"    Newfoundlander",355,45,315 
"    Nova Scotian",50,15,40 
"    Ontarian",50,20,30 
"    Québécois",230,45,185 
"    Other North American origins, n.i.e. [6]",30,25,10 
"  European origins",311385,113085,198300 
"    British Isles origins",189465,40490,148975 
"      Channel Islander",70,10,60 
"      Cornish",20,0,25 
"      English",111765,21805,89960 
"      Irish",70680,5980,64695 
"      Manx",95,0,90 
"      Scottish",77505,9270,68230 
"      Welsh",8145,575,7570 
"      British Isles origins, n.i.e. [7]",11160,2845,8315 
"    French origins",52210,6020,46190 
"      Alsatian",45,0,50 
"      Breton",0,0,0 
"      Corsican",10,0,10 
"      French",52165,6025,46140 
"    Western European origins (except French origins)",83860,21050,62810 
"      Austrian",2460,310,2150 
"      Bavarian",20,0,20 
"      Belgian",1450,160,1290 
"      Dutch",29180,11235,17945 
"      Flemish",95,10,85 
"      Frisian",200,15,185 
"      German",55910,9160,46750 
"      Luxembourger",25,0,25 
"      Swiss",1510,165,1350 
"      Western European origins, n.i.e. [8]",10,0,0 
"    Northern European origins (except British Isles origins)",7545,960,6585 
"      Danish",1765,350,1410 
"      Finnish",1660,315,1345 
"      Icelandic",385,25,360 
"      Norwegian",1620,110,1510 
"      Swedish",2245,130,2110 
"      Northern European origins, n.i.e. [9]",330,25,305 
"    Eastern European origins",58965,15665,43300 
"      Bulgarian",660,280,385 
"      Byelorussian",180,30,155 
"      Czech",1320,345,965 
"      Czechoslovakian, n.o.s. [10]",630,95,530 
"      Estonian",415,120,300 
"      Hungarian",11495,2885,8605 
"      Latvian",640,190,450 
"      Lithuanian",915,155,760 
"      Moldovan",80,35,45 
"      Polish",20815,5470,15345 
"      Romanian",2665,625,2045 
"      Russian",6320,910,5415 
"      Slovak",2125,555,1575 
"      Ukrainian",20700,3955,16745 
"      Eastern European origins, n.i.e. [11]",125,20,100 
"    Southern European origins",65850,28580,37265 
"      Albanian",230,135,95 
"      Bosnian",595,315,285 
"      Catalan",25,0,25 
"      Croatian",3225,1180,2050 
"      Cypriot",50,15,35 
"      Greek",2500,855,1645 
"      Italian",49345,21490,27860 
"      Kosovar",15,0,15 
"      Macedonian",435,150,285 
"      Maltese",1030,330,700 
"      Montenegrin",65,20,45 
"      Portuguese",2650,1155,1495 
"      Serbian",2375,1345,1025 
"      Sicilian",140,40,105 
"      Slovenian",1230,480,745 
"      Spanish",3815,830,2980 
"      Yugoslavian, n.o.s. [12]",900,235,660 
"      Southern European origins, n.i.e. [13]",25,10,20 
"    Other European origins",1260,320,940 
"      Basque",25,0,20 
"      Jewish",695,55,645 
"      Roma (Gypsy)",40,0,40 
"      Slavic, n.o.s. [14]",45,20,30 
"      Other European origins, n.i.e. [15]",460,250,210 
"  Caribbean origins",5295,1970,3325 
"    Antiguan",20,0,20 
"    Bahamian",25,20,10 
"    Barbadian",625,145,480 
"    Bermudan",70,0,65 
"    Carib",10,0,10 
"    Cuban",340,110,230 
"    Dominican",135,60,70 
"    Grenadian",110,45,65 
"    Guadeloupean",10,0,10 
"    Haitian",345,235,110 
"    Jamaican",2510,900,1610 
"    Kittitian/Nevisian",40,0,35 
"    Martinican",0,0,0 
"    Montserratan",0,0,10 
"    Puerto Rican",90,10,85 
"    St. Lucian",30,15,15 
"    Trinidadian/Tobagonian",765,225,540 
"    Vincentian/Grenadinian",40,25,10 
"    West Indian, n.o.s. [16]",405,140,270 
"    Caribbean origins, n.i.e. [17]",135,45,90 
"  Latin, Central and South American origins",6130,3160,2970 
"    Aboriginal from Central/South America (except Arawak and Maya)",280,10,280 
"    Arawak",25,15,10 
"    Argentinian",185,45,140 
"    Belizean",10,0,10 
"    Bolivian",15,10,10 
"    Brazilian",200,40,160 
"    Chilean",165,75,95 
"    Colombian",1405,1085,315 
"    Costa Rican",110,40,70 
"    Ecuadorian",120,30,85 
"    Guatemalan",455,270,185 
"    Guyanese",390,70,320 
"    Hispanic",150,75,80 
"    Honduran",140,60,80 
"    Maya",120,30,90 
"    Mexican",1095,525,570 
"    Nicaraguan",110,30,80 
"    Panamanian",35,0,40 
"    Paraguayan",95,15,80 
"    Peruvian",210,120,90 
"    Salvadorean",635,320,315 
"    Uruguayan",65,25,45 
"    Venezuelan",325,160,170 
"    Latin, Central and South American origins, n.i.e. [18]",235,125,110 
"  African origins",5990,3080,2915 
"    Central and West African origins",860,620,240 
"      Akan",0,0,0 
"      Angolan",25,10,15 
"      Ashanti",15,0,15 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",15,10,10 
"      Chadian",10,0,10 
"      Congolese",135,75,60 
"      Edo",0,0,0 
"      Ewe",0,0,0 
