origin,population
Total:,"7,566"
Europe:,686
Denmark,0
Ireland,0
Norway,0
Sweden,0
"United Kingdom, excluding England and Scotland",69
England,17
Scotland,15
Other Northern Europe,0
Austria,0
Belgium,0
France,0
Germany,44
Netherlands,0
Switzerland,0
Other Western Europe,0
Greece,0
Italy,14
Portugal,0
Azores Islands,0
Spain,17
Other Southern Europe,0
Albania,0
Belarus,20
Bosnia and Herzegovina,10
Bulgaria,44
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,0
Latvia,0
Lithuania,0
Moldova,13
North Macedonia (Macedonia),0
Poland,27
Romania,312
Russia,0
Serbia,0
Ukraine,84
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",199
Hong Kong,0
Taiwan,0
Japan,3
Korea,84
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,21
Iran,31
Kazakhstan,45
Nepal,0
Pakistan,6
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,20
Indonesia,0
Laos,569
Malaysia,0
Philippines,76
Singapore,0
Thailand,188
Vietnam,116
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,110
Israel,0
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,16
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,6
Uganda,0
Zimbabwe,0
Other Eastern Africa,1
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,25
Algeria,0
Egypt,0
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,18
Other Southern Africa,0
Cabo Verde,0
Ghana,37
Ivory Coast,35
Liberia,26
Nigeria,155
Senegal,0
Sierra Leone,0
Togo,65
Other Western Africa,4
"Africa, n.o.c.",0
Australia,0
Other Australian and New Zealand Subregion,0
Fiji,3
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,50
Barbados,0
Cuba,122
Dominica,0
Dominican Republic,162
Grenada,0
Haiti,341
Jamaica,190
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,280
West Indies,44
Other Caribbean,0
Belize,0
Costa Rica,8
El Salvador,214
Guatemala,127
Honduras,197
Mexico,"2,401"
Nicaragua,46
Panama,23
Other Central America,0
Argentina,43
Bolivia,0
Brazil,0
Chile,147
Colombia,355
Ecuador,38
Guyana,4
Peru,26
Uruguay,13
Venezuela,73
Other South America,0
Canada,117
Other Northern America,0
