origin,population
Total:,"2,379"
Europe:,551
Denmark,0
Ireland,57
Norway,0
Sweden,0
"United Kingdom, excluding England and Scotland",78
England,102
Scotland,0
Other Northern Europe,0
Austria,0
Belgium,0
France,0
Germany,39
Netherlands,0
Switzerland,1
Other Western Europe,0
Greece,8
Italy,22
Portugal,110
Azores Islands,0
Spain,0
Other Southern Europe,8
Albania,0
Belarus,0
Bosnia and Herzegovina,8
Bulgaria,0
Croatia,41
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,0
Latvia,0
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,22
Romania,16
Russia,8
Serbia,9
Ukraine,22
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",81
Hong Kong,14
Taiwan,20
Japan,0
Korea,19
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,0
Iran,15
Kazakhstan,0
Nepal,0
Pakistan,0
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,6
Laos,37
Malaysia,14
Philippines,308
Singapore,0
Thailand,0
Vietnam,32
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,44
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,0
Turkey,42
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,8
Sudan,0
Other Northern Africa,0
South Africa,21
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,0
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,70
Other Australian and New Zealand Subregion,16
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,0
Barbados,103
Cuba,0
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,0
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,31
Belize,0
Costa Rica,0
El Salvador,36
Guatemala,5
Honduras,0
Mexico,707
Nicaragua,0
Panama,0
Other Central America,0
Argentina,0
Bolivia,0
Brazil,0
Chile,25
Colombia,29
Ecuador,0
Guyana,0
Peru,0
Uruguay,0
Venezuela,0
Other South America,0
Canada,145
Other Northern America,0
