origin,population
Total:,"2,061"
Europe:,105
Denmark,0
Ireland,0
Norway,0
Sweden,0
"United Kingdom, excluding England and Scotland",6
England,20
Scotland,12
Other Northern Europe,0
Austria,0
Belgium,0
France,0
Germany,20
Netherlands,3
Switzerland,0
Other Western Europe,0
Greece,33
Italy,0
Portugal,0
Azores Islands,0
Spain,0
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),11
Hungary,0
Latvia,0
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,0
Romania,0
Russia,0
Serbia,0
Ukraine,0
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",0
Hong Kong,0
Taiwan,0
Japan,0
Korea,0
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,0
Iran,10
Kazakhstan,0
Nepal,0
Pakistan,0
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,0
Laos,0
Malaysia,0
Philippines,17
Singapore,0
Thailand,0
Vietnam,0
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,0
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,21
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,81
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,2
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,67
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,0
Other Australian and New Zealand Subregion,0
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,36
Barbados,0
Cuba,123
Dominica,0
Dominican Republic,6
Grenada,0
Haiti,27
Jamaica,18
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,0
Belize,7
Costa Rica,0
El Salvador,244
Guatemala,94
Honduras,37
Mexico,983
Nicaragua,0
Panama,45
Other Central America,0
Argentina,0
Bolivia,0
Brazil,0
Chile,0
Colombia,30
Ecuador,17
Guyana,0
Peru,49
Uruguay,0
Venezuela,42
Other South America,0
Canada,0
Other Northern America,0
