origin,population
Total:,"8,418"
Europe:,"1,449"
Denmark,20
Ireland,15
Norway,0
Sweden,1
"United Kingdom, excluding England and Scotland",112
England,282
Scotland,13
Other Northern Europe,38
Austria,4
Belgium,0
France,5
Germany,219
Netherlands,99
Switzerland,22
Other Western Europe,0
Greece,0
Italy,99
Portugal,210
Azores Islands,54
Spain,15
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,52
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),55
Hungary,0
Latvia,13
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,17
Romania,66
Russia,76
Serbia,3
Ukraine,4
Other Eastern Europe,9
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",488
Hong Kong,56
Taiwan,28
Japan,62
Korea,122
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,63
Iran,36
Kazakhstan,5
Nepal,0
Pakistan,143
Sri Lanka,34
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),22
Cambodia,7
Indonesia,0
Laos,249
Malaysia,0
Philippines,389
Singapore,0
Thailand,388
Vietnam,176
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,17
Israel,0
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,49
Other Western Asia,20
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,14
Kenya,0
Somalia,0
Tanzania,0
Uganda,13
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,7
Sudan,4
Other Northern Africa,0
South Africa,14
Other Southern Africa,0
Cabo Verde,0
Ghana,71
Ivory Coast,0
Liberia,1
Nigeria,0
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,9
"Africa, n.o.c.",0
Australia,47
Other Australian and New Zealand Subregion,34
Fiji,137
Marshall Islands,2
Micronesia,0
"Oceania, n.o.c.",14
Bahamas,0
Barbados,0
Cuba,74
Dominica,0
Dominican Republic,16
Grenada,0
Haiti,0
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,18
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,0
El Salvador,233
Guatemala,61
Honduras,0
Mexico,"2,870"
Nicaragua,60
Panama,15
Other Central America,0
Argentina,0
Bolivia,38
Brazil,151
Chile,59
Colombia,81
Ecuador,33
Guyana,12
Peru,106
Uruguay,0
Venezuela,0
Other South America,0
Canada,421
Other Northern America,0
