origin,population
Total:,"1,365"
Europe:,277
Denmark,12
Ireland,13
Norway,0
Sweden,0
"United Kingdom, excluding England and Scotland",64
England,60
Scotland,0
Other Northern Europe,0
Austria,0
Belgium,0
France,12
Germany,64
Netherlands,0
Switzerland,10
Other Western Europe,0
Greece,0
Italy,0
Portugal,0
Azores Islands,0
Spain,3
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,8
Latvia,0
Lithuania,2
Moldova,0
North Macedonia (Macedonia),0
Poland,8
Romania,0
Russia,14
Serbia,0
Ukraine,3
Other Eastern Europe,4
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",78
Hong Kong,0
Taiwan,0
Japan,28
Korea,0
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,16
Iran,0
Kazakhstan,0
Nepal,0
Pakistan,0
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,7
Laos,0
Malaysia,8
Philippines,44
Singapore,0
Thailand,6
Vietnam,3
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,0
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,2
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,10
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,4
Morocco,29
Sudan,0
Other Northern Africa,0
South Africa,38
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,22
Senegal,0
Sierra Leone,12
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,38
Other Australian and New Zealand Subregion,4
Fiji,0
Marshall Islands,1
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,0
Barbados,0
Cuba,13
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,0
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,14
El Salvador,0
Guatemala,0
Honduras,0
Mexico,531
Nicaragua,0
Panama,0
Other Central America,0
Argentina,8
Bolivia,0
Brazil,0
Chile,0
Colombia,0
Ecuador,0
Guyana,0
Peru,0
Uruguay,0
Venezuela,3
Other South America,0
Canada,169
Other Northern America,0
