origin,population
Total:,"40,310"
Europe:,"6,302"
Denmark,30
Ireland,305
Norway,24
Sweden,134
"United Kingdom, excluding England and Scotland",590
England,825
Scotland,105
Other Northern Europe,25
Austria,37
Belgium,34
France,181
Germany,"1,407"
Netherlands,124
Switzerland,64
Other Western Europe,0
Greece,92
Italy,494
Portugal,80
Azores Islands,0
Spain,241
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,16
Bulgaria,263
Croatia,13
Czechoslovakia (includes Czech Republic and Slovakia),64
Hungary,37
Latvia,24
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,272
Romania,158
Russia,166
Serbia,51
Ukraine,92
Other Eastern Europe,354
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",351
Hong Kong,54
Taiwan,240
Japan,106
Korea,195
Other Eastern Asia,0
Afghanistan,0
Bangladesh,86
Bhutan,0
India,651
Iran,78
Kazakhstan,0
Nepal,0
Pakistan,109
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,19
Burma (Myanmar),11
Cambodia,17
Indonesia,62
Laos,0
Malaysia,64
Philippines,904
Singapore,0
Thailand,98
Vietnam,"1,174"
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,37
Jordan,0
Kuwait,0
Lebanon,131
Saudi Arabia,0
Syria,41
Turkey,287
United Arab Emirates,0
Yemen,49
Other Western Asia,21
"Asia, n.o.c.",12
Eritrea,0
Ethiopia,0
Kenya,52
Somalia,0
Tanzania,15
Uganda,0
Zimbabwe,24
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,205
Morocco,75
Sudan,0
Other Northern Africa,0
South Africa,120
Other Southern Africa,0
Cabo Verde,0
Ghana,26
Ivory Coast,0
Liberia,449
Nigeria,239
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,37
"Africa, n.o.c.",0
Australia,16
Other Australian and New Zealand Subregion,0
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,8
Barbados,190
Cuba,"2,273"
Dominica,202
Dominican Republic,"2,722"
Grenada,45
Haiti,718
Jamaica,"3,258"
St. Lucia,139
St. Vincent and the Grenadines,47
Trinidad and Tobago,658
West Indies,0
Other Caribbean,426
Belize,28
Costa Rica,95
El Salvador,79
Guatemala,428
Honduras,499
Mexico,"4,067"
Nicaragua,246
Panama,115
Other Central America,0
Argentina,379
Bolivia,0
Brazil,647
Chile,769
Colombia,"2,673"
Ecuador,373
Guyana,"1,951"
Peru,551
Uruguay,137
Venezuela,"2,351"
Other South America,52
Canada,"1,805"
Other Northern America,22
