origin,population
Total:,"20,020"
Europe:,"2,674"
Denmark,19
Ireland,0
Norway,0
Sweden,49
"United Kingdom, excluding England and Scotland",329
England,227
Scotland,20
Other Northern Europe,69
Austria,5
Belgium,0
France,100
Germany,576
Netherlands,54
Switzerland,0
Other Western Europe,0
Greece,26
Italy,45
Portugal,10
Azores Islands,4
Spain,286
Other Southern Europe,0
Albania,35
Belarus,0
Bosnia and Herzegovina,32
Bulgaria,31
Croatia,10
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,39
Latvia,0
Lithuania,13
Moldova,0
North Macedonia (Macedonia),0
Poland,22
Romania,80
Russia,397
Serbia,77
Ukraine,78
Other Eastern Europe,45
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan","1,714"
Hong Kong,58
Taiwan,360
Japan,195
Korea,321
Other Eastern Asia,0
Afghanistan,0
Bangladesh,130
Bhutan,0
India,"2,141"
Iran,284
Kazakhstan,16
Nepal,109
Pakistan,134
Sri Lanka,10
Uzbekistan,25
Other South Central Asia,0
Burma (Myanmar),49
Cambodia,0
Indonesia,9
Laos,16
Malaysia,43
Philippines,"1,129"
Singapore,0
Thailand,184
Vietnam,832
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,16
Israel,170
Jordan,71
Kuwait,6
Lebanon,15
Saudi Arabia,56
Syria,82
Turkey,205
United Arab Emirates,24
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",26
Eritrea,0
Ethiopia,29
Kenya,228
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,30
Other Eastern Africa,137
Cameroon,19
Congo,0
Democratic Republic of Congo (Zaire),91
Other Middle Africa,0
Algeria,0
Egypt,134
Morocco,6
Sudan,12
Other Northern Africa,15
South Africa,115
Other Southern Africa,0
Cabo Verde,0
Ghana,109
Ivory Coast,9
Liberia,19
Nigeria,491
Senegal,0
Sierra Leone,48
Togo,11
Other Western Africa,79
"Africa, n.o.c.",22
Australia,27
Other Australian and New Zealand Subregion,22
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,131
Barbados,0
Cuba,959
Dominica,14
Dominican Republic,168
Grenada,0
Haiti,557
Jamaica,659
St. Lucia,197
St. Vincent and the Grenadines,10
Trinidad and Tobago,87
West Indies,0
Other Caribbean,152
Belize,6
Costa Rica,14
El Salvador,306
Guatemala,147
Honduras,126
Mexico,860
Nicaragua,120
Panama,197
Other Central America,0
Argentina,49
Bolivia,13
Brazil,468
Chile,8
Colombia,331
Ecuador,64
Guyana,212
Peru,104
Uruguay,8
Venezuela,615
Other South America,88
Canada,593
Other Northern America,0
