origin,population
Total:,"48,430"
Europe:,"12,283"
Denmark,104
Ireland,669
Norway,72
Sweden,267
"United Kingdom, excluding England and Scotland","1,990"
England,"1,497"
Scotland,240
Other Northern Europe,18
Austria,210
Belgium,103
France,"1,032"
Germany,"1,519"
Netherlands,466
Switzerland,234
Other Western Europe,0
Greece,153
Italy,672
Portugal,294
Azores Islands,217
Spain,457
Other Southern Europe,0
Albania,0
Belarus,48
Bosnia and Herzegovina,27
Bulgaria,93
Croatia,25
Czechoslovakia (includes Czech Republic and Slovakia),60
Hungary,92
Latvia,29
Lithuania,0
Moldova,10
North Macedonia (Macedonia),15
Poland,283
Romania,173
Russia,574
Serbia,95
Ukraine,520
Other Eastern Europe,242
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan","2,069"
Hong Kong,375
Taiwan,201
Japan,676
Korea,999
Other Eastern Asia,72
Afghanistan,0
Bangladesh,15
Bhutan,0
India,"1,289"
Iran,"1,108"
Kazakhstan,11
Nepal,0
Pakistan,140
Sri Lanka,151
Uzbekistan,10
Other South Central Asia,0
Burma (Myanmar),26
Cambodia,169
Indonesia,50
Laos,3
Malaysia,154
Philippines,"1,563"
Singapore,58
Thailand,467
Vietnam,"1,341"
Other South Eastern Asia,0
Armenia,23
Azerbaijan,44
Georgia,78
Iraq,36
Israel,284
Jordan,69
Kuwait,53
Lebanon,278
Saudi Arabia,0
Syria,64
Turkey,221
United Arab Emirates,0
Yemen,0
Other Western Asia,44
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,11
Kenya,130
Somalia,0
Tanzania,0
Uganda,31
Zimbabwe,0
Other Eastern Africa,36
Cameroon,28
Congo,0
Democratic Republic of Congo (Zaire),15
Other Middle Africa,6
Algeria,91
Egypt,187
Morocco,23
Sudan,24
Other Northern Africa,61
South Africa,663
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,117
Nigeria,107
Senegal,0
Sierra Leone,30
Togo,0
Other Western Africa,0
"Africa, n.o.c.",27
Australia,306
Other Australian and New Zealand Subregion,202
Fiji,261
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",32
Bahamas,0
Barbados,0
Cuba,170
Dominica,0
Dominican Republic,101
Grenada,0
Haiti,57
Jamaica,48
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,25
West Indies,0
Other Caribbean,0
Belize,36
Costa Rica,17
El Salvador,"2,184"
Guatemala,"5,895"
Honduras,159
Mexico,"6,157"
Nicaragua,549
Panama,20
Other Central America,0
Argentina,447
Bolivia,87
Brazil,"1,642"
Chile,160
Colombia,239
Ecuador,67
Guyana,27
Peru,"1,088"
Uruguay,70
Venezuela,111
Other South America,85
Canada,"2,142"
Other Northern America,35
