origin,population
Total:,"16,166"
Europe:,"2,579"
Denmark,17
Ireland,21
Norway,8
Sweden,45
"United Kingdom, excluding England and Scotland",173
England,299
Scotland,6
Other Northern Europe,7
Austria,0
Belgium,10
France,64
Germany,274
Netherlands,37
Switzerland,11
Other Western Europe,0
Greece,5
Italy,81
Portugal,7
Azores Islands,0
Spain,38
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,25
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),128
Hungary,25
Latvia,62
Lithuania,44
Moldova,136
North Macedonia (Macedonia),0
Poland,417
Romania,80
Russia,161
Serbia,30
Ukraine,320
Other Eastern Europe,40
"Europe, n.o.c.",8
"China, excluding Hong Kong and Taiwan",90
Hong Kong,0
Taiwan,0
Japan,12
Korea,56
Other Eastern Asia,0
Afghanistan,0
Bangladesh,81
Bhutan,0
India,65
Iran,0
Kazakhstan,110
Nepal,0
Pakistan,0
Sri Lanka,4
Uzbekistan,119
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,10
Laos,9
Malaysia,0
Philippines,371
Singapore,0
Thailand,14
Vietnam,40
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,0
Jordan,0
Kuwait,0
Lebanon,25
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,6
Uganda,5
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,5
Egypt,0
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,76
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,16
Nigeria,0
Senegal,9
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,82
Other Australian and New Zealand Subregion,66
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",132
Bahamas,5
Barbados,0
Cuba,"6,868"
Dominica,0
Dominican Republic,194
Grenada,0
Haiti,"1,319"
Jamaica,183
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,58
West Indies,0
Other Caribbean,26
Belize,12
Costa Rica,43
El Salvador,8
Guatemala,413
Honduras,186
Mexico,649
Nicaragua,922
Panama,58
Other Central America,0
Argentina,161
Bolivia,24
Brazil,101
Chile,0
Colombia,256
Ecuador,0
Guyana,85
Peru,50
Uruguay,0
Venezuela,183
Other South America,0
Canada,380
Other Northern America,0
