origin,population
Total:,"79,574"
Europe:,"8,981"
Denmark,181
Ireland,505
Norway,202
Sweden,185
"United Kingdom, excluding England and Scotland","1,310"
England,766
Scotland,196
Other Northern Europe,42
Austria,158
Belgium,77
France,498
Germany,"1,612"
Netherlands,412
Switzerland,273
Other Western Europe,8
Greece,70
Italy,482
Portugal,221
Azores Islands,42
Spain,270
Other Southern Europe,40
Albania,0
Belarus,23
Bosnia and Herzegovina,32
Bulgaria,94
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),106
Hungary,131
Latvia,22
Lithuania,58
Moldova,25
North Macedonia (Macedonia),7
Poland,203
Romania,161
Russia,339
Serbia,8
Ukraine,206
Other Eastern Europe,58
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan","1,637"
Hong Kong,130
Taiwan,610
Japan,357
Korea,833
Other Eastern Asia,0
Afghanistan,76
Bangladesh,13
Bhutan,0
India,"1,592"
Iran,528
Kazakhstan,37
Nepal,519
Pakistan,56
Sri Lanka,52
Uzbekistan,7
Other South Central Asia,12
Burma (Myanmar),100
Cambodia,804
Indonesia,136
Laos,290
Malaysia,28
Philippines,"3,361"
Singapore,45
Thailand,510
Vietnam,"1,795"
Other South Eastern Asia,0
Armenia,24
Azerbaijan,104
Georgia,0
Iraq,87
Israel,255
Jordan,451
Kuwait,72
Lebanon,52
Saudi Arabia,27
Syria,46
Turkey,150
United Arab Emirates,0
Yemen,0
Other Western Asia,10
"Asia, n.o.c.",82
Eritrea,180
Ethiopia,78
Kenya,423
Somalia,41
Tanzania,0
Uganda,247
Zimbabwe,53
Other Eastern Africa,20
Cameroon,17
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,92
Algeria,21
Egypt,76
Morocco,109
Sudan,0
Other Northern Africa,9
South Africa,227
Other Southern Africa,0
Cabo Verde,27
Ghana,0
Ivory Coast,0
Liberia,17
Nigeria,130
Senegal,0
Sierra Leone,20
Togo,147
Other Western Africa,0
"Africa, n.o.c.",0
Australia,454
Other Australian and New Zealand Subregion,122
Fiji,910
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",65
Bahamas,0
Barbados,10
Cuba,209
Dominica,0
Dominican Republic,25
Grenada,0
Haiti,153
Jamaica,22
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,17
Belize,0
Costa Rica,180
El Salvador,"2,093"
Guatemala,"1,234"
Honduras,224
Mexico,"43,367"
Nicaragua,311
Panama,85
Other Central America,28
Argentina,550
Bolivia,14
Brazil,553
Chile,98
Colombia,447
Ecuador,268
Guyana,8
Peru,516
Uruguay,31
Venezuela,22
Other South America,7
Canada,"1,748"
Other Northern America,0
