origin,population
Total:,"24,679"
Europe:,"7,760"
Denmark,0
Ireland,149
Norway,13
Sweden,67
"United Kingdom, excluding England and Scotland",558
England,817
Scotland,156
Other Northern Europe,16
Austria,59
Belgium,452
France,220
Germany,906
Netherlands,103
Switzerland,0
Other Western Europe,0
Greece,364
Italy,375
Portugal,175
Azores Islands,0
Spain,118
Other Southern Europe,0
Albania,568
Belarus,78
Bosnia and Herzegovina,84
Bulgaria,48
Croatia,45
Czechoslovakia (includes Czech Republic and Slovakia),107
Hungary,14
Latvia,0
Lithuania,158
Moldova,13
North Macedonia (Macedonia),0
Poland,431
Romania,264
Russia,653
Serbia,47
Ukraine,259
Other Eastern Europe,440
"Europe, n.o.c.",3
"China, excluding Hong Kong and Taiwan",909
Hong Kong,11
Taiwan,208
Japan,148
Korea,307
Other Eastern Asia,0
Afghanistan,0
Bangladesh,91
Bhutan,0
India,"2,210"
Iran,108
Kazakhstan,88
Nepal,29
Pakistan,470
Sri Lanka,51
Uzbekistan,16
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,124
Laos,40
Malaysia,31
Philippines,672
Singapore,114
Thailand,54
Vietnam,414
Other South Eastern Asia,0
Armenia,25
Azerbaijan,61
Georgia,22
Iraq,34
Israel,23
Jordan,0
Kuwait,15
Lebanon,59
Saudi Arabia,10
Syria,111
Turkey,102
United Arab Emirates,103
Yemen,0
Other Western Asia,9
"Asia, n.o.c.",46
Eritrea,0
Ethiopia,81
Kenya,93
Somalia,0
Tanzania,0
Uganda,6
Zimbabwe,0
Other Eastern Africa,38
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,35
Egypt,24
Morocco,33
Sudan,0
Other Northern Africa,65
South Africa,150
Other Southern Africa,15
Cabo Verde,0
Ghana,18
Ivory Coast,0
Liberia,0
Nigeria,123
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,310
Other Australian and New Zealand Subregion,0
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",52
Bahamas,0
Barbados,167
Cuba,953
Dominica,0
Dominican Republic,491
Grenada,0
Haiti,362
Jamaica,398
St. Lucia,0
St. Vincent and the Grenadines,9
Trinidad and Tobago,54
West Indies,0
Other Caribbean,15
Belize,18
Costa Rica,190
El Salvador,30
Guatemala,124
Honduras,190
Mexico,"1,086"
Nicaragua,224
Panama,153
Other Central America,0
Argentina,22
Bolivia,4
Brazil,"1,091"
Chile,24
Colombia,"1,451"
Ecuador,354
Guyana,50
Peru,263
Uruguay,12
Venezuela,342
Other South America,33
Canada,"1,021"
Other Northern America,30
