origin,population
Total:,"8,250"
Europe:,"2,064"
Denmark,48
Ireland,57
Norway,32
Sweden,47
"United Kingdom, excluding England and Scotland",608
England,266
Scotland,11
Other Northern Europe,0
Austria,57
Belgium,0
France,0
Germany,213
Netherlands,80
Switzerland,22
Other Western Europe,0
Greece,52
Italy,286
Portugal,41
Azores Islands,0
Spain,0
Other Southern Europe,54
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),53
Hungary,4
Latvia,0
Lithuania,34
Moldova,0
North Macedonia (Macedonia),0
Poland,0
Romania,15
Russia,38
Serbia,17
Ukraine,29
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",290
Hong Kong,53
Taiwan,99
Japan,67
Korea,88
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,28
Iran,0
Kazakhstan,0
Nepal,0
Pakistan,8
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),24
Cambodia,0
Indonesia,0
Laos,0
Malaysia,0
Philippines,364
Singapore,0
Thailand,62
Vietnam,49
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,14
Jordan,0
Kuwait,0
Lebanon,12
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,22
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,0
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,15
Other Australian and New Zealand Subregion,0
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",9
Bahamas,714
Barbados,0
Cuba,713
Dominica,0
Dominican Republic,41
Grenada,0
Haiti,66
Jamaica,194
St. Lucia,0
St. Vincent and the Grenadines,9
Trinidad and Tobago,85
West Indies,0
Other Caribbean,0
Belize,55
Costa Rica,22
El Salvador,39
Guatemala,30
Honduras,93
Mexico,"1,103"
Nicaragua,12
Panama,10
Other Central America,0
Argentina,10
Bolivia,0
Brazil,17
Chile,0
Colombia,129
Ecuador,37
Guyana,18
Peru,137
Uruguay,0
Venezuela,3
Other South America,0
Canada,"1,445"
Other Northern America,0
