ID Birthplace,Birthplace,ID Year,Year,ID Nativity,Nativity,Country Code,Total Population,Total Population MOE Appx,Geography,ID Geography
100,"Albania",2021,"2021",2,"Foreign born","ALB",2491,1225.2244653960563,"Ohio","04000US39"
102,"Austria",2021,"2021",2,"Foreign born","AUT",1683,1007.1305366686607,"Ohio","04000US39"
103,"Belgium",2021,"2021",2,"Foreign born","BEL",386,482.3488966311409,"Ohio","04000US39"
104,"Bulgaria",2021,"2021",2,"Foreign born","BGR",1230,861.0029124142152,"Ohio","04000US39"
105,"Czechoslovakia",2021,"2021",2,"Foreign born",,609,605.8598444599994,"Ohio","04000US39"
106,"Denmark",2021,"2021",2,"Foreign born","DNK",581,591.7688565684031,"Ohio","04000US39"
108,"Finland",2021,"2021",2,"Foreign born","FIN",398,489.78891483900424,"Ohio","04000US39"
109,"France",2021,"2021",2,"Foreign born","FRA",3026,1350.3718798374298,"Ohio","04000US39"
110,"Germany",2021,"2021",2,"Foreign born","DEU",14274,2931.4608549598656,"Ohio","04000US39"
116,"Greece",2021,"2021",2,"Foreign born","GRC",2639,1261.0890667232168,"Ohio","04000US39"
117,"Hungary",2021,"2021",2,"Foreign born","HUN",2216,1155.6298444686772,"Ohio","04000US39"
118,"Iceland",2021,"2021",2,"Foreign born","ISL",86,227.67869716976367,"Ohio","04000US39"
119,"Ireland",2021,"2021",2,"Foreign born","IRL",1426,927.0607858535241,"Ohio","04000US39"
120,"Italy",2021,"2021",2,"Foreign born","ITA",7295,2096.296827777224,"Ohio","04000US39"
126,"Netherlands",2021,"2021",2,"Foreign born","NLD",1799,1041.2551140455823,"Ohio","04000US39"
127,"Norway",2021,"2021",2,"Foreign born","NOR",245,384.2848654501153,"Ohio","04000US39"
128,"Poland",2021,"2021",2,"Foreign born","POL",4378,1624.171371230414,"Ohio","04000US39"
129,"Portugal",2021,"2021",2,"Foreign born","PRT",438,513.8113966267098,"Ohio","04000US39"
132,"Romania",2021,"2021",2,"Foreign born","ROU",6592,1992.790783268324,"Ohio","04000US39"
134,"Spain",2021,"2021",2,"Foreign born","ESP",1380,911.987404413167,"Ohio","04000US39"
136,"Sweden",2021,"2021",2,"Foreign born","SWE",352,460.6166114759523,"Ohio","04000US39"
137,"Switzerland",2021,"2021",2,"Foreign born","CHE",355,462.57524290881184,"Ohio","04000US39"
138,"United Kingdom, not specified",2021,"2021",2,"Foreign born","GBR",5409,1805.233706932748,"Ohio","04000US39"
139,"England",2021,"2021",2,"Foreign born",,5986,1899.033600951685,"Ohio","04000US39"
140,"Scotland",2021,"2021",2,"Foreign born",,1312,889.2368862608602,"Ohio","04000US39"
142,"Northern Ireland",2021,"2021",2,"Foreign born",,264,398.9071782310623,"Ohio","04000US39"
147,"Yugoslavia",2021,"2021",2,"Foreign born",,2323,1183.1954788871935,"Ohio","04000US39"
148,"Czech Republic",2021,"2021",2,"Foreign born","CZE",1094,812.0134729549314,"Ohio","04000US39"
149,"Slovakia",2021,"2021",2,"Foreign born","SVK",266,400.4153052725741,"Ohio","04000US39"
150,"Bosnia and Herzegovina",2021,"2021",2,"Foreign born","BIH",3196,1387.7753586382662,"Ohio","04000US39"
151,"Croatia",2021,"2021",2,"Foreign born","HRV",2449,1214.8536534435175,"Ohio","04000US39"
152,"Macedonia",2021,"2021",2,"Foreign born","MKD",1734,1022.2739915256029,"Ohio","04000US39"
154,"Serbia",2021,"2021",2,"Foreign born","SRB",1570,972.7374076645204,"Ohio","04000US39"
156,"Latvia",2021,"2021",2,"Foreign born","LVA",408,495.9036590044447,"Ohio","04000US39"
157,"Lithuania",2021,"2021",2,"Foreign born","LTU",729,662.864976221881,"Ohio","04000US39"
158,"Armenia",2021,"2021",2,"Foreign born","ARM",583,592.7864662077716,"Ohio","04000US39"
159,"Azerbaijan",2021,"2021",2,"Foreign born","AZE",490,543.4552121091056,"Ohio","04000US39"
160,"Belarus",2021,"2021",2,"Foreign born","BLR",895,734.4627315569663,"Ohio","04000US39"
161,"Georgia (country)",2021,"2021",2,"Foreign born","GEO",269,402.66690416115847,"Ohio","04000US39"
162,"Moldova",2021,"2021",2,"Foreign born","MDA",919,744.2443712310748,"Ohio","04000US39"
163,"Russia",2021,"2021",2,"Foreign born","RUS",9001,2328.380821991883,"Ohio","04000US39"
164,"Ukraine",2021,"2021",2,"Foreign born","UKR",10585,2524.787409138749,"Ohio","04000US39"
165,"USSR",2021,"2021",2,"Foreign born",,680,640.2014730492543,"Ohio","04000US39"
166,"Europe",2021,"2021",2,"Foreign born",,162,312.4850734305588,"Ohio","04000US39"
167,"Kosovo",2021,"2021",2,"Foreign born",,95,239.29565256921,"Ohio","04000US39"
168,"Montenegro",2021,"2021",2,"Foreign born","MNE",173,322.91975807485767,"Ohio","04000US39"
169,"Other Europe, not specified",2021,"2021",2,"Foreign born",,1344,900.0146851218178,"Ohio","04000US39"
200,"Afghanistan",2021,"2021",2,"Foreign born","AFG",940,752.6990057575969,"Ohio","04000US39"
202,"Bangladesh",2021,"2021",2,"Foreign born","BGD",2429,1209.88390112466,"Ohio","04000US39"
203,"Bhutan",2021,"2021",2,"Foreign born","BTN",13524,2853.498755248688,"Ohio","04000US39"
205,"Myanmar",2021,"2021",2,"Foreign born","MMR",1450,934.8286342567902,"Ohio","04000US39"
206,"Cambodia",2021,"2021",2,"Foreign born","KHM",2151,1138.5583054369304,"Ohio","04000US39"
