ID Birthplace,Birthplace,ID Year,Year,ID Nativity,Nativity,Country Code,Total Population,Total Population MOE Appx,Geography,ID Geography
60,"American Samoa",2021,"2021",2,"Foreign born","ASM",67,200.96085889815146,"Florida","04000US12"
100,"Albania",2021,"2021",2,"Foreign born","ALB",10316,2493.018075600376,"Florida","04000US12"
102,"Austria",2021,"2021",2,"Foreign born","AUT",4096,1571.133355604525,"Florida","04000US12"
103,"Belgium",2021,"2021",2,"Foreign born","BEL",3989,1550.4800483651973,"Florida","04000US12"
104,"Bulgaria",2021,"2021",2,"Foreign born","BGR",6436,1969.3244623203666,"Florida","04000US12"
105,"Czechoslovakia",2021,"2021",2,"Foreign born",,1778,1035.195901264423,"Florida","04000US12"
106,"Denmark",2021,"2021",2,"Foreign born","DNK",1853,1056.801964421899,"Florida","04000US12"
108,"Finland",2021,"2021",2,"Foreign born","FIN",2631,1259.2397044149507,"Florida","04000US12"
109,"France",2021,"2021",2,"Foreign born","FRA",21079,3562.748457754775,"Florida","04000US12"
110,"Germany",2021,"2021",2,"Foreign born","DEU",52877,5638.575935499751,"Florida","04000US12"
116,"Greece",2021,"2021",2,"Foreign born","GRC",9996,2454.0654553241397,"Florida","04000US12"
117,"Hungary",2021,"2021",2,"Foreign born","HUN",8675,2286.2367848459535,"Florida","04000US12"
118,"Iceland",2021,"2021",2,"Foreign born","ISL",700,649.5560849454639,"Florida","04000US12"
119,"Ireland",2021,"2021",2,"Foreign born","IRL",9277,2364.1994738617836,"Florida","04000US12"
120,"Italy",2021,"2021",2,"Foreign born","ITA",30311,4271.360584147744,"Florida","04000US12"
126,"Netherlands",2021,"2021",2,"Foreign born","NLD",7878,2178.725757712,"Florida","04000US12"
127,"Norway",2021,"2021",2,"Foreign born","NOR",1923,1076.5763422927077,"Florida","04000US12"
128,"Poland",2021,"2021",2,"Foreign born","POL",24745,3859.815480940356,"Florida","04000US12"
129,"Portugal",2021,"2021",2,"Foreign born","PRT",9033,2332.914525065563,"Florida","04000US12"
130,"Azores Islands",2021,"2021",2,"Foreign born",,775,683.4672727429298,"Florida","04000US12"
132,"Romania",2021,"2021",2,"Foreign born","ROU",14087,2913.0009306259003,"Florida","04000US12"
134,"Spain",2021,"2021",2,"Foreign born","ESP",20418,3506.497158171302,"Florida","04000US12"
136,"Sweden",2021,"2021",2,"Foreign born","SWE",4239,1598.3185055375818,"Florida","04000US12"
