county,white,black,asian,indigenous,pacific,hispanic,two_pop
Abbeville South Carolina,0.6887104007828108,0.27626697109308107,0.0036286541362580012,0.0034655685571003386,0.00020385697394707873,0.01639010070534513,0.014229216781506095
Acadia Parish Louisiana,0.7731646385687807,0.1795954549117576,0.003384640180514143,0.004077685550809896,0.00027399468127971635,0.027915222822145216,0.01590780884841647
Accomack Virginia,0.5988364896645625,0.287906919173165,0.007952716920410942,0.007395717291744028,0.0016709988860007428,0.09144077237281842,0.017421710607748483
Ada Idaho,0.842975412542282,0.013777365252799599,0.02726610145207408,0.008199972175328652,0.002221820771740101,0.08522862951034808,0.029593822092373757
Adair Iowa,0.9512024608501118,0.00587248322147651,0.005313199105145414,0.0025167785234899327,0.00041946308724832214,0.025447427293064876,0.011884787472035795
Adair Kentucky,0.9303197583585043,0.02885116133736069,0.004062076866993021,0.0030205186959691697,0.0005207790855119259,0.021612332048744923,0.015206749296948235
Adair Missouri,0.8936589985400307,0.03377658525036499,0.026200528745610227,0.003945862762893107,0.0006707966696918281,0.025766483841691987,0.02004498283549698
Adair Oklahoma,0.3937100117148779,0.005857438947463278,0.008470757862485356,0.4611606740560512,0.0008110300081103001,0.07087501126430566,0.1030458682526809
Adams Colorado,0.4902777428824883,0.04028441056702376,0.044909271173763726,0.02336008782016965,0.0021897062546746265,0.40806036090533626,0.032066730959895325
Adams Idaho,0.9161620866325105,0.0037261294829995344,0.008616674429436423,0.014438751746623195,0.004191895668374476,0.03609687936655799,0.02585002328830927
Adams Illinois,0.9140368304424238,0.039076946588217316,0.009398639871628334,0.002903644838389241,0.0002750821425842439,0.017742798196683732,0.020738137082601055
Adams Indiana,0.935992397350253,0.005534281801157168,0.0038292757917097577,0.0032702574279565083,0.00041926377281493695,0.04536434021857618,0.008804539229113676
Adams Iowa,0.9608550805108274,0.004997223764575236,0.00694058856191005,0.005274847307051638,0.000277623542476402,0.014436424208772903,0.00832870627429206
Adams Mississippi,0.3552601570390643,0.5344215293389372,0.005799367934056625,0.005375818590558108,0.0002606457498452416,0.10096764734630045,0.010034861369041801
Adams Nebraska,0.851034658674234,0.013008959602078882,0.01294519019226477,0.013104613716800051,0.0010521952619328508,0.1100022319293435,0.012849536077543602
Adams North Dakota,0.9223826714801444,0.00947653429602888,0.027527075812274367,0.007220216606498195,0.0004512635379061372,0.0157942238267148,0.018050541516245487
Adams Ohio,0.9616217777456856,0.004910101812405228,0.0036464726695068237,0.005776590367535562,0.00021662213878258357,0.010397862661564013,0.014802512816809879
Adams Pennsylvania,0.8873011096117815,0.020240949819918648,0.008552650739255794,0.004193808308011921,0.0004756865904920929,0.07291595879971653,0.015435544466988322
Adams Washington,0.3248261021868588,0.021868588300055048,0.01351148476204774,0.061752489616173745,0.0013511484762047741,0.6473502477105539,0.01666416453985888
Adams Wisconsin,0.9034124629080119,0.02942631058358061,0.006280909990108803,0.012166172106824925,0.0003956478733926805,0.04179030662710188,0.013798219584569733
Addison Vermont,0.9257416319982598,0.013323544606683524,0.018435435190472305,0.003018190717024227,0.0003262908883269435,0.02286755309024662,0.020257225983631073
Aiken South Carolina,0.657579942881221,0.2527798586076127,0.012418652558640386,0.005647502223886886,0.0006788707336485791,0.05903249215787256,0.021893581160166674
Aitkin Minnesota,0.93837341055017,0.0057283142389525366,0.0029585798816568047,0.026879012967392674,0.00031474254060178774,0.014226362835200805,0.01642956061941332
Alachua Florida,0.605984916909193,0.20630531179030862,0.06151804730098906,0.003746612994948763,0.0007396587162646864,0.104897730102623,0.029073419490564707
Alamance North Carolina,0.6293235167454235,0.20865558760891753,0.017450400863670956,0.014547900111498504,0.0008495124152699857,0.1305535399300332,0.022866042511017114
Alameda California,0.30642321170756925,0.1103122126164268,0.32333011633257125,0.010648412131902216,0.009430219902843784,0.2232085962727865,0.05350173424861293
