city,state,pop,white_pop,black_pop,asian_pop,indigenous,pacific_pop,hisp_pop,two_pop
Aiken,South Carolina,170872,120735,43193,2122,965,116,10087,3741
Alachua,Florida,269043,187958,55505,16551,1008,199,28222,7822
Alamance,North Carolina,169509,124696,35369,2958,2466,144,22130,3876
Alameda,California,1671329,823593,184368,540391,17797,15761,373055,89419
Albany,New York,305506,231538,43096,20885,930,202,19102,8855
Allegan,Michigan,118081,112027,1834,1006,883,45,8879,2286
Anderson,South Carolina,202558,163136,32960,2111,689,95,8080,3567
Anoka,Minnesota,356921,298979,26336,17759,3179,221,17370,10447
Arapahoe,Colorado,656590,502075,75427,43046,7625,1993,129681,26424
Arlington,Virginia,236842,177639,22922,25945,1529,311,36951,8496
Baltimore,Maryland,827370,497980,250909,52266,3718,634,48074,21863
Barnstable,Massachusetts,212990,196339,7365,3388,1594,134,7235,4170
Bartow,Georgia,107738,91431,12224,1115,625,116,9867,2227
Beaufort,South Carolina,192122,150219,34296,2792,809,271,21319,3735
Beaver,Pennsylvania,163929,148331,10578,969,295,69,2925,3687
Benton,Arkansas,279141,246985,5753,11628,5217,2032,47630,7526
Berkshire,Massachusetts,124944,114747,4524,2082,408,64,6422,3119
Bernalillo,New Mexico,679121,569893,24133,19735,43079,982,341627,21299
Boulder,Colorado,326196,293688,3945,16361,2808,243,45579,9151
Brazoria,Texas,374264,280330,56612,25999,3157,363,118151,7803
Bronx,New York,1418207,634280,618556,64686,41319,5975,799580,53391
Brunswick,North Carolina,142820,123576,14308,1070,1195,159,7042,2512
Burlington,New Jersey,445349,324486,81515,24118,1520,392,38006,13318
Butler,Ohio,383134,321811,35288,14852,1052,493,19113,9638
Butler,Pennsylvania,187853,180012,2558,2745,298,68,3025,2172
Camden,New Jersey,506471,349537,109542,30391,3304,565,89046,13132
Cameron,Texas,423163,410776,3470,3335,2880,315,380861,2387
Canadian,Oklahoma,148306,123222,5303,4821,7678,159,14511,7123
Carver,Minnesota,105089,96841,2356,3521,324,48,4573,1999
Catawba,North Carolina,159551,133790,14249,7195,967,185,16175,3165
Champaign,Illinois,209689,150556,29029,22886,766,211,13117,6241
Charleston,South Carolina,411406,286508,108194,7606,1624,375,21771,7099
Chautauqua,New York,126903,118719,3545,873,925,65,9864,2776
Chester,Pennsylvania,524989,447638,32730,32186,1496,329,40047,10610
Chesterfield,Virginia,352802,240557,86561,12959,2086,457,33382,10182
Chittenden,Vermont,163774,147889,4176,7457,387,71,4029,3794
Clackamas,Oregon,418187,371668,4996,20323,4550,1210,37679,15440
Clayton,Georgia,292256,55855,212619,14687,1743,331,39194,7021
Cleveland,Oklahoma,284014,222487,15509,13484,15038,344,26249,17152
Cobb,Georgia,760141,474248,218974,42561,3786,512,101122,20060
Cochise,Arizona,125922,110465,5676,2844,2216,520,44988,4201
Columbiana,Ohio,101883,97026,2537,344,251,39,1937,1686
Comanche,Oklahoma,120749,79333,20831,3362,8144,832,16318,8247
Cumberland,North Carolina,335509,171379,131249,9104,6231,1438,40572,16108
Dakota,Minnesota,429021,358756,32127,22393,2662,409,32425,12674
Dallas,Texas,2635516,1754135,621347,177235,28509,2813,1074195,51477
Dane,Wisconsin,546695,464248,30243,34433,2558,300,35763,14913
Dauphin,Pennsylvania,278299,198893,53463,14823,1248,248,27556,9624
Davidson,North Carolina,167609,143513,16900,2717,1342,111,12450,3026
Delaware,Ohio,209177,180307,8170,15935,424,116,5860,4225
Denton,Texas,887207,670867,97809,85824,7422,1057,173905,24228
Denver,Colorado,727211,588470,70981,29684,12682,1431,212984,23963
Dorchester,South Carolina,162809,111649,41637,3411,1166,250,9395,4696
Douglas,Georgia,146343,66426,72720,2411,736,250,14981,3800
Douglas,Nebraska,571327,457241,65505,24829,7046,539,73944,16167
Durham,North Carolina,321488,173753,118569,17585,2898,329,43928,8354
Eau Claire,Wisconsin,104646,95965,1283,4480,679,191,2781,2048
Ector,Texas,166223,149786,8876,2158,2456,445,103988,2502
El Dorado,California,192843,170936,2000,9317,2574,436,25378,7580
El Paso,Texas,839238,770763,33445,11411,8927,1880,696115,12812
Elkhart,Indiana,206341,184614,12601,2527,1334,178,34580,5087
Erie,Pennsylvania,269728,235814,21093,5242,756,183,11904,6640
Essex,Massachusetts,789034,671146,56370,30826,6976,1337,175535,22379
Fairfax,Virginia,1147532,742178,121954,231085,6108,992,189515,45215
Fairfield,Connecticut,943332,739179,121997,55489,5115,1029,193772,20523
Fairfield,Ohio,157574,136700,13837,3032,406,99,3741,3500
Florence,South Carolina,138293,73681,59687,2227,602,148,3889,1948
Forsyth,Georgia,244252,189577,10661,37977,1196,168,23606,4673
Franklin,Missouri,103967,100364,1037,573,434,67,1936,1492
Franklin,Pennsylvania,155027,143041,6452,1691,516,96,9453,3231
Franklin,Ohio,1316756,879553,313307,75385,4092,719,76123,43700
Frederick,Maryland,259547,209391,27675,12864,1312,230,27366,8075
Fresno,California,999101,765202,57976,111353,29725,2815,537180,32030
Galveston,Texas,342139,274585,45274,11931,2759,362,86852,7228
Gaston,North Carolina,224529,174297,40223,3654,1334,155,17014,4866
Genesee,Michigan,405813,305575,82328,4168,2296,108,14489,11338
Greenville,South Carolina,523542,399377,96583,14117,2584,431,49792,10450
Hamilton,Ohio,817473,552683,217127,23827,2068,902,29074,20866
Hamilton,Indiana,338011,292605,15333,21965,748,149,14447,7211
Hampden,Massachusetts,466372,385403,50765,12750,3631,848,122812,12975
Hanover,Virginia,107766,92633,10264,2094,541,67,3347,2167
Hardin,Kentucky,110958,89311,14045,2498,519,338,6490,4247
Hartford,Connecticut,891720,666859,141117,54052,5071,1088,167275,23533
Henderson,North Carolina,117417,108651,4012,1500,815,257,12137,2182
Henrico,Virginia,330818,188617,102135,30152,1158,230,19734,8526
Hernando,Florida,193920,173822,11783,2779,981,190,28776,4365
Hidalgo,Texas,868707,842429,7747,9078,4688,403,803455,4362
Hillsborough,New Hampshire,417025,374914,13231,18585,1314,275,30369,8706
Houston,Alabama,105882,72872,28976,1137,574,97,3631,2226
Imperial,California,181215,163444,6009,3823,4496,357,154088,3086
Jackson,Missouri,703011,493242,166885,13823,4300,2158,64986,22603
Jackson,Mississippi,143617,105200,31159,3378,707,143,9810,3030
Jackson,Michigan,158510,138861,12914,1453,684,86,5775,4512
Jasper,Missouri,121328,110009,2808,1519,2298,650,10270,4044
Jefferson,Colorado,582881,533460,8525,18060,7115,711,90862,15010
Jefferson,Texas,251565,148550,85807,9923,2635,237,55576,4413
