county,pop1,white,black,asian,indigenous,pacific,hispanic,two_pop
Abbeville,24527,0.7022057324581074,0.27626697109308107,0.0036286541362580012,0.0034655685571003386,0.00020385697394707873,0.01639010070534513,0.014229216781506095
Acadia Parish,62045,0.7967604158272221,0.1795954549117576,0.003384640180514143,0.004077685550809896,0.00027399468127971635,0.027915222822145216,0.01590780884841647
Accomack,32316,0.6776519371209309,0.287906919173165,0.007952716920410942,0.007395717291744028,0.0016709988860007428,0.09144077237281842,0.017421710607748483
Ada,481587,0.9189409182556838,0.013777365252799599,0.02726610145207408,0.008199972175328652,0.002221820771740101,0.08522862951034808,0.029593822092373757
Adair,73891,0.7810152792626978,0.021409914603943647,0.01310037758319687,0.140896726258949,0.0006496054999932333,0.03820492346835203,0.0429280967912195
Adams,861711,0.8746482289305811,0.05073394676405431,0.030259564981763028,0.017568535158539234,0.001528354633978213,0.2811777962681224,0.02526136953108409
Addison,36777,0.9446393126138619,0.013323544606683524,0.018435435190472305,0.003018190717024227,0.0003262908883269435,0.02286755309024662,0.020257225983631073
Aiken,170872,0.7065815347160448,0.2527798586076127,0.012418652558640386,0.005647502223886886,0.0006788707336485791,0.05903249215787256,0.021893581160166674
Aitkin,15886,0.9476897897519829,0.0057283142389525366,0.0029585798816568047,0.026879012967392674,0.00031474254060178774,0.014226362835200805,0.01642956061941332
Alachua,269043,0.6986169497069241,0.20630531179030862,0.06151804730098906,0.003746612994948763,0.0007396587162646864,0.104897730102623,0.029073419490564707
Alamance,169509,0.7356305564896259,0.20865558760891753,0.017450400863670956,0.014547900111498504,0.0008495124152699857,0.1305535399300332,0.022866042511017114
Alameda,1671329,0.492777304767643,0.1103122126164268,0.32333011633257125,0.010648412131902216,0.009430219902843784,0.2232085962727865,0.05350173424861293
Alamosa,16233,0.8753157149017433,0.018357666481857944,0.016632785067455184,0.0545801761843159,0.0029569395675475884,0.47588246165219,0.03215671779708002
Albany,344386,0.774215560446708,0.12734257490141876,0.06504619816136545,0.003983901784625391,0.000717218469972647,0.06637610123524185,0.028694546235909706
Albemarle,109330,0.8175980975029726,0.09695417543217781,0.05534619957925546,0.0035031555840117075,0.000914662032379036,0.05774261410408854,0.02568370986920333
Alcona,10405,0.9681883709754926,0.005478135511773186,0.004036520903411821,0.007208073041806823,0.0006727534839019703,0.01604997597308986,0.014416146083613647
Alcorn,36953,0.854923822152464,0.1239412226341569,0.003923903336670907,0.004140394555245853,0.00035179823018428814,0.032176007360701434,0.01271885909127811
