"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Canmore [1]"
"Global non-response rate (GNR) =   6.6 %"
"Generation status (4) = Total - Generation status [2]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [3]","  Single ethnic origin responses [4]","  Multiple ethnic origin responses [5]", 
"Total - Ethnic origin [6]",13580,5515,8060 
"  North American Aboriginal origins",470,25,440 
"    First Nations (North American Indian)",310,10,300 
"    Inuit",0,0,0 
"    Métis",180,15,165 
"  Other North American origins",3775,1425,2350 
"    Acadian",50,20,30 
"    American",350,25,325 
"    Canadian",3515,1380,2140 
"    New Brunswicker",0,0,0 
"    Newfoundlander",15,0,15 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",10,0,10 
"    Other North American origins, n.i.e. [7]",10,0,10 
"  European origins",11055,3165,7885 
"    British Isles origins",7990,1630,6360 
"      Channel Islander",0,0,0 
"      Cornish",0,0,0 
"      English",4580,825,3755 
"      Irish",2690,225,2465 
"      Manx",10,0,10 
"      Scottish",3875,370,3510 
"      Welsh",560,20,540 
"      British Isles origins, n.i.e. [8]",710,190,520 
"    French origins",1575,220,1350 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",1570,220,1345 
"    Western European origins (except French origins)",3275,690,2585 
"      Austrian",235,35,200 
"      Bavarian",0,0,0 
"      Belgian",70,10,60 
"      Dutch",730,170,555 
"      Flemish",15,0,15 
"      Frisian",10,0,10 
"      German",2260,385,1880 
"      Luxembourger",0,0,0 
"      Swiss",260,90,170 
"      Western European origins, n.i.e. [9]",0,0,10 
"    Northern European origins (except British Isles origins)",1050,75,980 
"      Danish",165,15,145 
"      Finnish",120,10,115 
"      Icelandic",135,0,130 
"      Norwegian",430,30,395 
"      Swedish",290,10,280 
"      Northern European origins, n.i.e. [10]",55,0,50 
"    Eastern European origins",2105,370,1735 
"      Bulgarian",15,0,10 
"      Byelorussian",10,0,10 
"      Czech",100,30,75 
"      Czechoslovakian, n.o.s. [11]",40,0,35 
"      Estonian",20,10,15 
"      Hungarian",205,30,175 
"      Latvian",15,0,10 
"      Lithuanian",25,0,25 
"      Moldovan",0,0,0 
"      Polish",725,115,615 
"      Romanian",60,15,45 
"      Russian",340,50,290 
"      Slovak",40,0,35 
"      Ukrainian",835,120,720 
"      Eastern European origins, n.i.e. [12]",0,10,0 
"    Southern European origins",705,145,565 
"      Albanian",0,0,0 
"      Bosnian",0,0,10 
"      Catalan",0,0,0 
"      Croatian",20,0,20 
"      Cypriot",0,0,0 
"      Greek",75,0,70 
"      Italian",355,85,275 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",10,0,15 
"      Montenegrin",0,0,0 
"      Portuguese",65,20,45 
"      Serbian",15,0,10 
"      Sicilian",0,0,0 
"      Slovenian",10,10,10 
"      Spanish",140,10,135 
"      Yugoslavian, n.o.s. [13]",20,15,0 
"      Southern European origins, n.i.e. [14]",0,0,0 
"    Other European origins",105,35,65 
"      Basque",0,0,0 
"      Jewish",30,0,30 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [15]",10,0,0 
"      Other European origins, n.i.e. [16]",70,35,35 
"  Caribbean origins",105,20,80 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,0 
"    Bermudan",20,0,25 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",0,0,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",0,0,0 
"    Jamaican",55,20,30 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",10,0,10 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [17]",15,0,10 
"    Caribbean origins, n.i.e. [18]",0,0,0 
"  Latin, Central and South American origins",180,60,120 
"    Aboriginal from Central/South America (except Arawak and Maya)",0,0,0 
"    Arawak",0,0,0 
"    Argentinian",10,0,0 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",15,10,10 
"    Chilean",50,15,40 
"    Colombian",40,25,15 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",10,0,10 
"    Hispanic",0,0,0 
"    Honduran",15,0,10 
"    Maya",0,0,0 
"    Mexican",35,15,20 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",0,0,0 
"    Peruvian",20,0,20 
"    Salvadorean",0,0,0 
"    Uruguayan",0,0,0 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [19]",0,0,0 
"  African origins",80,20,60 
"    Central and West African origins",0,0,10 
