"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Drummondville"
"Global non-response rate (GNR) =   4.5 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",92875,74785,18090 
"  North American Aboriginal origins",3505,785,2720 
"    First Nations (North American Indian)",3230,670,2555 
"    Inuit",40,10,30 
"    Métis",300,105,195 
"  Other North American origins",74440,60240,14200 
"    Acadian",385,105,285 
"    American",520,50,470 
"    Canadian",71885,58315,13560 
"    New Brunswicker",10,0,10 
"    Newfoundlander",0,0,0 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",2555,1765,785 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",27895,11700,16195 
"    British Isles origins",5905,1405,4505 
"      Channel Islander",0,0,0 
"      Cornish",0,0,0 
"      English",1270,160,1105 
"      Irish",4080,1015,3060 
"      Manx",0,0,0 
"      Scottish",1160,215,945 
"      Welsh",35,15,15 
"      British Isles origins, n.i.e. [7]",55,0,50 
"    French origins",22375,9240,13140 
"      Alsatian",10,0,10 
"      Breton",130,50,80 
"      Corsican",20,0,20 
"      French",22250,9185,13060 
"    Western European origins (except French origins)",1850,450,1395 
"      Austrian",15,10,10 
"      Bavarian",0,0,0 
"      Belgian",460,120,335 
"      Dutch",115,30,80 
"      Flemish",0,0,10 
"      Frisian",0,0,0 
"      German",1035,185,845 
"      Luxembourger",15,0,10 
"      Swiss",325,95,230 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",120,35,90 
"      Danish",25,15,10 
"      Finnish",15,0,15 
"      Icelandic",25,0,20 
"      Norwegian",20,10,15 
"      Swedish",20,10,15 
"      Northern European origins, n.i.e. [9]",20,0,15 
"    Eastern European origins",370,135,240 
"      Bulgarian",0,0,0 
"      Byelorussian",0,0,0 
"      Czech",10,0,10 
"      Czechoslovakian, n.o.s. [10]",10,0,15 
"      Estonian",0,0,0 
"      Hungarian",45,20,30 
"      Latvian",0,0,0 
"      Lithuanian",10,0,10 
"      Moldovan",0,0,0 
"      Polish",120,35,85 
"      Romanian",50,35,20 
"      Russian",55,10,45 
"      Slovak",15,0,10 
"      Ukrainian",95,30,70 
"      Eastern European origins, n.i.e. [11]",0,0,10 
"    Southern European origins",1440,420,1020 
"      Albanian",0,0,0 
"      Bosnian",60,35,20 
"      Catalan",0,0,0 
"      Croatian",15,10,10 
"      Cypriot",0,0,0 
"      Greek",105,10,95 
"      Italian",810,185,630 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",0,0,10 
"      Montenegrin",0,0,0 
"      Portuguese",125,50,70 
"      Serbian",45,20,25 
"      Sicilian",15,10,15 
"      Slovenian",0,0,10 
"      Spanish",265,65,200 
"      Yugoslavian, n.o.s. [12]",50,40,10 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",100,20,80 
"      Basque",0,0,0 
"      Jewish",50,0,50 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",45,20,25 
"  Caribbean origins",320,130,185 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,0 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",50,25,25 
"    Dominican",50,25,30 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",215,80,135 
"    Jamaican",10,0,10 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",0,0,0 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",0,0,0 
"    Caribbean origins, n.i.e. [17]",0,0,0 
"  Latin, Central and South American origins",945,730,210 
"    Aboriginal from Central/South America (except Arawak and Maya)",30,20,15 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
"    Belizean",0,0,0 
"    Bolivian",0,0,10 
"    Brazilian",0,0,0 
"    Chilean",25,10,10 
"    Colombian",650,580,70 
"    Costa Rican",0,0,0 
"    Ecuadorian",10,10,0 
"    Guatemalan",55,15,45 
"    Guyanese",0,0,0 
"    Hispanic",10,0,0 
"    Honduran",10,0,0 
"    Maya",10,0,0 
"    Mexican",90,55,30 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",10,0,10 
"    Peruvian",10,0,0 
"    Salvadorean",35,25,10 
"    Uruguayan",0,0,0 
"    Venezuelan",20,10,20 
"    Latin, Central and South American origins, n.i.e. [18]",10,0,0 
"  African origins",845,550,295 
"    Central and West African origins",210,160,45 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",10,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",15,15,0 
"      Chadian",0,0,0 
"      Congolese",90,60,30 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,10,0 
"      Gambian",0,0,0 
"      Ghanaian",0,0,0 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",10,10,0 
"      Peulh",15,15,0 
"      Senegalese",35,40,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",0,0,0 
"      Central and West African origins, n.i.e. [19]",30,25,0 
"    North African origins",335,160,170 
"      Algerian",110,45,65 
"      Berber",40,0,40 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",55,10,50 
"      Libyan",15,10,0 
"      Maure",0,0,0 
"      Moroccan",120,85,35 
"      Sudanese",0,0,0 
"      Tunisian",40,10,30 
"      North African origins, n.i.e. [20]",0,0,0 
"    Southern and East African origins",140,110,30 
"      Afrikaner",0,0,0 
"      Amhara",0,0,0 
"      Bantu, n.o.s. [21]",0,0,0 
"      Burundian",100,90,15 
"      Djiboutian",0,0,0 
"      Eritrean",0,0,0 
"      Ethiopian",10,0,0 
"      Harari",0,0,0 
"      Kenyan",0,0,0 
"      Malagasy",10,0,0 
"      Mauritian",10,10,0 
"      Oromo",0,0,0 
"      Rwandan",15,10,0 
"      Seychellois",0,0,0 
"      Somali",0,0,0 
"      South African",0,0,0 
"      Tanzanian",0,0,0 
"      Tigrian",0,0,0 
"      Ugandan",0,0,0 
"      Zambian",0,0,0 
"      Zimbabwean",0,0,0 
"      Zulu",0,0,0 
