"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Granby"
"Global non-response rate (GNR) =   5.2 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",82745,65155,17590 
"  North American Aboriginal origins",2860,615,2250 
"    First Nations (North American Indian)",2605,520,2090 
"    Inuit",20,0,25 
"    Métis",270,95,175 
"  Other North American origins",64375,51235,13135 
"    Acadian",260,45,215 
"    American",485,55,430 
"    Canadian",62420,49760,12655 
"    New Brunswicker",0,0,10 
"    Newfoundlander",0,0,10 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",1975,1375,600 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",26595,10665,15930 
"    British Isles origins",6105,1355,4750 
"      Channel Islander",15,0,15 
"      Cornish",0,0,0 
"      English",1630,235,1395 
"      Irish",3695,855,2840 
"      Manx",0,0,0 
"      Scottish",1430,205,1230 
"      Welsh",20,0,25 
"      British Isles origins, n.i.e. [7]",190,55,125 
"    French origins",20495,7795,12690 
"      Alsatian",25,0,20 
"      Breton",120,15,100 
"      Corsican",0,0,0 
"      French",20425,7780,12645 
"    Western European origins (except French origins)",1935,525,1415 
"      Austrian",75,0,75 
"      Bavarian",0,0,0 
"      Belgian",460,170,290 
"      Dutch",260,105,160 
"      Flemish",0,0,0 
"      Frisian",0,0,0 
"      German",995,190,805 
"      Luxembourger",0,0,10 
"      Swiss",225,60,160 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",115,35,85 
"      Danish",20,10,15 
"      Finnish",25,15,15 
"      Icelandic",0,10,0 
"      Norwegian",15,0,10 
"      Swedish",40,0,30 
"      Northern European origins, n.i.e. [9]",10,0,10 
"    Eastern European origins",670,180,490 
"      Bulgarian",20,0,20 
"      Byelorussian",10,0,10 
"      Czech",15,0,15 
"      Czechoslovakian, n.o.s. [10]",10,0,0 
"      Estonian",0,0,0 
"      Hungarian",85,25,60 
"      Latvian",0,0,0 
"      Lithuanian",20,0,15 
"      Moldovan",0,0,0 
"      Polish",300,55,240 
"      Romanian",90,50,30 
"      Russian",95,20,80 
"      Slovak",10,0,10 
"      Ukrainian",160,25,135 
"      Eastern European origins, n.i.e. [11]",0,0,0 
"    Southern European origins",2045,760,1280 
"      Albanian",15,10,0 
"      Bosnian",70,60,15 
"      Catalan",0,0,10 
"      Croatian",45,20,25 
"      Cypriot",0,0,0 
"      Greek",110,30,85 
"      Italian",1200,460,745 
"      Kosovar",10,10,0 
"      Macedonian",0,0,0 
"      Maltese",25,10,15 
"      Montenegrin",0,0,0 
"      Portuguese",200,85,115 
"      Serbian",40,10,30 
"      Sicilian",10,0,0 
"      Slovenian",25,10,20 
"      Spanish",355,50,300 
"      Yugoslavian, n.o.s. [12]",10,10,0 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",80,10,70 
"      Basque",0,0,0 
"      Jewish",25,0,20 
"      Roma (Gypsy)",0,0,10 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",55,10,45 
"  Caribbean origins",345,175,175 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",15,0,15 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",120,55,65 
"    Dominican",20,20,0 
