"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Guelph"
"Global non-response rate (GNR) =   3.9 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",150030,69045,80985 
"  North American Aboriginal origins",4575,305,4265 
"    First Nations (North American Indian)",3370,255,3115 
"    Inuit",70,10,60 
"    Métis",1245,45,1200 
"  Other North American origins",41395,15250,26150 
"    Acadian",270,15,250 
"    American",1960,100,1865 
"    Canadian",39830,15070,24760 
"    New Brunswicker",0,0,0 
"    Newfoundlander",160,25,135 
"    Nova Scotian",50,15,35 
"    Ontarian",50,10,40 
"    Québécois",65,15,45 
"    Other North American origins, n.i.e. [6]",15,0,15 
"  European origins",111025,34375,76645 
"    British Isles origins",77410,15060,62355 
"      Channel Islander",30,0,30 
"      Cornish",15,0,10 
"      English",45205,7490,37720 
"      Irish",33015,2560,30455 
"      Manx",65,0,65 
"      Scottish",35800,3625,32175 
"      Welsh",3585,190,3395 
"      British Isles origins, n.i.e. [7]",5335,1195,4145 
"    French origins",14110,890,13220 
"      Alsatian",35,0,35 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",14090,890,13205 
"    Western European origins (except French origins)",30890,5850,25045 
"      Austrian",1095,115,980 
"      Bavarian",0,0,10 
"      Belgian",770,100,670 
"      Dutch",9250,2995,6260 
"      Flemish",55,15,45 
"      Frisian",100,25,75 
"      German",21345,2495,18850 
"      Luxembourger",25,10,15 
"      Swiss",1080,100,980 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",3395,365,3030 
"      Danish",795,140,655 
"      Finnish",825,130,695 
"      Icelandic",200,10,190 
"      Norwegian",885,50,830 
"      Swedish",725,25,700 
"      Northern European origins, n.i.e. [9]",185,0,185 
"    Eastern European origins",16135,4225,11905 
"      Bulgarian",70,50,20 
"      Byelorussian",65,10,60 
"      Czech",680,115,560 
"      Czechoslovakian, n.o.s. [10]",200,15,190 
"      Estonian",165,25,140 
"      Hungarian",2960,930,2025 
"      Latvian",200,25,175 
"      Lithuanian",390,55,335 
"      Moldovan",20,10,10 
"      Polish",6735,1920,4815 
"      Romanian",920,275,640 
"      Russian",1765,205,1565 
"      Slovak",510,90,420 
"      Ukrainian",4080,500,3585 
"      Eastern European origins, n.i.e. [11]",35,0,30 
"    Southern European origins",21225,7840,13380 
"      Albanian",65,40,20 
"      Bosnian",125,100,30 
"      Catalan",0,0,0 
"      Croatian",740,230,515 
"      Cypriot",60,25,35 
"      Greek",1205,430,775 
"      Italian",14430,5385,9050 
"      Kosovar",0,0,0 
"      Macedonian",135,35,100 
"      Maltese",360,100,265 
"      Montenegrin",55,0,55 
"      Portuguese",1955,720,1235 
"      Serbian",920,470,450 
"      Sicilian",40,0,35 
"      Slovenian",415,80,340 
"      Spanish",1665,215,1445 
"      Yugoslavian, n.o.s. [12]",150,20,130 
"      Southern European origins, n.i.e. [13]",20,0,15 
"    Other European origins",790,150,640 
"      Basque",15,0,10 
"      Jewish",460,40,420 
"      Roma (Gypsy)",20,0,20 
"      Slavic, n.o.s. [14]",25,0,20 
"      Other European origins, n.i.e. [15]",280,115,170 
"  Caribbean origins",2125,650,1475 
"    Antiguan",10,0,15 
"    Bahamian",45,10,35 
"    Barbadian",240,65,180 
"    Bermudan",30,0,35 
"    Carib",0,0,0 
"    Cuban",145,55,95 
"    Dominican",50,10,45 
"    Grenadian",25,25,0 
"    Guadeloupean",0,0,0 
"    Haitian",20,0,20 
"    Jamaican",845,260,580 
"    Kittitian/Nevisian",10,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",10,0,10 
"    St. Lucian",10,10,10 
"    Trinidadian/Tobagonian",430,80,345 
"    Vincentian/Grenadinian",50,10,35 
"    West Indian, n.o.s. [16]",305,125,175 
"    Caribbean origins, n.i.e. [17]",70,10,55 
"  Latin, Central and South American origins",2435,885,1550 
"    Aboriginal from Central/South America (except Arawak and Maya)",75,20,55 
"    Arawak",0,0,0 
"    Argentinian",120,10,110 
"    Belizean",0,0,0 
"    Bolivian",10,0,10 
"    Brazilian",200,25,175 
"    Chilean",100,25,70 
"    Colombian",225,155,65 
"    Costa Rican",30,10,25 
"    Ecuadorian",130,65,70 
"    Guatemalan",75,40,40 
"    Guyanese",275,15,260 
"    Hispanic",55,15,35 
"    Honduran",25,10,15 
"    Maya",15,0,15 
"    Mexican",400,115,285 
"    Nicaraguan",70,35,35 
"    Panamanian",30,25,10 
"    Paraguayan",10,0,10 
"    Peruvian",180,75,110 
"    Salvadorean",240,130,110 
"    Uruguayan",65,10,55 
"    Venezuelan",75,40,35 
"    Latin, Central and South American origins, n.i.e. [18]",170,65,105 
"  African origins",2915,1630,1285 
"    Central and West African origins",410,240,175 
"      Akan",0,0,0 
"      Angolan",10,0,10 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",20,15,0 
"      Chadian",0,0,0 
"      Congolese",85,50,35 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",10,0,0 
"      Ghanaian",80,55,25 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",0,10,0 
"      Malinké",0,0,0 
"      Nigerian",180,90,85 
"      Peulh",0,0,0 
"      Senegalese",0,0,0 
