"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = St. John's"
"Global non-response rate (GNR) =   5.3 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",203305,125925,77385 
"  North American Aboriginal origins",10890,1495,9395 
"    First Nations (North American Indian)",8005,910,7090 
"    Inuit",1550,300,1255 
"    Métis",1710,285,1425 
"  Other North American origins",100825,67580,33245 
"    Acadian",350,30,320 
"    American",1125,95,1030 
"    Canadian",98195,66600,31595 
"    New Brunswicker",10,10,0 
"    Newfoundlander",2340,820,1520 
"    Nova Scotian",15,0,10 
"    Ontarian",10,0,10 
"    Québécois",65,15,45 
"    Other North American origins, n.i.e. [6]",15,0,10 
"  European origins",124155,49870,74280 
"    British Isles origins",117940,46970,70965 
"      Channel Islander",45,10,40 
"      Cornish",25,0,25 
"      English",81840,27075,54770 
"      Irish",61225,16875,44350 
"      Manx",20,0,20 
"      Scottish",17015,1635,15385 
"      Welsh",2660,305,2360 
"      British Isles origins, n.i.e. [7]",3445,1075,2370 
"    French origins",10050,680,9375 
"      Alsatian",10,0,0 
"      Breton",10,0,0 
"      Corsican",0,0,0 
"      French",10045,675,9370 
"    Western European origins (except French origins)",6470,620,5845 
"      Austrian",275,25,250 
"      Bavarian",0,0,0 
"      Belgian",130,0,125 
"      Dutch",1215,170,1045 
"      Flemish",15,10,0 
"      Frisian",0,0,0 
"      German",5045,410,4635 
"      Luxembourger",0,0,0 
"      Swiss",185,0,175 
"      Western European origins, n.i.e. [8]",25,0,20 
"    Northern European origins (except British Isles origins)",2170,215,1955 
"      Danish",380,45,335 
"      Finnish",145,30,120 
"      Icelandic",140,40,100 
"      Norwegian",890,65,830 
"      Swedish",540,30,510 
"      Northern European origins, n.i.e. [9]",190,10,180 
"    Eastern European origins",2825,535,2295 
"      Bulgarian",75,50,30 
"      Byelorussian",30,0,25 
"      Czech",135,20,115 
