"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Winnipeg"
"Global non-response rate (GNR) =   4.0 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",761540,374520,387020 
"  North American Aboriginal origins",95405,26525,68880 
"    First Nations (North American Indian)",46015,17910,28100 
"    Inuit",520,70,460 
"    Métis",53820,8550,45275 
"  Other North American origins",134985,46140,88845 
"    Acadian",445,25,420 
"    American",5840,440,5395 
"    Canadian",130380,45615,84770 
"    New Brunswicker",0,0,0 
"    Newfoundlander",135,30,105 
"    Nova Scotian",20,0,20 
"    Ontarian",10,0,15 
"    Québécois",240,30,210 
"    Other North American origins, n.i.e. [6]",30,0,25 
"  European origins",503280,141575,361705 
"    British Isles origins",258245,31425,226820 
"      Channel Islander",45,0,45 
"      Cornish",65,0,65 
"      English",147565,16460,131105 
"      Irish",97440,4680,92760 
"      Manx",125,0,120 
"      Scottish",126740,7815,118925 
"      Welsh",11905,375,11530 
"      British Isles origins, n.i.e. [7]",14445,2090,12355 
"    French origins",96150,10205,85945 
"      Alsatian",20,0,20 
"      Breton",70,10,55 
"      Corsican",10,0,0 
"      French",96105,10190,85915 
"    Western European origins (except French origins)",161605,32240,129360 
"      Austrian",8375,480,7895 
"      Bavarian",10,0,10 
"      Belgian",11820,1025,10795 
"      Dutch",30460,5740,24720 
"      Flemish",620,70,550 
"      Frisian",120,15,100 
"      German",123970,24665,99300 
"      Luxembourger",80,0,80 
"      Swiss",3130,225,2905 
"      Western European origins, n.i.e. [8]",135,15,120 
"    Northern European origins (except British Isles origins)",48675,3560,45115 
"      Danish",4925,460,4470 
"      Finnish",2735,240,2495 
"      Icelandic",18175,1485,16695 
"      Norwegian",11510,615,10895 
"      Swedish",14050,650,13400 
"      Northern European origins, n.i.e. [9]",1720,120,1605 
"    Eastern European origins",180660,41250,139415 
"      Bulgarian",285,115,170 
"      Byelorussian",670,145,530 
"      Czech",3140,480,2660 
"      Czechoslovakian, n.o.s. [10]",1370,140,1235 
"      Estonian",170,35,135 
"      Hungarian",7010,1375,5630 
"      Latvian",880,125,760 
"      Lithuanian",1065,120,945 
"      Moldovan",265,50,215 
"      Polish",60465,9135,51330 
"      Romanian",4145,680,3465 
"      Russian",29575,3580,26000 
"      Slovak",1685,460,1230 
"      Ukrainian",116250,24690,91560 
"      Eastern European origins, n.i.e. [11]",720,135,585 
"    Southern European origins",51280,19610,31670 
"      Albanian",395,305,95 
"      Bosnian",960,705,250 
"      Catalan",15,0,10 
"      Croatian",2435,1095,1335 
"      Cypriot",40,10,30 
"      Greek",3550,1680,1870 
"      Italian",19435,6030,13400 
"      Kosovar",35,25,10 
"      Macedonian",220,105,115 
"      Maltese",245,70,175 
"      Montenegrin",30,10,25 
"      Portuguese",12870,7370,5500 
"      Serbian",1100,590,515 
"      Sicilian",205,30,175 
"      Slovenian",915,325,595 
"      Spanish",10695,1105,9595 
"      Yugoslavian, n.o.s. [12]",845,160,685 
"      Southern European origins, n.i.e. [13]",65,10,70 
"    Other European origins",9305,3285,6020 
"      Basque",100,10,95 
"      Jewish",7640,2575,5055 
"      Roma (Gypsy)",110,0,105 
"      Slavic, n.o.s. [14]",145,50,100 
