nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,168,,
American Samoa,24,120.27627601329893,0.00016708605265884036
Albania,6620,1997.0622833205207,0.0460879028583968
Austria,2355,1191.3251958937308,0.01639531891714871
Belgium,979,768.1561709543622,0.00681571856470853
Bulgaria,14578,2962.62512428347,0.10149085315252396
Czechoslovakia,634,618.171032327095,0.0044138565577377
Denmark,798,693.5259072515165,0.005555611250906442
Finland,430,509.0983669359063,0.0029936251101375564
France,5899,1885.228643456683,0.0410683593597708
Germany,20135,3481.042342064686,0.14017823626190626
Greece,10569,2522.973213687699,0.07358052043963682
Hungary,1719,1017.8495347158168,0.01196753852168944
Iceland,28,129.91320590427287,0.00019493372810198043
Ireland,6995,2052.816453894526,0.04869862243119118
Italy,16473,3149.0673244614404,0.11468368939371155
Netherlands,2536,1236.2503566363653,0.0176554262309508
Norway,758,675.9219091342202,0.005277134496475041
Poland,126931,8703.585987846782,0.8836833229183028
Portugal,242,381.9252249872489,0.0016847843643099736
Romania,16349,3137.2078715173684,0.11382041145497422
Spain,3506,1453.5210632629608,0.02440848752591226
Sweden,996,774.796337593016,0.0069340711853418755
Switzerland,656,628.8043945034547,0.004567018772674969
"United Kingdom, n.o.s",9186,2352.243902730925,0.06395218665517115
England,8284,2233.85234056433,0.05767253584274306
Scotland,1688,1008.631182027146,0.011751719037005106
Northern Ireland,359,465.1745036524881,0.0024993288710218205
Yugoslavia,3809,1515.0107939361596,0.026517948940730125
Czech Republic,2403,1203.4025947688683,0.016729491022466392
Slovakia,1383,912.98244152704,0.009628333784465676
Bosnia and Herzegovina,10029,2457.727104493541,0.06982108425481291
Croatia,3984,1549.4120918144447,0.027736284741367502
Macedonia,3658,1484.6861231032722,0.025466699192751584
Serbia,8072,2205.1015102296515,0.05619660904425664
Latvia,1618,987.4988839717028,0.011264384716750155
Lithuania,11505,2632.225770205874,0.0800968764933316
Armenia,923,745.8645683820173,0.006425851108504568
Azerbaijan,575,588.7066514812678,0.0040031033449513835
Belarus,6286,1946.0565789766897,0.043762621958894604
Georgia (country),634,618.171032327095,0.0044138565577377
Moldova,5786,1867.09304347278,0.04028166252850209
Russia,16726,3173.126253420582,0.11644505486549014
Ukraine,28317,4126.846150184088,0.19714065638084927
USSR,3429,1437.4753983036867,0.023872419773631814
Europe,1906,1071.775745924768,0.013269417348656236
Kosovo,761,677.2580853887839,0.005298020253057396
Montenegro,1024,785.6107074924471,0.007129004913443855
"Other Europe, n.o.s",887,731.1753573074035,0.006175222029516308
Afghanistan,1329,894.9829057029212,0.009252390165983285
Bangladesh,2355,1191.3251958937308,0.01639531891714871
Bhutan,1576,974.5994743473047,0.010971984124597184
Myanmar,4926,1722.814509697011,0.03429441230822698
Cambodia,2434,1211.138528435007,0.016945310507150726
China,72806,6605.745001177224,0.5068694645783138
Hong Kong,5105,1753.8246005402705,0.0355405957843075
India,162094,9821.900768166355,1.128485275820086
Indonesia,1687,1008.3324119312384,0.011744757118144319
Iran,6795,2023.2725066446212,0.047306238659034175
Iraq,12999,2797.753648758708,0.09049798327134441
Israel,4913,1720.5405766714532,0.03420390736303678
Japan,10046,2459.807617808792,0.06993943687544626
Jordan,8559,2270.6033287059367,0.05958706352945894
Korea,40014,4903.452979819929,0.2785742212954516
Kazakhstan,1762,1030.4996955459978,0.012266901032703196
Kyrgyzstan,2002,1098.4312682666202,0.013937761559291599
Kuwait,1722,1018.737204205404,0.011988424278271795
Laos,3254,1400.3236284200389,0.02265408397299444
Lebanon,3306,1411.465237075425,0.02301610375375526
Malaysia,2928,1328.344436808525,0.020384498424378523
Mongolia,3936,1540.0528830812336,0.027402112636049816
Nepal,3329,1416.3652720715256,0.023176227887553316
Pakistan,30908,4311.080454113123,0.2151789881491432
Philippines,92705,7448.187552938367,0.6454046879890748
Saudi Arabia,4456,1638.5959262967317,0.031022310443658024
Singapore,1374,910.007253489471,0.00956567651471861
Sri Lanka,1091,810.9025315228953,0.007595453477116451
Syria,6818,2026.692023867514,0.04746636279283223
Taiwan,7789,2166.1257135225164,0.05422638600665448
Thailand,6650,2001.5798910908804,0.046296760424220346
Turkey,4425,1632.8881692289815,0.03080649095897369
United Arab Emirates,994,774.0180990868913,0.006920147347620305
Uzbekistan,2193,1149.6269368178816,0.015267488061701537
Vietnam,23992,3799.27982517096,0.16703035730795407
Yemen,2033,1106.90159899521,0.014153581043975936
Asia,7998,2194.976950208457,0.05568142704855855
"South Central Asia, n.o.s",583,592.7876707032561,0.004058798695837663
