nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,169,,
American Samoa,848,714.9345819786342,0.0022821669002478845
Albania,2588,1248.928059587162,0.006964915021039533
Austria,1306,887.2306189658281,0.0035147523251459166
Belgium,2238,1161.4164193691738,0.0060229829277768454
Bulgaria,2182,1146.7947996681637,0.0058722737928548156
Czechoslovakia,435,512.0544142230117,0.0011706870301979124
Denmark,1235,862.7777680598612,0.0033236746719411997
Finland,1965,1088.2815132799128,0.005288275895031949
France,10775,2548.0169772980867,0.028998052299729897
Germany,37014,4720.403415258687,0.09961335571435753
Greece,3790,1511.3527749128216,0.010199778952758823
Hungary,2315,1181.225567759688,0.006230207988294637
Iceland,161,311.52039537364703,0.00043328876290083646
Ireland,3665,1486.223666865243,0.009863374633736434
Italy,7572,2136.10740711945,0.02037802802910021
Netherlands,5456,1813.305118442108,0.014683375716689217
Norway,1975,1091.0469742423795,0.00531518824055374
Poland,7566,2135.2611430906877,0.020361880621787138
Portugal,1820,1047.361871015456,0.004898046884965978
Azores Islands,146,296.6539176776051,0.0003929202446181499
Romania,7663,2148.9015111674976,0.02062293037334851
Spain,9133,2345.917659787159,0.0245790451650518
Sweden,3008,1346.4525178188703,0.00809523353295476
Switzerland,2311,1180.2047110956337,0.00621944305008592
"United Kingdom, n.o.s",24585,3847.909252055737,0.06616400146532339
England,21222,3575.264622777202,0.05711337966634504
Scotland,5714,1855.674856069628,0.015377714231151429
Northern Ireland,477,536.2043827411384,0.0012837188813894348
Yugoslavia,916,743.0458344560875,0.0024651708497960634
Czech Republic,1108,817.2149494475663,0.0029818878838144525
Slovakia,454,523.1175247297065,0.0012218204866893153
Bosnia and Herzegovina,4699,1682.837283897548,0.012646111160689633
Croatia,1055,797.4308829493606,0.0028392524525489597
Macedonia,574,588.2018502819694,0.0015447686329508085
Serbia,2009,1100.397542469764,0.00540669021532783
Latvia,515,557.1530323338735,0.0013859857943722411
Lithuania,771,681.7044782611531,0.002074941839730093
Armenia,1080,806.8234473011628,0.0029065333163534376
Azerbaijan,1340,898.704830718585,0.0036062542999200056
Belarus,1059,798.9411147018415,0.0028500173907576765
Georgia (country),121,270.06389902324173,0.00032563938081367217
Moldova,881,728.712273944589,0.0023709776404697946
Russia,16169,3121.0063897853147,0.04351457147418401
Ukraine,7064,2063.226710384055,0.019010880876593222
USSR,1972,1090.218072719869,0.005307114536897203
Europe,503,550.6237842058466,0.0013536909797460916
Kosovo,551,576.2970713687633,0.0014828702382506888
Montenegro,195,342.8392980551217,0.0005247907376749263
"Other Europe, n.o.s",771,681.7044782611531,0.002074941839730093
Afghanistan,12049,2694.3846238016454,0.03242668511920608
Bangladesh,16928,3193.37696966148,0.045557218499287955
Bhutan,1640,994.224231779332,0.004413624665573738
Myanmar,12268,2718.7503145250366,0.033016065486133304
Cambodia,10032,2458.629179710091,0.02699846502746082
China,110361,8140.492512997856,0.2970073364130386
Hong Kong,8623,2279.497220451188,0.023206515543440456
India,290669,13169.709231260438,0.7822584560473494
Indonesia,7950,2188.761812880118,0.021395314689823915
Iran,30765,4303.99377813806,0.08279583099779028
Iraq,28500,4142.692168660771,0.07670018473710459
Israel,4535,1653.2147927833537,0.012204748694132258
Japan,17328,3230.8632184762287,0.046633712320159594
Jordan,8638,2281.478397199229,0.023246884061723143
Korea,58509,5932.605334419624,0.15746144241344748
Kazakhstan,1684,1007.4723418869626,0.004532038985869619
Kyrgyzstan,502,550.0761816811095,0.0013509997451939125
Kuwait,4408,1629.905350815091,0.01186296190600551
Laos,9334,2371.5835065564,0.025119983310039798
Lebanon,9871,2438.8273546298174,0.02656517626455998
Malaysia,7611,2141.59996363086,0.020482986176635198
Mongolia,171,321.04915213447725,0.0004602011084226276
Nepal,25380,3909.5748966522815,0.06830353293430579
Pakistan,60293,6022.185341307512,0.162262604854535
Philippines,103413,7881.028603551689,0.2783086387444982
Saudi Arabia,9700,2417.6177506571566,0.026104975156137352
Singapore,2754,1288.3563606633534,0.007411659956701265
Sri Lanka,5260,1780.4429141586768,0.014155893744462113
Syria,7131,2072.985766949799,0.019191193591589224
Taiwan,28531,4144.942371283371,0.07678361300822215
Thailand,14749,2980.8838506075854,0.039693018410089674
Turkey,9458,2387.2793680163663,0.02545369639451001
United Arab Emirates,5255,1779.5966490224912,0.014142437571701215
Uzbekistan,1700,1012.2468384846482,0.004575098738704484
Vietnam,181890,10437.73804034439,0.4895086526958581
Yemen,574,588.2018502819694,0.0015447686329508085
Asia,4733,1688.9134694100476,0.012737613135463722
"South Central Asia, n.o.s",670,635.4876562298281,0.0018031271499600028
"Other Asia, n.o.s",2139,1135.4396544535136,0.005756550707111114
Bermuda,561,581.503011965782,0.00150978258377248
Canada,54482,5725.204416519069,0.1466238408718222
Mexico,2459913,36829.08739894207,6.620202860954567
Belize,4051,1562.5193361964557,0.01090219117087757
Costa Rica,5930,1890.4164442752567,0.015959020894422114
El Salvador,220934,11495.753637422762,0.5945852145511392
Guatemala,82791,7054.1152478509,0.2228099998094606
Honduras,138290,9108.088115264,0.37217082622084896
Nicaragua,17668,3262.38707824464,0.047548732067900494
Panama,9634,2409.3815826263294,0.025927353675693536
Antigua & Barbuda,1329,895.0086860667719,0.003576650719846036
Bahamas,1934,1079.663557432428,0.005204847623914397
Barbados,1513,954.9548512572832,0.004071837877446992
Cuba,62018,6107.543141913241,0.16690498445704396
Dominica,2037,1108.0387463840177,0.005482044782788844
Dominican Republic,13165,2816.346728937938,0.035430102879437965
Grenada,896,734.8894662225521,0.0024113461587524816
Haiti,4712,1685.1631199840224,0.012681097209867962
Jamaica,17215,3220.31768240473,0.04632960281576336
St. Kitts-Nevis,624,613.2850227741651,0.001679330360559764
St Lucia,1362,906.0518786686636,0.0036654614600679465
St Vincent & the Grenadines,556,578.9058940957898,0.0014963264110115844
Trinidad & Tobago,9013,2330.459845963644,0.024256097018790307
West Indies,859,719.5564620832359,0.0023117704803218542
"Caribbean, n.o.s",1610,985.089258487694,0.004332887629008365
Argentina,12366,2729.5831236028057,0.033279806472246855
Bolivia,4189,1588.906788903838,0.011273581539078287
Brazil,23197,3737.800152390884,0.06242856790689878
Chile,6841,2030.406895090495,0.018410735571457282
Colombia,56236,5816.4562564841735,0.15134426627634437
Ecuador,10300,2491.24170267702,0.027719715887444818
Guyana,3201,1388.972066278197,0.008614641801525326
Paraguay,836,709.8582067627913,0.002249872085621735
