nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,167,,
American Samoa,23,117.74376990544998,0.0008491750633466136
Albania,108,255.1427091849528,0.0039874307322362735
Austria,221,364.9755630388064,0.008159464739113114
Belgium,200,347.20288378116635,0.0073841309856227276
Bulgaria,1179,842.9343210863277,0.04352945216024598
Czechoslovakia,147,297.6656342793663,0.0054273362744327045
Denmark,124,273.38936288522694,0.004578161211086091
Finland,261,396.6309657929718,0.00963629093623766
France,1457,937.039000721246,0.05379339423026157
Germany,7110,2069.0965447905537,0.26250585653888797
Greece,1511,954.241689156654,0.055787109596379704
Hungary,418,501.9372821243712,0.015432833759951501
Iceland,27,127.5721198786292,0.0009968576830590684
Ireland,828,706.4205002904566,0.030570302280478096
Italy,1217,856.4083660334479,0.0449324370475143
Netherlands,546,573.6586122536469,0.020158677590750046
Norway,184,333.0257016343377,0.006793400506772909
Poland,2578,1246.3306678166605,0.09518144840467696
Portugal,55,182.0766835866673,0.00203063602104625
Azores Islands,13,88.52093992521726,0.0004799685140654773
Romania,1329,894.9411949550394,0.049067550399463034
Spain,1960,1086.7752630936232,0.07236448365910274
Sweden,102,247.9542541113677,0.003765906802667591
Switzerland,245,384.2818922947835,0.009045560457387842
"United Kingdom, n.o.s",2267,1168.7660602001265,0.08369912472203361
England,2874,1315.9084712713495,0.10610996226339861
Scotland,680,640.1877249439225,0.025106045351117275
Northern Ireland,50,173.60337045906508,0.0018460327464056819
Yugoslavia,1010,780.1946319901983,0.03728986147739478
Czech Republic,81,220.9605095836042,0.0029905730491772047
Slovakia,87,228.99794586981815,0.0032120969787458866
Bosnia and Herzegovina,1443,932.5271978461936,0.05327650506126798
Croatia,1004,777.8741159382064,0.03706833754782609
Macedonia,1516,955.8188559548456,0.055971712871020284
Serbia,753,673.6712696715854,0.027801253160869573
Latvia,440,514.9759464565672,0.01624508816837
Lithuania,244,383.49687004637735,0.009008639802459728
Armenia,91,234.2030399449423,0.0033597795984583413
Azerbaijan,50,173.60337045906508,0.0018460327464056819
Belarus,145,295.6338069869555,0.005353494964576477
Moldova,107,253.9587647176685,0.003950510077308159
Russia,3923,1537.296712056615,0.1448397292829898
Ukraine,2340,1187.4283444815107,0.08639433253178591
USSR,125,274.48950540329616,0.004615081866014205
Europe,185,333.9294118119376,0.0068303211617010235
Kosovo,13,88.52093992521726,0.0004799685140654773
Montenegro,56,183.7244563591552,0.0020675566759743636
"Other Europe, n.o.s",123,272.2847750471411,0.0045412405561579775
Afghanistan,370,472.2410325826914,0.013660642323402047
Bangladesh,1399,918.2028033724343,0.05165199624443098
Myanmar,14620,2965.361901986019,0.5397799750490214
Cambodia,752,673.2238460424832,0.027764332505941455
China,20560,3514.9894164654324,0.7590886653220165
Hong Kong,830,707.2730457977231,0.030644143590334322
India,33054,4452.675275969864,1.2203753279938683
Indonesia,1256,870.0198814963811,0.046372342589710736
Iran,1405,920.169271638786,0.05187352017399967
Iraq,448,519.6361493640482,0.01654045340779491
Israel,526,563.0548607592216,0.019420264492187773
Japan,5023,1739.3810327016058,0.1854524497039148
Jordan,1411,922.1315428870604,0.05209504410356834
Korea,7860,2175.3697179249075,0.29019634773497316
Kazakhstan,189,337.5200538983417,0.006978003781413477
Kyrgyzstan,54,180.413861354413,0.0019937153661181367
Kuwait,417,501.33655628466784,0.015395913105023388
Laos,603,602.8565990717685,0.022263154921652525
Lebanon,577,589.7176225966621,0.02130321789352157
Malaysia,2616,1255.4790562025898,0.09658443329194527
Mongolia,141,291.52766883467524,0.0052058123448640225
Nepal,561,581.4845027439228,0.02071248741467175
Pakistan,2994,1343.087593879709,0.11054044085477223
Philippines,13033,2800.124640177613,0.4811868956781051
Saudi Arabia,1860,1058.6963072467072,0.06867241816629137
Singapore,530,565.1915315857233,0.01956794711190023
Sri Lanka,474,534.5011985644569,0.017500390435925862
Syria,1254,869.3270433229397,0.0462985012798545
Taiwan,1901,1070.2978807610064,0.07018616501834403
Thailand,4970,1730.1869864666712,0.18349565499272477
Turkey,791,690.4584635535039,0.02920423804813789
United Arab Emirates,395,487.9334607018246,0.014583658696604886
Uzbekistan,168,318.21745345000176,0.006202670027923091
Vietnam,6412,1965.011899325923,0.23673523939906466
Yemen,489,542.8920220749116,0.01805420025984757
Asia,549,575.232310749851,0.02026943955553439
"Other Asia, n.o.s",155,305.65789811126643,0.005722701513857615
Bermuda,120,268.9437907856304,0.0044304785913736365
Canada,7130,2072.0015506224,0.26324426963745023
Mexico,100393,7720.994238996603,3.7065753101981125
Belize,372,473.5155694368588,0.013734483633258274
Costa Rica,584,593.2836743875572,0.021561662478018367
El Salvador,9081,2338.025924688437,0.33527646740219996
Guatemala,7249,2089.202464573885,0.26763782757389576
Honduras,5750,1860.902681203157,0.2122937658366534
Nicaragua,1486,946.316392118561,0.05486409322317686
Panama,698,648.6045913173489,0.02577061713982332
