nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,157,,
American Samoa,15,95.08665353353624,0.0008203126922607872
Albania,193,341.0694319568571,0.010554689973755462
Austria,280,410.807509449159,0.015312503588868029
Belgium,95,239.2937393095308,0.0051953137176516525
Bulgaria,132,282.06841888132607,0.0072187516918949274
Czechoslovakia,39,153.32215582947455,0.0021328129998780467
Denmark,46,166.51414987928868,0.0025156255895997476
Finland,49,171.85813860551025,0.002679688128051905
France,517,558.2022636856292,0.028273444126588464
Germany,5490,1817.8530411143588,0.30023444536744814
Greece,116,264.4218705590419,0.006343751486816754
Hungary,55,182.07615700732893,0.0030078132049562198
Iceland,29,132.21239199554603,0.0015859378717041886
Ireland,124,273.3875802794274,0.006781251589355841
Italy,329,445.30196532713495,0.017992191716919934
Netherlands,187,335.72623235821874,0.010226564896851148
Norway,78,216.8292012398023,0.004265625999756093
Poland,474,534.4878754562711,0.025921881075440877
Portugal,117,265.5591405436444,0.0063984389996341404
Romania,309,431.5558446308416,0.01689844146057222
Spain,330,445.97814608181193,0.01804687922973732
Sweden,176,325.7027401691745,0.009625002255859903
Switzerland,78,216.8292012398023,0.004265625999756093
"United Kingdom, n.o.s",889,731.9421184640559,0.048617198894655995
England,2298,1176.5850996669624,0.1256719044543526
Scotland,341,453.34955351464754,0.018648441870728564
Northern Ireland,43,160.99286216168153,0.00235156305114759
Yugoslavia,113,260.98032360482296,0.006179688948364598
Czech Republic,71,206.871197282778,0.003882813410034393
Bosnia and Herzegovina,130,279.92345166576195,0.007109376666260156
Croatia,35,145.24689457576522,0.0019140629486085036
Serbia,38,151.3437417111723,0.002078125487060661
Latvia,27,127.57193875954812,0.001476562846069417
Lithuania,25,122.75618639883466,0.0013671878204346455
Azerbaijan,21,112.50796023262195,0.001148437769165102
Belarus,58,186.9758711738916,0.003171875743408377
Georgia (country),22,115.15555401103848,0.001203125281982488
Moldova,31,136.69540012058755,0.0016953128973389603
Russia,1296,883.7022643041187,0.07087501661133203
Ukraine,896,734.8174784495569,0.049000011484377694
USSR,144,294.6104073311984,0.007875001845703557
Europe,23,117.7436275054007,0.0012578127947998738
Kosovo,29,132.21239199554603,0.0015859378717041886
Montenegro,24,120.27602301094468,0.0013125003076172597
"Other Europe, n.o.s",261,396.6255221514338,0.0142734408453377
Bangladesh,1443,932.4564228625444,0.07891408099548773
Myanmar,3890,1530.507647811255,0.21273442485963082
Cambodia,449,520.2034555645822,0.02455469325500623
China,7319,2098.445595266693,0.4002579063104468
Hong Kong,287,415.9105352701083,0.01569531617858973
India,11630,2643.7721464525557,0.636015774066197
Indonesia,722,659.6349282215334,0.039484384254152564
Iran,2026,1104.7983594543082,0.11079690096802368
