ID Birthplace,Birthplace,ID Year,Year,ID Nativity,Nativity,Country Code,Total Population,Total Population MOE Appx,Geography,ID Geography
60,"American Samoa",2021,"2021",2,"Foreign born","ASM",24,120.27617816900822,"Tennessee","04000US47"
100,"Albania",2021,"2021",2,"Foreign born","ALB",545,573.1334503264958,"Tennessee","04000US47"
102,"Austria",2021,"2021",2,"Foreign born","AUT",543,572.0809461589255,"Tennessee","04000US47"
103,"Belgium",2021,"2021",2,"Foreign born","BEL",226,369.0811148211459,"Tennessee","04000US47"
104,"Bulgaria",2021,"2021",2,"Foreign born","BGR",575,588.6951769809759,"Tennessee","04000US47"
105,"Czechoslovakia",2021,"2021",2,"Foreign born",,73,209.76541121357317,"Tennessee","04000US47"
106,"Denmark",2021,"2021",2,"Foreign born","DNK",237,377.95616086370774,"Tennessee","04000US47"
108,"Finland",2021,"2021",2,"Foreign born","FIN",71,206.87198677353095,"Tennessee","04000US47"
109,"France",2021,"2021",2,"Foreign born","FRA",1296,883.7638415288374,"Tennessee","04000US47"
110,"Germany",2021,"2021",2,"Foreign born","DEU",7857,2174.974993253727,"Tennessee","04000US47"
116,"Greece",2021,"2021",2,"Foreign born","GRC",625,613.7549123521477,"Tennessee","04000US47"
117,"Hungary",2021,"2021",2,"Foreign born","HUN",443,516.7287164428419,"Tennessee","04000US47"
118,"Iceland",2021,"2021",2,"Foreign born","ISL",96,240.55109386383617,"Tennessee","04000US47"
119,"Ireland",2021,"2021",2,"Foreign born","IRL",777,684.3222637919058,"Tennessee","04000US47"
120,"Italy",2021,"2021",2,"Foreign born","ITA",1193,847.9245528600808,"Tennessee","04000US47"
126,"Netherlands",2021,"2021",2,"Foreign born","NLD",606,604.3546751703224,"Tennessee","04000US47"
128,"Poland",2021,"2021",2,"Foreign born","POL",1716,1016.9019289734317,"Tennessee","04000US47"
129,"Portugal",2021,"2021",2,"Foreign born","PRT",106,252.7693057758303,"Tennessee","04000US47"
130,"Azores Islands",2021,"2021",2,"Foreign born",,124,273.3894024723216,"Tennessee","04000US47"
132,"Romania",2021,"2021",2,"Foreign born","ROU",1848,1055.2788476877035,"Tennessee","04000US47"
134,"Spain",2021,"2021",2,"Foreign born","ESP",632,617.1820547617396,"Tennessee","04000US47"
136,"Sweden",2021,"2021",2,"Foreign born","SWE",573,587.6705531336445,"Tennessee","04000US47"
137,"Switzerland",2021,"2021",2,"Foreign born","CHE",222,365.80043536289844,"Tennessee","04000US47"
138,"United Kingdom, not specified",2021,"2021",2,"Foreign born","GBR",3588,1470.2370501036346,"Tennessee","04000US47"
139,"England",2021,"2021",2,"Foreign born",,4016,1555.4084042490606,"Tennessee","04000US47"
140,"Scotland",2021,"2021",2,"Foreign born",,616,609.3202526383247,"Tennessee","04000US47"
142,"Northern Ireland",2021,"2021",2,"Foreign born",,103,249.16676309801775,"Tennessee","04000US47"
147,"Yugoslavia",2021,"2021",2,"Foreign born",,352,460.61168063657624,"Tennessee","04000US47"
148,"Czech Republic",2021,"2021",2,"Foreign born","CZE",356,463.2212643613068,"Tennessee","04000US47"
149,"Slovakia",2021,"2021",2,"Foreign born","SVK",126,275.58529638750986,"Tennessee","04000US47"
150,"Bosnia and Herzegovina",2021,"2021",2,"Foreign born","BIH",1121,821.9437078037663,"Tennessee","04000US47"
151,"Croatia",2021,"2021",2,"Foreign born","HRV",336,450.02201562682393,"Tennessee","04000US47"
