ID Birthplace,Birthplace,ID Year,Year,ID Nativity,Nativity,Country Code,Total Population,Total Population MOE Appx,Geography,ID Geography
60,"American Samoa",2021,"2021",2,"Foreign born","ASM",110,257.4952722982384,"Pennsylvania","04000US42"
100,"Albania",2021,"2021",2,"Foreign born","ALB",7068,2063.5009272756565,"Pennsylvania","04000US42"
102,"Austria",2021,"2021",2,"Foreign born","AUT",1434,929.6625271574003,"Pennsylvania","04000US42"
103,"Belgium",2021,"2021",2,"Foreign born","BEL",591,596.8409385914055,"Pennsylvania","04000US42"
104,"Bulgaria",2021,"2021",2,"Foreign born","BGR",1669,1002.9400720990453,"Pennsylvania","04000US42"
105,"Czechoslovakia",2021,"2021",2,"Foreign born",,490,543.4562593736949,"Pennsylvania","04000US42"
106,"Denmark",2021,"2021",2,"Foreign born","DNK",629,615.7289177609271,"Pennsylvania","04000US42"
108,"Finland",2021,"2021",2,"Foreign born","FIN",282,412.2822064783936,"Pennsylvania","04000US42"
109,"France",2021,"2021",2,"Foreign born","FRA",4611,1666.8445956527241,"Pennsylvania","04000US42"
110,"Germany",2021,"2021",2,"Foreign born","DEU",17308,3227.8121180751805,"Pennsylvania","04000US42"
116,"Greece",2021,"2021",2,"Foreign born","GRC",5934,1890.8155412066876,"Pennsylvania","04000US42"
117,"Hungary",2021,"2021",2,"Foreign born","HUN",2370,1195.113771369249,"Pennsylvania","04000US42"
118,"Iceland",2021,"2021",2,"Foreign born","ISL",90,232.91341689007257,"Pennsylvania","04000US42"
119,"Ireland",2021,"2021",2,"Foreign born","IRL",4745,1690.882441690749,"Pennsylvania","04000US42"
120,"Italy",2021,"2021",2,"Foreign born","ITA",16931,3192.5111973308412,"Pennsylvania","04000US42"
126,"Netherlands",2021,"2021",2,"Foreign born","NLD",2127,1132.1993250504495,"Pennsylvania","04000US42"
127,"Norway",2021,"2021",2,"Foreign born","NOR",629,615.7289177609271,"Pennsylvania","04000US42"
128,"Poland",2021,"2021",2,"Foreign born","POL",11877,2674.4175148902914,"Pennsylvania","04000US42"
129,"Portugal",2021,"2021",2,"Foreign born","PRT",2606,1253.1940717420987,"Pennsylvania","04000US42"
130,"Azores Islands",2021,"2021",2,"Foreign born",,454,523.1124837631521,"Pennsylvania","04000US42"
132,"Romania",2021,"2021",2,"Foreign born","ROU",5202,1770.4058100728687,"Pennsylvania","04000US42"
134,"Spain",2021,"2021",2,"Foreign born","ESP",2314,1180.9124270483596,"Pennsylvania","04000US42"
136,"Sweden",2021,"2021",2,"Foreign born","SWE",856,718.2858479907753,"Pennsylvania","04000US42"
137,"Switzerland",2021,"2021",2,"Foreign born","CHE",779,685.2206547340788,"Pennsylvania","04000US42"
138,"United Kingdom, not specified",2021,"2021",2,"Foreign born","GBR",10550,2520.718185011896,"Pennsylvania","04000US42"
139,"England",2021,"2021",2,"Foreign born",,8551,2269.551325448799,"Pennsylvania","04000US42"
140,"Scotland",2021,"2021",2,"Foreign born",,1436,930.3105297647164,"Pennsylvania","04000US42"
142,"Northern Ireland",2021,"2021",2,"Foreign born",,705,651.8647757884337,"Pennsylvania","04000US42"
147,"Yugoslavia",2021,"2021",2,"Foreign born",,1433,929.3383563407128,"Pennsylvania","04000US42"
148,"Czech Republic",2021,"2021",2,"Foreign born","CZE",541,571.0371116089103,"Pennsylvania","04000US42"
149,"Slovakia",2021,"2021",2,"Foreign born","SVK",694,646.7595869480072,"Pennsylvania","04000US42"
150,"Bosnia and Herzegovina",2021,"2021",2,"Foreign born","BIH",3522,1456.8353234727017,"Pennsylvania","04000US42"
151,"Croatia",2021,"2021",2,"Foreign born","HRV",750,672.3460130605253,"Pennsylvania","04000US42"
152,"Macedonia",2021,"2021",2,"Foreign born","MKD",60,190.173228471259,"Pennsylvania","04000US42"
154,"Serbia",2021,"2021",2,"Foreign born","SRB",935,750.697397512854,"Pennsylvania","04000US42"
156,"Latvia",2021,"2021",2,"Foreign born","LVA",596,599.3602134888314,"Pennsylvania","04000US42"
157,"Lithuania",2021,"2021",2,"Foreign born","LTU",943,753.9018642986699,"Pennsylvania","04000US42"
158,"Armenia",2021,"2021",2,"Foreign born","ARM",528,564.1347859837642,"Pennsylvania","04000US42"
159,"Azerbaijan",2021,"2021",2,"Foreign born","AZE",896,734.8754897552126,"Pennsylvania","04000US42"
160,"Belarus",2021,"2021",2,"Foreign born","BLR",3820,1517.198757649329,"Pennsylvania","04000US42"
161,"Georgia (country)",2021,"2021",2,"Foreign born","GEO",1535,961.8409187320707,"Pennsylvania","04000US42"
162,"Moldova",2021,"2021",2,"Foreign born","MDA",1094,812.0169667619303,"Pennsylvania","04000US42"
163,"Russia",2021,"2021",2,"Foreign born","RUS",15682,3072.6478213683095,"Pennsylvania","04000US42"
164,"Ukraine",2021,"2021",2,"Foreign born","UKR",18311,3319.8924984454056,"Pennsylvania","04000US42"
165,"USSR",2021,"2021",2,"Foreign born",,5479,1816.9110373764486,"Pennsylvania","04000US42"
166,"Europe",2021,"2021",2,"Foreign born",,204,350.66016035788834,"Pennsylvania","04000US42"
167,"Kosovo",2021,"2021",2,"Foreign born",,62,193.3167856798972,"Pennsylvania","04000US42"
168,"Montenegro",2021,"2021",2,"Foreign born","MNE",78,216.8306911606081,"Pennsylvania","04000US42"
169,"Other Europe, not specified",2021,"2021",2,"Foreign born",,354,461.9239317251744,"Pennsylvania","04000US42"
200,"Afghanistan",2021,"2021",2,"Foreign born","AFG",1092,811.2744439125713,"Pennsylvania","04000US42"
202,"Bangladesh",2021,"2021",2,"Foreign born","BGD",9594,2403.8863919276864,"Pennsylvania","04000US42"
203,"Bhutan",2021,"2021",2,"Foreign born","BTN",7215,2084.8369874217715,"Pennsylvania","04000US42"
205,"Myanmar",2021,"2021",2,"Foreign born","MMR",2081,1119.8915223806273,"Pennsylvania","04000US42"
206,"Cambodia",2021,"2021",2,"Foreign born","KHM",8165,2217.7680182223735,"Pennsylvania","04000US42"
207,"China",2021,"2021",2,"Foreign born","CHN",66978,6337.480463198166,"Pennsylvania","04000US42"
209,"Hong Kong",2021,"2021",2,"Foreign born","HKG",3589,1470.6231374919446,"Pennsylvania","04000US42"
210,"India",2021,"2021",2,"Foreign born","IND",98153,7662.616264585472,"Pennsylvania","04000US42"
211,"Indonesia",2021,"2021",2,"Foreign born","IDN",3722,1497.616521473455,"Pennsylvania","04000US42"
212,"Iran",2021,"2021",2,"Foreign born","IRN",4372,1623.0863650027152,"Pennsylvania","04000US42"
213,"Iraq",2021,"2021",2,"Foreign born","IRQ",2282,1172.720106773473,"Pennsylvania","04000US42"
214,"Israel",2021,"2021",2,"Foreign born","ISR",3797,1512.6257200776179,"Pennsylvania","04000US42"
215,"Japan",2021,"2021",2,"Foreign born","JPN",5150,1761.538492517737,"Pennsylvania","04000US42"
216,"Jordan",2021,"2021",2,"Foreign born","JOR",1639,993.886506600593,"Pennsylvania","04000US42"
217,"Korea",2021,"2021",2,"Foreign born",,26932,4024.92426217567,"Pennsylvania","04000US42"
218,"Kazakhstan",2021,"2021",2,"Foreign born","KAZ",1016,782.5364983471003,"Pennsylvania","04000US42"
219,"Kyrgyzstan",2021,"2021",2,"Foreign born","KGZ",526,563.0653786032441,"Pennsylvania","04000US42"
