ID Birthplace,Birthplace,ID Year,Year,ID Nativity,Nativity,Country Code,Total Population,Total Population MOE Appx,Geography,ID Geography
60,"American Samoa",2021,"2021",2,"Foreign born","ASM",518,558.757993097023,"Arizona","04000US04"
100,"Albania",2021,"2021",2,"Foreign born","ALB",1591,979.1766324224792,"Arizona","04000US04"
102,"Austria",2021,"2021",2,"Foreign born","AUT",1014,781.7405328843553,"Arizona","04000US04"
103,"Belgium",2021,"2021",2,"Foreign born","BEL",657,629.2703798104369,"Arizona","04000US04"
104,"Bulgaria",2021,"2021",2,"Foreign born","BGR",1803,1042.3589741538556,"Arizona","04000US04"
105,"Czechoslovakia",2021,"2021",2,"Foreign born",,253,390.50559313809157,"Arizona","04000US04"
106,"Denmark",2021,"2021",2,"Foreign born","DNK",698,648.6061443046011,"Arizona","04000US04"
108,"Finland",2021,"2021",2,"Foreign born","FIN",278,409.3441885203557,"Arizona","04000US04"
109,"France",2021,"2021",2,"Foreign born","FRA",3355,1421.7331353541374,"Arizona","04000US04"
110,"Germany",2021,"2021",2,"Foreign born","DEU",13573,2857.5638674581373,"Arizona","04000US04"
116,"Greece",2021,"2021",2,"Foreign born","GRC",1232,861.6726709079642,"Arizona","04000US04"
117,"Hungary",2021,"2021",2,"Foreign born","HUN",1692,1009.7713198547999,"Arizona","04000US04"
118,"Iceland",2021,"2021",2,"Foreign born","ISL",84,225.01518389561625,"Arizona","04000US04"
119,"Ireland",2021,"2021",2,"Foreign born","IRL",1536,962.1067157889283,"Arizona","04000US04"
120,"Italy",2021,"2021",2,"Foreign born","ITA",4165,1583.9974089185137,"Arizona","04000US04"
126,"Netherlands",2021,"2021",2,"Foreign born","NLD",2982,1340.4082406576388,"Arizona","04000US04"
127,"Norway",2021,"2021",2,"Foreign born","NOR",432,510.273929747484,"Arizona","04000US04"
128,"Poland",2021,"2021",2,"Foreign born","POL",5748,1860.6160065239121,"Arizona","04000US04"
129,"Portugal",2021,"2021",2,"Foreign born","PRT",640,621.076523566999,"Arizona","04000US04"
130,"Azores Islands",2021,"2021",2,"Foreign born",,43,160.993249923621,"Arizona","04000US04"
132,"Romania",2021,"2021",2,"Foreign born","ROU",6027,1905.199257706725,"Arizona","04000US04"
134,"Spain",2021,"2021",2,"Foreign born","ESP",1802,1042.0699452926826,"Arizona","04000US04"
