nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,168,,
American Samoa,518,558.757993097023,0.007032529249144454
Albania,1591,979.1766324224792,0.021599911265229397
Austria,1014,781.7405328843553,0.013766379649869648
Belgium,657,629.2703798104369,0.008919636518702522
Bulgaria,1803,1042.3589741538556,0.024478089259087746
Czechoslovakia,253,390.5055931380916,0.0034348067568215194
Denmark,698,648.6061443046011,0.009476265281665695
Finland,278,409.3441885203557,0.0037742145391161364
France,3355,1421.7331353541374,0.04554852438393754
Germany,13573,2857.5638674581373,0.1842712731633932
Greece,1232,861.6726709079642,0.016726015511478703
Hungary,1692,1009.7713198548,0.022971118705699647
Iceland,84,225.01518389561625,0.0011404101485099115
Ireland,1536,962.1067157889285,0.02085321414418124
Italy,4165,1583.9974089185137,0.05654533653028311
Netherlands,2982,1340.4082406576388,0.040484560272101865
Norway,432,510.273929747484,0.005864966478050974
Poland,5748,1860.616006523912,0.07803663730517824
Portugal,640,621.076523566999,0.008688839226742183
Azores Islands,43,160.993249923621,0.0005837813855467405
Romania,6027,1905.199257706725,0.08182442815558616
Spain,1802,1042.0699452926826,0.02446451294779596
Sweden,1037,790.5554292615903,0.014078634809580694
Switzerland,824,704.7143055448812,0.011186880504430561
"United Kingdom, n.o.s",6662,2002.9616156150985,0.09044538582586942
England,9297,2365.706215011888,0.126218966079722
Scotland,1188,846.1483954541,0.01612865781464018
Northern Ireland,443,516.7292343232,0.006014305902260606
Yugoslavia,1017,782.8959338027703,0.013807108583745002
Czech Republic,620,611.2960432022434,0.00841731300090649
Slovakia,270,403.411578175722,0.0036656040487818586
Bosnia and Herzegovina,3926,1537.904780330417,0.053300598131546584
Croatia,1202,851.1186739233132,0.016318726172725163
Macedonia,115,263.28138340578624,0.0015612757985552362
Serbia,1069,802.6585169073114,0.014513076770917803
Latvia,201,348.07002288055435,0.002728838569648717
Lithuania,391,485.4574200160369,0.005308337715087803
Armenia,395,487.9341218074912,0.0053626429602549415
Azerbaijan,100,245.51141605480203,0.0013576311291784663
Belarus,274,406.38871096912425,0.0037199092939489975
Georgia (country),31,136.69563747894188,0.0004208656500453245
Moldova,332,447.3357594389606,0.004507335348872508
Russia,3828,1518.5995662201638,0.05197011962495169
Ukraine,1932,1078.9940491785646,0.026229433415727962
USSR,387,482.9680148296867,0.005254032469920664
Europe,237,377.9563635106005,0.0032175857761529646
Kosovo,401,491.6257753397479,0.00544410082800565
Montenegro,252,389.7331063717861,0.003421230445529735
"Other Europe, n.o.s",387,482.9680148296867,0.005254032469920664
Afghanistan,1560,969.5923965845918,0.02117904561518407
Bangladesh,2236,1160.7590020010575,0.0303566320484305
Bhutan,291,418.8054521408124,0.003950706585909337
Myanmar,2566,1243.438645721532,0.03483681477471944
Cambodia,1608,984.3928520394973,0.021830708557189736
China,21353,3582.186869490313,0.2898949750134779
Hong Kong,2548,1239.0713039660568,0.03459244117146732
India,42199,5028.373793118009,0.572906760202021
Indonesia,1871,1061.8281967599503,0.025401278426929103
Iran,6036,1906.6200122520615,0.08194661495721221
Iraq,10110,2466.834428077071,0.13725650715994295
Israel,1428,927.673296723603,0.0193869725246685
Japan,5095,1751.824164565186,0.06917130603164286
Jordan,1184,844.7229408045406,0.016074352569473038
Korea,11755,2659.654374603301,0.1595895392349287
Kazakhstan,272,404.9028812508887,0.0036927566713654283
Kyrgyzstan,74,211.19729360727376,0.0010046470355920649
Kuwait,1392,915.9076236274516,0.01889822531816425
Laos,1273,875.8906876262289,0.017282644274441875
Lebanon,1777,1034.8179611012242,0.024125105165501343
Malaysia,1215,855.7080656489773,0.016495218219518364
Mongolia,73,209.7654458550668,0.0009910707243002803
Nepal,1423,926.0481217890544,0.019319090968209576
Pakistan,2934,1329.5809908058932,0.0398328973300962
Philippines,30355,4268.317990598587,0.4121089292621234
Saudi Arabia,1614,986.227277818389,0.021912166424940444
Singapore,763,678.1310374785769,0.010358725515631696
Sri Lanka,752,673.2255826961377,0.010209386091422065
Syria,1910,1072.834786696295,0.025930754567308704
Taiwan,4829,1705.5135973605236,0.06556000722802814
Thailand,3897,1532.217407950661,0.05290688510408483
Turkey,944,754.2786196603871,0.01281603785944472
United Arab Emirates,375,475.4215782862271,0.005091116734419248
Uzbekistan,682,641.1298911743705,0.00925904430099714
Vietnam,18816,3363.260301435052,0.2554518732662202
Yemen,158,308.60180050243974,0.002145057184101977
Asia,910,740.5724292826911,0.012354443275524042
"South Central Asia, n.o.s",154,304.670492927648,0.002090751938934838
