origin,population
Total:,"13,210"
Europe:,"2,950"
Denmark,0
Ireland,36
Norway,8
Sweden,38
"United Kingdom, excluding England and Scotland",100
England,205
Scotland,51
Other Northern Europe,7
Austria,0
Belgium,0
France,87
Germany,492
Netherlands,52
Switzerland,0
Other Western Europe,0
Greece,0
Italy,80
Portugal,138
Azores Islands,15
Spain,0
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,18
Bulgaria,54
Croatia,14
Czechoslovakia (includes Czech Republic and Slovakia),33
Hungary,147
Latvia,77
Lithuania,19
Moldova,118
North Macedonia (Macedonia),0
Poland,145
Romania,15
Russia,399
Serbia,0
Ukraine,617
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",69
Hong Kong,0
Taiwan,22
Japan,64
Korea,333
Other Eastern Asia,0
Afghanistan,0
Bangladesh,13
Bhutan,0
India,184
Iran,23
Kazakhstan,9
Nepal,0
Pakistan,60
Sri Lanka,0
Uzbekistan,6
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,0
Indonesia,17
Laos,0
Malaysia,0
Philippines,757
Singapore,10
Thailand,291
Vietnam,696
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,48
Jordan,20
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,86
Turkey,61
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,16
Kenya,56
Somalia,0
Tanzania,26
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,492
Morocco,29
Sudan,0
Other Northern Africa,0
South Africa,0
Other Southern Africa,0
Cabo Verde,18
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,60
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,0
Other Australian and New Zealand Subregion,0
Fiji,0
Marshall Islands,7
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,0
Barbados,11
Cuba,380
Dominica,0
Dominican Republic,231
Grenada,0
Haiti,18
Jamaica,"1,205"
St. Lucia,0
St. Vincent and the Grenadines,122
Trinidad and Tobago,76
West Indies,15
Other Caribbean,44
Belize,0
Costa Rica,52
El Salvador,87
Guatemala,137
Honduras,954
Mexico,"1,535"
Nicaragua,147
Panama,259
Other Central America,0
Argentina,115
Bolivia,14
Brazil,169
Chile,178
Colombia,244
Ecuador,75
Guyana,66
Peru,134
Uruguay,0
Venezuela,75
Other South America,0
Canada,429
Other Northern America,15
