origin,population
Total:,"16,136"
Europe:,"1,671"
Denmark,11
Ireland,0
Norway,0
Sweden,20
"United Kingdom, excluding England and Scotland",120
England,200
Scotland,10
Other Northern Europe,77
Austria,0
Belgium,47
France,31
Germany,318
Netherlands,71
Switzerland,48
Other Western Europe,0
Greece,6
Italy,72
Portugal,15
Azores Islands,15
Spain,33
Other Southern Europe,0
Albania,0
Belarus,19
Bosnia and Herzegovina,81
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),10
Hungary,28
Latvia,11
Lithuania,0
Moldova,11
North Macedonia (Macedonia),0
Poland,43
Romania,106
Russia,213
Serbia,0
Ukraine,62
Other Eastern Europe,8
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",727
Hong Kong,69
Taiwan,146
Japan,78
Korea,236
Other Eastern Asia,0
Afghanistan,55
Bangladesh,96
Bhutan,0
India,504
Iran,192
Kazakhstan,14
Nepal,0
Pakistan,197
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),21
Cambodia,36
Indonesia,59
Laos,"1,040"
Malaysia,0
Philippines,655
Singapore,0
Thailand,888
Vietnam,333
Other South Eastern Asia,0
Armenia,53
Azerbaijan,0
Georgia,0
Iraq,0
Israel,127
Jordan,0
Kuwait,109
Lebanon,22
Saudi Arabia,98
Syria,35
Turkey,2
United Arab Emirates,7
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",8
Eritrea,0
Ethiopia,6
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,84
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,8
Egypt,0
Morocco,0
Sudan,9
Other Northern Africa,0
South Africa,21
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,21
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,41
Other Australian and New Zealand Subregion,12
Fiji,55
Marshall Islands,1
Micronesia,19
"Oceania, n.o.c.",4
Bahamas,0
Barbados,0
Cuba,107
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,13
Jamaica,189
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,22
Other Caribbean,0
Belize,0
Costa Rica,10
El Salvador,337
Guatemala,179
Honduras,21
Mexico,"6,502"
Nicaragua,20
Panama,11
Other Central America,0
Argentina,47
Bolivia,0
Brazil,28
Chile,24
Colombia,38
Ecuador,4
Guyana,0
Peru,73
Uruguay,0
Venezuela,28
Other South America,0
Canada,724
Other Northern America,0
