origin,population
Total:,"16,474"
Europe:,"3,354"
Denmark,22
Ireland,145
Norway,13
Sweden,79
"United Kingdom, excluding England and Scotland",447
England,375
Scotland,188
Other Northern Europe,26
Austria,82
Belgium,15
France,110
Germany,494
Netherlands,101
Switzerland,56
Other Western Europe,0
Greece,52
Italy,124
Portugal,0
Azores Islands,0
Spain,17
Other Southern Europe,0
Albania,0
Belarus,22
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),37
Hungary,111
Latvia,0
Lithuania,66
Moldova,0
North Macedonia (Macedonia),0
Poland,362
Romania,101
Russia,108
Serbia,0
Ukraine,95
Other Eastern Europe,106
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",157
Hong Kong,53
Taiwan,30
Japan,152
Korea,34
Other Eastern Asia,0
Afghanistan,0
Bangladesh,0
Bhutan,0
India,204
Iran,64
Kazakhstan,0
Nepal,0
Pakistan,18
Sri Lanka,0
Uzbekistan,131
Other South Central Asia,18
Burma (Myanmar),92
Cambodia,24
Indonesia,54
Laos,0
Malaysia,0
Philippines,261
Singapore,0
Thailand,188
Vietnam,385
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,41
Israel,51
Jordan,19
Kuwait,0
Lebanon,108
Saudi Arabia,26
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,8
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,29
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,11
Morocco,0
Sudan,0
Other Northern Africa,18
South Africa,166
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,19
Senegal,50
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,39
Other Australian and New Zealand Subregion,0
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,51
Barbados,0
Cuba,"1,609"
Dominica,0
Dominican Republic,87
Grenada,3
Haiti,617
Jamaica,557
St. Lucia,0
St. Vincent and the Grenadines,50
Trinidad and Tobago,20
West Indies,0
Other Caribbean,6
Belize,0
Costa Rica,5
El Salvador,175
Guatemala,150
Honduras,275
Mexico,"2,978"
Nicaragua,143
Panama,28
Other Central America,0
Argentina,113
Bolivia,0
Brazil,508
Chile,68
Colombia,879
Ecuador,187
Guyana,43
Peru,300
Uruguay,0
Venezuela,742
Other South America,0
Canada,"1,076"
Other Northern America,0
