origin,population
Total:,"6,090"
Europe:,"1,079"
Denmark,63
Ireland,9
Norway,0
Sweden,14
"United Kingdom, excluding England and Scotland",42
England,161
Scotland,0
Other Northern Europe,0
Austria,11
Belgium,0
France,29
Germany,158
Netherlands,13
Switzerland,54
Other Western Europe,0
Greece,0
Italy,56
Portugal,13
Azores Islands,6
Spain,0
Other Southern Europe,0
Albania,13
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,23
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),24
Hungary,0
Latvia,22
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,195
Romania,70
Russia,23
Serbia,0
Ukraine,86
Other Eastern Europe,0
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",168
Hong Kong,0
Taiwan,68
Japan,104
Korea,39
Other Eastern Asia,0
Afghanistan,10
Bangladesh,0
Bhutan,0
India,66
Iran,24
Kazakhstan,0
Nepal,22
Pakistan,0
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,26
Burma (Myanmar),0
Cambodia,84
Indonesia,0
Laos,0
Malaysia,19
Philippines,408
Singapore,0
Thailand,0
Vietnam,123
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,33
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,15
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,79
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),24
Other Middle Africa,0
Algeria,0
Egypt,13
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,65
Other Southern Africa,0
Cabo Verde,0
Ghana,13
Ivory Coast,0
Liberia,3
Nigeria,0
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,55
Other Australian and New Zealand Subregion,5
Fiji,0
Marshall Islands,0
Micronesia,39
"Oceania, n.o.c.",0
Bahamas,0
Barbados,0
Cuba,61
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,12
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,15
El Salvador,113
Guatemala,7
Honduras,115
Mexico,"2,759"
Nicaragua,31
Panama,14
Other Central America,0
Argentina,0
Bolivia,11
Brazil,0
Chile,42
Colombia,23
Ecuador,0
Guyana,11
Peru,0
Uruguay,0
Venezuela,88
Other South America,0
Canada,204
Other Northern America,0
