origin,population
Total:,"63,361"
Europe:,"11,230"
Denmark,85
Ireland,272
Norway,58
Sweden,35
"United Kingdom, excluding England and Scotland",749
England,983
Scotland,181
Other Northern Europe,53
Austria,94
Belgium,40
France,386
Germany,"1,434"
Netherlands,147
Switzerland,21
Other Western Europe,0
Greece,746
Italy,845
Portugal,212
Azores Islands,65
Spain,163
Other Southern Europe,23
Albania,111
Belarus,120
Bosnia and Herzegovina,289
Bulgaria,180
Croatia,168
Czechoslovakia (includes Czech Republic and Slovakia),109
Hungary,307
Latvia,47
Lithuania,171
Moldova,0
North Macedonia (Macedonia),20
Poland,861
Romania,223
Russia,784
Serbia,123
Ukraine,831
Other Eastern Europe,359
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan","1,686"
Hong Kong,56
Taiwan,154
Japan,101
Korea,392
Other Eastern Asia,0
Afghanistan,14
Bangladesh,45
Bhutan,0
India,"3,247"
Iran,104
Kazakhstan,0
Nepal,23
Pakistan,455
Sri Lanka,126
Uzbekistan,15
Other South Central Asia,22
Burma (Myanmar),12
Cambodia,3
Indonesia,27
Laos,238
Malaysia,23
Philippines,"2,439"
Singapore,5
Thailand,256
Vietnam,"1,464"
Other South Eastern Asia,0
Armenia,6
Azerbaijan,35
Georgia,0
Iraq,32
Israel,539
Jordan,97
Kuwait,96
Lebanon,263
Saudi Arabia,271
Syria,379
Turkey,349
United Arab Emirates,0
Yemen,0
Other Western Asia,27
"Asia, n.o.c.",13
Eritrea,0
Ethiopia,32
Kenya,16
Somalia,0
Tanzania,5
Uganda,0
Zimbabwe,63
Other Eastern Africa,17
Cameroon,25
Congo,0
Democratic Republic of Congo (Zaire),65
Other Middle Africa,0
Algeria,17
Egypt,"1,797"
Morocco,419
Sudan,19
Other Northern Africa,34
South Africa,237
Other Southern Africa,0
Cabo Verde,0
Ghana,51
Ivory Coast,43
Liberia,0
Nigeria,64
Senegal,17
Sierra Leone,40
Togo,47
Other Western Africa,13
"Africa, n.o.c.",106
Australia,78
Other Australian and New Zealand Subregion,9
Fiji,6
Marshall Islands,33
Micronesia,18
"Oceania, n.o.c.",1
Bahamas,283
Barbados,99
Cuba,"5,154"
Dominica,138
Dominican Republic,"1,772"
Grenada,37
Haiti,752
Jamaica,"2,145"
St. Lucia,142
St. Vincent and the Grenadines,0
Trinidad and Tobago,961
West Indies,13
Other Caribbean,65
Belize,37
Costa Rica,419
El Salvador,312
Guatemala,499
Honduras,920
Mexico,"4,805"
Nicaragua,548
Panama,578
Other Central America,0
Argentina,283
Bolivia,66
Brazil,"1,098"
Chile,55
Colombia,"5,098"
Ecuador,"1,096"
Guyana,726
Peru,"1,512"
Uruguay,208
Venezuela,"2,064"
Other South America,132
Canada,"3,757"
Other Northern America,71
