origin,population
Total:,"20,141"
Europe:,"1,587"
Denmark,27
Ireland,81
Norway,59
Sweden,19
"United Kingdom, excluding England and Scotland",140
England,192
Scotland,28
Other Northern Europe,0
Austria,5
Belgium,33
France,189
Germany,317
Netherlands,19
Switzerland,14
Other Western Europe,0
Greece,11
Italy,60
Portugal,0
Azores Islands,0
Spain,20
Other Southern Europe,0
Albania,0
Belarus,86
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),0
Hungary,20
Latvia,0
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,75
Romania,10
Russia,53
Serbia,0
Ukraine,63
Other Eastern Europe,45
"Europe, n.o.c.",21
"China, excluding Hong Kong and Taiwan",804
Hong Kong,39
Taiwan,79
Japan,104
Korea,439
Other Eastern Asia,45
Afghanistan,28
Bangladesh,75
Bhutan,0
India,"2,032"
Iran,170
Kazakhstan,0
Nepal,25
Pakistan,715
Sri Lanka,25
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),16
Cambodia,27
Indonesia,224
Laos,55
Malaysia,18
Philippines,"1,363"
Singapore,0
Thailand,201
Vietnam,555
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,51
Israel,44
Jordan,74
Kuwait,70
Lebanon,0
Saudi Arabia,26
Syria,50
Turkey,40
United Arab Emirates,37
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",13
Eritrea,0
Ethiopia,0
Kenya,78
Somalia,0
Tanzania,146
Uganda,0
Zimbabwe,0
Other Eastern Africa,112
Cameroon,69
Congo,0
Democratic Republic of Congo (Zaire),12
Other Middle Africa,0
Algeria,0
Egypt,189
Morocco,38
Sudan,0
Other Northern Africa,0
South Africa,116
Other Southern Africa,0
Cabo Verde,0
Ghana,170
Ivory Coast,0
Liberia,0
Nigeria,290
Senegal,0
Sierra Leone,0
Togo,11
Other Western Africa,35
"Africa, n.o.c.",0
Australia,15
Other Australian and New Zealand Subregion,9
Fiji,0
Marshall Islands,48
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,75
Barbados,20
Cuba,73
Dominica,312
Dominican Republic,12
Grenada,0
Haiti,6
Jamaica,46
St. Lucia,0
St. Vincent and the Grenadines,17
Trinidad and Tobago,45
West Indies,0
Other Caribbean,32
Belize,16
Costa Rica,33
El Salvador,"1,229"
Guatemala,897
Honduras,286
Mexico,"5,440"
Nicaragua,164
Panama,7
Other Central America,0
Argentina,157
Bolivia,26
Brazil,134
Chile,49
Colombia,110
Ecuador,23
Guyana,33
Peru,42
Uruguay,0
Venezuela,247
Other South America,40
Canada,201
Other Northern America,0
